row_type	library_group_id	library_group_name	deck_id	deck_name	deck_description	content_group_id	content_group_title	order	speaker	hanzi	pinyin	meaning	word_type	sentence_type	tokens	tags	enabled
sentence			chi-cau	Chỉ câu						你好吗？	Nǐ hǎo ma?	Bạn khỏe không?		question	你|好|吗	giao tiếp	1
sentence			chi-cau	Chỉ câu						我很好。	Wǒ hěn hǎo.	Tôi rất khỏe.		answer	我|很|好	giao tiếp	1
sentence			chi-cau	Chỉ câu						谢谢你。	Xièxie nǐ.	Cảm ơn bạn.		statement	谢谢|你	giao tiếp	1
deck			chi-hoi-thoai	Chỉ hội thoại	Bộ chỉ có hội thoại												1
dialogue_turn			chi-hoi-thoai	Chỉ hội thoại		dialogue-cafe	Ở quán cà phê	1	A	你喝什么？	Nǐ hē shénme?	Bạn uống gì?		dialogue	你|喝|什么	quán cà phê	1
dialogue_turn			chi-hoi-thoai	Chỉ hội thoại		dialogue-cafe	Ở quán cà phê	2	B	我喝咖啡。	Wǒ hē kāfēi.	Tôi uống cà phê.		dialogue	我|喝|咖啡	quán cà phê	1
dialogue_turn			chi-hoi-thoai	Chỉ hội thoại		dialogue-cafe	Ở quán cà phê	3	A	好的。	Hǎo de.	Được.		dialogue	好的	quán cà phê	1
deck			chi-doan-van	Chỉ đoạn văn	Bộ chỉ có đoạn văn												1
passage_sentence			chi-doan-van	Chỉ đoạn văn		passage-morning	Buổi sáng	1		今天是星期一。	Jīntiān shì xīngqīyī.	Hôm nay là thứ Hai.		passage	今天|是|星期一	hằng ngày	1
passage_sentence			chi-doan-van	Chỉ đoạn văn		passage-morning	Buổi sáng	2		我早上七点起床。	Wǒ zǎoshang qī diǎn qǐchuáng.	Tôi thức dậy lúc bảy giờ sáng.		passage	我|早上|七点|起床	hằng ngày	1
passage_sentence			chi-doan-van	Chỉ đoạn văn		passage-morning	Buổi sáng	3		八点去学校。	Bā diǎn qù xuéxiào.	Tám giờ đi học.		passage	八点|去|学校	hằng ngày	1
group	nhom-cafe	Tiếng Trung quán cà phê															1
deck	nhom-cafe	Tiếng Trung quán cà phê	cafe-tu	Từ vựng cà phê	Bộ từ vựng												1
word	nhom-cafe	Tiếng Trung quán cà phê	cafe-tu	Từ vựng cà phê						咖啡	kāfēi	cà phê	danh từ			đồ uống	1
word	nhom-cafe	Tiếng Trung quán cà phê	cafe-tu	Từ vựng cà phê						茶	chá	trà	danh từ			đồ uống	1
deck	nhom-cafe	Tiếng Trung quán cà phê	cafe-cau	Câu gọi món	Bộ câu												1
sentence	nhom-cafe	Tiếng Trung quán cà phê	cafe-cau	Câu gọi món						我要一杯咖啡。	Wǒ yào yì bēi kāfēi.	Tôi muốn một ly cà phê.		request	我|要|一杯|咖啡	gọi món	1
sentence	nhom-cafe	Tiếng Trung quán cà phê	cafe-cau	Câu gọi món						请给我菜单。	Qǐng gěi wǒ càidān.	Vui lòng đưa tôi thực đơn.		request	请|给|我|菜单	gọi món	1
deck	nhom-cafe	Tiếng Trung quán cà phê	cafe-hoi-thoai	Hội thoại gọi món	Bộ hội thoại												1
dialogue_turn	nhom-cafe	Tiếng Trung quán cà phê	cafe-hoi-thoai	Hội thoại gọi món		dlg-order	Gọi món	1	A	你要喝什么？	Nǐ yào hē shénme?	Bạn muốn uống gì?		dialogue	你|要|喝|什么	gọi món	1
dialogue_turn	nhom-cafe	Tiếng Trung quán cà phê	cafe-hoi-thoai	Hội thoại gọi món		dlg-order	Gọi món	2	B	我要一杯茶。	Wǒ yào yì bēi chá.	Tôi muốn một ly trà.		dialogue	我|要|一杯|茶	gọi món	1
