target,relatedWord,pinyin,meaning,level
三,三三两两,sān san liǎng liǎng,"Lác đác vài ba (người/vật), rải rác từng tốp nhỏ.",2
三,三昧,sān mèi,"Tam muội (tập trung tinh thần cao độ, chuyên tâm, chú tâm)",4
三,再三,zài sān,hết lần này đến lần khác,4
三,朝三暮四,zhāo sān mù sì,thay đổi thất thường,5
三,三明治,sān míng zhì,bánh mì kẹp,6
三,丢三落四,diū sān là sì,vô ý,6
三,三维,sān wéi,3D,7
三,三角,sān jiǎo,tam giác; tam giác,7
三,三番五次,sān fān wǔ cì,nhiều lần,7
三,举一反三,jǔ yī fǎn sān,suy ra nhiều điều từ một trường hợp,7
三,接二连三,jiē'èr lián sān,"liên tục, cái này sau cái kia",7
上,上午,shàng wǔ,buổi sáng,1
上,上学,shàng xué,đi học,1
上,上次,shàng cì,lần trước,1
上,上班,shàng bān,đi làm,1
上,上网,shàng wǎng,lướt web,1
上,上课,shàng kè,"đi học, dạy học",1
上,上车,shàng chē,lên xe,1
上,上边,shàng biān,bên trên,1
上,关上,guān shàng,đóng,1
上,地上,dì shàng,mặt đất,1
上,早上,zǎo shang,buổi sáng,1
上,晚上,wǎn shang,buổi tối,1
上,楼上,lóu shàng,tầng trên,1
上,网上,wǎng shàng,trực tuyến,1
上,考上,kǎo shàng,"Thi đỗ, đậu (kỳ thi)",1
上去,看上去,kàn shàng qu,trông giống,3
上流,上流社会,shàng liú shè huì,"giới thượng lưu, xã hội thượng lưu",8
下,一下,yī xià,một lát,1
下,下午,xià wǔ,buổi chiều,1
下,下次,xià cì,lần sau,1
下,下班,xià bān,tan làm,1
下,下课,xià kè,kết thúc lớp học,1
下,下车,xià chē,xuống xe,1
下,下边,xià biān,bên dưới,1
下,下雨,xià yǔ,mưa rơi,1
下,下面,xià miàn,bên dưới,1
下,坐下,zuò xià,ngồi xuống,1
下,收下,shōu xià,"nhận lấy, nhận cho",1
下,楼下,lóu xià,tầng dưới,1
下,零下,líng xià,dưới không,1
下,一下儿,yī xiàr,"một lúc, một lần",1
下,下去,xià qu,đi xuống,2
下来,接下来,jiē xià lái,tiếp theo,2
下水,地下水,dì xià shuǐ,nước ngầm,7
不,不停,bù tíng,không ngừng,1
不,不同,bù tóng,khác biệt,1
不,不大,bù dà,không lớn,1
不,不太,bù tài,không quá,1
不,不对,bù duì,sai,1
不,不用,bù yòng,không cần,1
不,不要,bù yào,không,1
不,不过,bù guò,nhưng,1
不,不错,bù cuò,khá tốt,1
不,不客气,bù kè qi,không có chi,1
不,不用谢,bú yòng xiè,không có gì (đáp lại lời cảm ơn),1
不,对不起,duì bu qǐ,tôi xin lỗi,1
不,差不多,chà bu duō,"gần như, hầu như",1
不,是不是,shì bu shì,có phải không?,1
不,不好意思,bù hǎo yì si,xấu hổ,1
不久,前不久,qián bù jiǔ,gần đây,7
不仅,不仅仅,bù jǐn jǐn,không chỉ,6
不同,不同寻常,bù tóng xún cháng,khác thường,7
不同,与众不同,yǔ zhòng bù tóng,khác biệt,7
不同,截然不同,jié rán bù tóng,hoàn toàn khác biệt,7
不同,有所不同,yǒu suǒ bù tóng,khác nhau ở một mức độ nào đó,7
不如,不如说,bù rú shuō,thà nói,7
不定,说不定,shuō bu dìng,có lẽ,4
不容,好不容易,hǎo bù róng yì,khó khăn lớn,6
不已,赞叹不已,zàn tàn bù yǐ,khen ngợi không ngừng,7
不怎么,不怎么样,bù zěn me yàng,bình thường,6
不懈,坚持不懈,jiān chí bù xiè,không ngừng,7
不断,源源不断,yuán yuán bù duàn,liên tục,7
不时,时不时,shí bù shí,thỉnh thoảng,7
不服,不服气,bù fú qì,không phục,7
不然,要不然,yào bu rán,nếu không thì,6
不理,爱理不理,ài lǐ bù lǐ,lạnh lùng và thờ ơ,7
不用,不用谢,bú yòng xiè,không có gì (đáp lại lời cảm ơn),1
不用,不用说,bù yòng shuō,khỏi phải nói,7
不知,不知不觉,bù zhī bù jué,một cách vô thức,7
不要,不要紧,bù yào jǐn,không sao,4
不见,不见得,bù jiàn de,"không chắc, không nhất thiết",5
不解,迷惑不解,mí huò bù jiě,bối rối,7
不足,微不足道,wēi bù zú dào,không đáng kể,6
不足,美中不足,měi zhōng bù zú,không hoàn hảo,7
与,与日俱增,yǔ rì jù zēng,tăng theo từng ngày,3
与,参与,cān yù,tham gia,4
与,与其,yǔ qí,thay vì,5
与,患难与共,huàn nàn yǔ gòng,cùng chung hoạn nạn,5
与,与否,yǔ fǒu,có hay không,7
与,与众不同,yǔ zhòng bù tóng,khác biệt,7
与,与时俱进,yǔ shí jù jìn,theo kịp thời đại,7
与,与此同时,yǔ cǐ tóng shí,đồng thời,7
丐,乞丐,qǐ gài,người ăn xin,6
丑,丑陋,chǒu lòu,xấu xí,5
丑,丑恶,chǒu'è,xấu xí,7
丑,丑闻,chǒu wén,scandal,7
丑,出丑,chū chǒu,bị bẽ mặt,7
丑,小丑,xiǎo chǒu,chú hề,7
专,专业,zhuān yè,chuyên nghiệp; chuyên môn,1
专,专门,zhuān mén,chuyên môn,2
专,专家,zhuān jiā,chuyên gia,3
专,专题,zhuān tí,chủ đề đặc biệt,3
专,专心,zhuān xīn,chuyên tâm,4
专,专注,zhuān zhù,chuyên tâm,5
专,专辑,zhuān jí,album,5
专,专利,zhuān lì,bằng sáng chế,6
专,专用,zhuān yòng,chuyên dùng,6
专,专程,zhuān chéng,cụ thể,6
专,专长,zhuān cháng,điểm mạnh,6
专,专人,zhuān rén,chuyên gia,7
专,专制,zhuān zhì,chuyên chế,7
专,专柜,zhuān guì,quầy chuyên dụng,7
专,专栏,zhuān lán,chuyên mục,7
且,而且,ér qiě,ngoài ra,2
且,并且,bìng qiě,"và, ngoài ra",3
且,姑且,gū qiě,tạm thời,6
且,尚且,shàng qiě,"còn, ngay cả",6
且,暂且,zàn qiě,tạm thời,6
且,况且,kuàng qiě,hơn nữa,7
世,世界,shì jiè,thế giới,2
世,去世,qù shì,qua đời,2
世,来世,lái shì,"kiếp sau, đời sau",3
世,世界杯,Shì jiè bēi,Cúp thế giới,3
世,永世长存,yǒng shì cháng cún,"Muôn đời tồn tại, vĩnh viễn trường tồn",3
世,世纪,shì jì,thế kỷ,4
世,世代,shì dài,nhiều thế hệ,6
世,逝世,shì shì,qua đời,6
世,问世,wèn shì,"xuất bản, xuất hiện",6
世,举世瞩目,jǔ shì zhǔ mù,thu hút sự chú ý của toàn thế giới,6
世,世人,shì rén,"Người đời, nhân gian, mọi người trên đời",7
世,世故,shì gù,khôn ngoan,7
世,世袭,shì xí,cha truyền con nối,7
世,世界级,shì jiè jí,đẳng cấp thế giới,7
世,举世无双,jǔ shì wú shuāng,độc nhất vô nhị,7
世界,世界杯,Shì jiè bēi,Cúp thế giới,3
世界,世界级,shì jiè jí,đẳng cấp thế giới,7
世界,大千世界,dà qiān shì jiè,"Thế giới rộng lớn, thế giới bao la",7
丘,丘陵,qiū líng,đồi,6
业,专业,zhuān yè,chuyên nghiệp; chuyên môn,1
业,作业,zuò yè,bài tập,1
业,毕业,bì yè,tốt nghiệp,1
业,事业,shì yè,sự nghiệp,3
业,农业,nóng yè,nông nghiệp,3
业,创业,chuàng yè,khởi nghiệp,3
业,商业,shāng yè,thương mại,3
业,就业,jiù yè,việc làm,3
业,工业,gōng yè,công nghiệp,3
业,开业,kāi yè,khai trương,3
业,职业,zhí yè,nghề nghiệp,3
业,畜牧业,xù mù yè,Chăn nuôi,3
业,业余,yè yú,thời gian rảnh,4
业,企业,qǐ yè,doanh nghiệp,4
业,失业,shī yè,thất nghiệp,4
丛,丛林,cóng lín,rừng rậm,7
东,东北,Dōng běi,Đông Bắc,1
东,东南,dōng nán,đông nam,1
东,东西,dōng xi,đồ,1
东,东边,dōng biān,phía đông,1
东,东方,dōng fāng,phương đông,2
东,房东,fáng dōng,chủ nhà,2
东,东部,dōng bù,phần phía đông,3
东,中东,Zhōng dōng,Trung Đông,5
东,广东,Guǎng dōng,Quảng Đông (tỉnh),5
东,东南亚,Dōng nán Yà,Đông Nam Á,5
东,股东,gǔ dōng,cổ đông,6
东,东道主,dōng dào zhǔ,chủ nhà,6
东,东张西望,dōng zhāng xī wàng,nhìn xung quanh,6
东,东奔西走,dōng bēn xī zǒu,chạy từ bên này sang bên kia,7
东南,东南亚,Dōng nán Yà,Đông Nam Á,5
丝,丝毫,sī háo,một chút,5
丝,丝绸,sī chóu,lụa,5
丝,丝瓜,sī guā,mướp,6
丝,真丝,zhēn sī,"Lụa tơ tằm, lụa thật",6
丝,粉丝,fěn sī,miến làm từ tinh bột đậu,7
丝,螺丝,luó sī,đinh vít,7
丢,丢人,diū rén,"mất mặt, xấu hổ",6
丢,丢三落四,diū sān là sì,vô ý,6
丢,丢失,diū shī,mất,7
丢,丢弃,diū qì,vứt bỏ,7
丢,丢掉,diū diào,vứt bỏ,7
丢,丢脸,diū liǎn,mất mặt,7
两,三三两两,sān san liǎng liǎng,"Lác đác vài ba (người/vật), rải rác từng tốp nhỏ.",2
两,银两,yín liǎng,Tiền bạc (chỉ bạc thỏi thời xưa),4
两,两侧,liǎng cè,hai bên,6
两,两手,liǎng shǒu,hai tay,6
两,一举两得,yī jǔ liǎng dé,một mũi tên trúng hai đích,6
两,两栖,liǎng qī,lưỡng cư,7
两,两口子,liǎng kǒu zi,vợ chồng,7
两,有两下子,yǒu liǎng xià zi,có tài thực sự,7
两,两两相对,liǎng liǎng xiāng duì,từng cặp đối diện nhau,8
严,严肃,yán sù,nghiêm túc,2
严,严厉,yán lì,nghiêm khắc,4
严,严格,yán gé,nghiêm ngặt,4
严,严重,yán zhòng,nghiêm trọng,4
严,严峻,yán jùn,nghiêm trọng,6
严,严禁,yán jìn,nghiêm cấm,6
严,严密,yán mì,bảo mật,7
严,严谨,yán jǐn,nghiêm ngặt,7
严,尊严,zūn yán,phẩm giá,7
严,庄严,zhuāng yán,trang nghiêm,7
丧,沮丧,jǔ sàng,nản lòng,3
丧,丧失,sàng shī,mất; sự mất,6
丧,丧生,sàng shēng,mất mạng,7
丧,垂头丧气,chuí tóu sàng qì,chán nản,7
个,个子,gè zi,chiều cao,1
个,哪个,nǎ ge,cái nào,1
个,这个,zhè ge,cái này,1
个,那个,nà ge,"cái đó, cái kia",1
个,个人,gè rén,cá nhân,3
个,个性,gè xìng,cá tính,3
个,整个,zhěng gè,toàn bộ,3
个,个体,gè tǐ,cá nhân,4
个,个别,gè bié,"rất ít, cá biệt",4
个,各个,gè gè,"mỗi, từng",4
个,上个月,shàng gè yuè,tháng trước,4
个,下个月,xià gè yuè,tháng sau,4
个,个案,gè àn,trường hợp riêng,7
个,个头儿,gè tóur,chiều cao,7
个,自个儿,zì gěr,"Tự mình, bản thân",7
丫,丫头,yā tou,cô gái,7
中,中午,zhōng wǔ,buổi trưa,1
中,中国,Zhōng guó,Trung Quốc,1
中,中学,zhōng xué,trường trung học cơ sở,1
中,中心,zhōng xīn,trung tâm,1
中,中文,zhōng wén,tiếng Trung,1
中,中间,zhōng jiān,giữa,1
中,初中,chū zhōng,trường trung học cơ sở,1
中,中国人,zhōng guó rén,người Trung Quốc,1
中,中学生,zhōng xué shēng,học sinh trung học,1
中,购物中心,gòu wù zhōng xīn,trung tâm mua sắm,1
中,中介,zhōng jiè,đại lý,2
中,中医,zhōng yī,y học cổ truyền Trung Quốc,2
中,中年,zhōng nián,trung niên,2
中,中指,zhōng zhǐ,ngón giữa,2
中,中级,zhōng jí,trung cấp,2
中华,中华民族,Zhōng huá mín zú,dân tộc Trung Quốc,3
中国,中国人,zhōng guó rén,người Trung Quốc,1
中国,中国画,zhōng guó huà,tranh Trung Quốc truyền thống,7
中外,古今中外,gǔ jīn zhōng wài,mọi lúc và mọi nơi; từ xưa đến nay,7
中学,中学生,zhōng xué shēng,học sinh trung học,1
中学,初级中学,chū jí zhōng xué,trường trung học cơ sở,5
中心,购物中心,gòu wù zhōng xīn,trung tâm mua sắm,1
中药,中药铺,zhōng yào pù,"Tiệm thuốc Bắc, hiệu thuốc Đông y",3
丰,丰富,fēng fù,phong phú,2
丰,丰满,fēng mǎn,đầy đặn,3
丰,丰盛,fēng shèng,thịnh soạn,3
丰,丰厚,fēng hòu,"dồi dào, giàu có",7
丰,丰硕,fēng shuò,dồi dào và vững chắc,7
丰,丰富多彩,fēng fù duō cǎi,phong phú và đa dạng,7
丰富,丰富多彩,fēng fù duō cǎi,phong phú và đa dạng,7
串,串门,chuàn mén,gọi ai đó,7
串,一连串,yī lián chuàn,chuỗi,7
临,光临,guāng lín,có mặt,2
临,面临,miàn lín,đối mặt với,3
临,临时,lín shí,tạm thời,4
临,来临,lái lín,đến,4
临,临床,lín chuáng,lâm sàng,6
临,濒临,bīn lín,gần kề,6
临,降临,jiàng lín,giáng xuống,6
临,临街,lín jiē,hướng ra phố,7
临,临近,lín jìn,đến gần,7
临,居高临下,jū gāo lín xià,chiếm vị trí chỉ huy,7
丸,定心丸,dìng xīn wán,thuốc an thần,7
丹,牡丹,mǔ dan,mẫu đơn,7
为,为什么,wèi shén me,tại sao,1
为,为了,wèi le,để,2
为,以为,yǐ wéi,nghĩ rằng,2
为,作为,zuò wéi,như,2
为,因为,yīn wèi,bởi vì,2
为,成为,chéng wéi,trở thành,2
为,行为,xíng wéi,hành động,2
为,认为,rèn wéi,nghĩ rằng,2
为,变为,biàn wéi,biến thành,3
为,无为,wú wéi,vô vi (thuận theo tự nhiên),3
为,称为,chēng wéi,được gọi là,3
为,分为,fēn wéi,chia thành,4
为,列为,liè wéi,được phân loại là,4
为,精诚所至金石为开,"jīng chéng suǒ zhì, jīn shí wéi kāi","có chí thì nên, có lòng thành sắt đá cũng mòn",5
为,为何,wèi hé,tại sao,6
为人,不为人知,bù wéi rén zhī,không ai biết đến,7
主,主意,zhǔ yì,"ý kiến, ý tưởng",1
主,主人,zhǔ rén,chủ nhân,2
主,主要,zhǔ yào,chính,2
主,班主任,bān zhǔ rèn,giáo viên chủ nhiệm,2
主,主任,zhǔ rèn,trưởng ban,3
主,主动,zhǔ dòng,chủ động,3
主,主导,zhǔ dǎo,dẫn dắt,3
主,主张,zhǔ zhāng,quan điểm,3
主,主持,zhǔ chí,dẫn chương trình,3
主,自主,zì zhǔ,tự hành; độc lập,3
主,主席,zhǔ xí,chủ tịch,4
主,主角,zhǔ jué,vai chính,4
主,主题,zhǔ tí,chủ đề,4
主,主体,zhǔ tǐ,cơ thể chính,5
主,主观,zhǔ guān,chủ quan,5
主义,官僚主义,guān liáo zhǔ yì,chủ nghĩa quan liêu,7
主义,帝国主义,dì guó zhǔ yì,chủ nghĩa đế quốc,7
主义,社会主义,shè huì zhǔ yì,chủ nghĩa xã hội,7
主义,资本主义,zī běn zhǔ yì,chủ nghĩa tư bản,7
主人,主人公,zhǔ rén gōng,nhân vật chính,7
主任,班主任,bān zhǔ rèn,giáo viên chủ nhiệm,2
主意,出主意,chū zhǔ yi,"đưa ra ý kiến, gợi ý",7
主持,主持人,zhǔ chí rén,người dẫn chương trình,6
主题,主题歌,zhǔ tí gē,bài hát chủ đề,7
丽,美丽,měi lì,đẹp,2
丽,丽江,Lì jiāng,Lệ Giang (tên thành phố),6
丽,华丽,huá lì,tráng lệ,6
丽,亮丽,liàng lì,sáng và đẹp,7
丽,壮丽,zhuàng lì,tráng lệ,7
丽,秀丽,xiù lì,xinh đẹp,7
丽,艳丽,yàn lì,rực rỡ và đẹp,7
丽,富丽堂皇,fù lì táng huáng,"lộng lẫy huy hoàng, xa hoa tráng lệ",7
丽,风和日丽,fēng hé rì lì,thời tiết ấm áp và nắng,7
举,举办,jǔ bàn,tổ chức,2
举,举手,jǔ shǒu,giơ tay,2
举,举行,jǔ xíng,tổ chức,2
举,举动,jǔ dòng,hành động,3
举,选举,xuǎn jǔ,bầu cử,6
举,一举两得,yī jǔ liǎng dé,một mũi tên trúng hai đích,6
举,举世瞩目,jǔ shì zhǔ mù,thu hút sự chú ý của toàn thế giới,6
举,举足轻重,jǔ zú qīng zhòng,có ảnh hưởng,6
举,一举,yī jǔ,một lần,7
举,举例,jǔ lì,đưa ra một ví dụ,7
举,举报,jǔ bào,báo cáo,7
举,举措,jǔ cuò,hành động,7
举,举止,jǔ zhǐ,cử chỉ,7
举,举目,jǔ mù,"ngước mắt nhìn, phóng tầm mắt",7
举,举重,jǔ zhòng,cử tạ,7
乃,康乃馨,kāng nǎi xīn,hoa cẩm chướng,3
乃,乃至,nǎi zhì,và thậm chí,7
久,不久,bù jiǔ,sắp tới,2
久,多久,duō jiǔ,bao lâu?,2
久,好久,hǎo jiǔ,đã lâu,2
久,久而久之,jiǔ ér jiǔ zhī,"lâu dần, dần dà",3
久,天长地久,tiān cháng dì jiǔ,vĩnh cửu,3
久,悠久,yōu jiǔ,lâu dài,5
久,持久,chí jiǔ,chịu đựng,6
久,长久,cháng jiǔ,lâu dài,6
久,久之,jiǔ zhī,"lâu dần, sau một thời gian dài",7
久,久仰,jiǔ yǎng,hân hạnh được gặp bạn,7
久,久违,jiǔ wéi,"lâu ngày mới gặp, lâu ngày mới thấy",7
久,永久,yǒng jiǔ,vĩnh viễn,7
久,前不久,qián bù jiǔ,gần đây,7
久,天长日久,tiān cháng rì jiǔ,"Lâu ngày dài tháng, theo thời gian",7
久,经久不息,jīng jiǔ bù xī,không ngừng,7
久之,久而久之,jiǔ ér jiǔ zhī,"lâu dần, dần dà",3
么,什么,shén me,gì?,1
么,怎么,zěn me,Sao? Tại sao?,1
么,这么,zhè me,như thế,1
么,那么,nà me,vậy thì,1
么,为什么,wèi shén me,tại sao,1
么,干什么,gàn shén me,làm gì?,1
么,怎么样,zěn me yàng,Thế nào?,1
么,没什么,méi shén me,không có gì,1
么,多么,duō me,"đến mức nào, làm sao",2
么,什么样,shén me yàng,loại gì?,2
么,怎么了,zěn me le,bị làm sao; sao thế,2
么,怎么办,zěn me bàn,làm thế nào?,2
么,要么,yào me,hoặc là,6
么,不怎么,bù zěn me,không nhiều lắm,6
么,什么的,shén me de,"vân vân, các thứ, v.v.",6
义,意义,yì yì,ý nghĩa,3
义,同义词,tóng yì cí,Từ đồng nghĩa,3
义,有意义,yǒu yì yì,Có ý nghĩa,3
义,义务,yì wù,nghĩa vụ,4
义,含义,hán yì,"hàm ý, ý nghĩa",4
义,主义,zhǔ yì,"ý tưởng, hệ tư tưởng",6
义,名义,míng yì,tên,6
义,定义,dìng yì,định nghĩa; định nghĩa,6
义,义工,yì gōng,tình nguyện viên,7
义,义气,yì qi,"Tình nghĩa, trượng nghĩa",7
义,侠义,xiá yì,hiệp nghĩa,7
义,广义,guǎng yì,tổng quát,7
义,涵义,hán yì,nội hàm,7
义,天经地义,tiān jīng dì yì,nguyên tắc không thể thay đổi,7
义,官僚主义,guān liáo zhǔ yì,chủ nghĩa quan liêu,7
之,分之,fēn zhī,phân số,2
之,久而久之,jiǔ ér jiǔ zhī,"lâu dần, dần dà",3
之,少之又少,shǎo zhī yòu shǎo,"cực kỳ ít, hiếm hoi",3
之,强弩之末,qiáng nǔ zhī mò,"Tên nỏ mạnh hết đà, sức mạnh đã cạn, yếu ớt khi kết thúc",3
之,简而言之,jiǎn ér yán zhī,"nói tóm lại, nói một cách đơn giản",3
之,之一,zhī yī,một trong số,4
之,之前,zhī qián,trước đây,4
之,之后,zhī hòu,sau,4
之,之间,zhī jiān,"giữa, trong số",4
之,总之,zǒng zhī,tóm lại,4
之,百分之,bǎi fēn zhī,phần trăm của,4
之,之类,zhī lèi,và những thứ tương tự,5
之,后顾之忧,hòu gù zhī yōu,lo lắng ở nhà,6
之,总而言之,zǒng ér yán zhī,nói tóm lại,6
之,久之,jiǔ zhī,"lâu dần, sau một thời gian dài",7
乌,乌龟,wū guī,rùa,2
乌,乌鸦,wū yā,Quạ,3
乌,乌云,wū yún,đám mây đen,6
乎,似乎,sì hū,"hình như, dường như",2
乎,几乎,jī hū,hầu như,2
乎,在乎,zài hu,quan tâm,4
乎,不在乎,bù zài hu,không quan tâm,4
乎,黑乎乎,hēi hū hū,"Đen thui, đen sì",6
乎,合乎,hé hū,phù hợp với,7
乎,不亦乐乎,bù yì lè hū,"cực kỳ, vô cùng",7
乏,匮乏,kuì fá,"thiếu thốn, khan hiếm",3
乏,缺乏,quē fá,thiếu,3
乐,快乐,kuài lè,vui vẻ,1
乐,音乐,yīn yuè,âm nhạc,1
乐,音乐会,yīn yuè huì,buổi hòa nhạc,1
乐,乐观,lè guān,lạc quan,3
乐,乐队,yuè duì,ban nhạc,3
乐,可乐,kě lè,cola,3
乐,欢乐,huān lè,vui vẻ,3
乐,交响乐,jiāo xiǎng yuè,giao hưởng,3
乐,室内乐,shì nèi yuè,nhạc thính phòng,3
乐,闷闷不乐,mèn mèn bù lè,"buồn rầu, u sầu, rầu rĩ không vui",3
乐,乐园,lè yuán,xứ sở thần tiên,4
乐,乐趣,lè qù,niềm vui,4
乐,乐器,yuè qì,nhạc cụ,5
乐,娱乐,yú lè,giải trí,5
乐,俱乐部,jù lè bù,câu lạc bộ,5
乒,乒乓球,pīng pāng qiú,bóng bàn,4
乓,乒乓球,pīng pāng qiú,bóng bàn,4
乔,乔木,qiáo mù,"cây thân gỗ, cây to",3
乔,乔装,qiáo zhuāng,giả trang,7
乖,乖僻,guāi pì,"lập dị, kỳ quặc; quái gở",7
乖,乖巧,guāi qiǎo,thông minh,7
乘,乘坐,chéng zuò,đi xe,4
乘,乘客,chéng kè,hành khách,5
乘,乘车,chéng chē,đi xe,5
乘,搭乘,dā chéng,đi bằng,7
乘,乘人之危,chéng rén zhī wēi,lợi dụng tình huống khó khăn của người khác,7
乘,可乘之机,kě chéng zhī jī,cơ hội có thể khai thác,7
乞,乞丐,qǐ gài,người ăn xin,6
乞,乞讨,qǐ tǎo,xin ăn,7
乞,求乞,qiú qǐ,"Ăn xin, khất thực",7
也,也许,yě xǔ,có lẽ,1
也,也就是说,yě jiù shì shuō,tức là,7
习,习惯,xí guàn,thói quen; quen thuộc,1
习,复习,fù xí,ôn tập,1
习,学习,xué xí,học,1
习,实习,shí xí,thực tập,2
习,练习,liàn xí,luyện tập,2
习,预习,yù xí,chuẩn bị trước,3
习,习俗,xí sú,"phong tục, tập quán",6
习,演习,yǎn xí,diễn tập quân sự,6
习,补习,bǔ xí,học thêm,6
习,温习,wēn xí,ôn tập,7
乡,家乡,jiā xiāng,quê hương,3
乡,故乡,gù xiāng,quê hương,3
乡,乡村,xiāng cūn,nhạc đồng quê,5
乡,入乡随俗,rù xiāng suí sú,nhập gia tùy tục,5
乡,乡镇,xiāng zhèn,làng và thị trấn,6
乡,城乡,chéng xiāng,thành thị và nông thôn,6
乡,老乡,lǎo xiāng,đồng hương,6
乡,下乡,xià xiāng,về quê,7
乡,乡下,xiāng xià,nông thôn,7
乡,乡亲,xiāng qin,đồng hương,7
书,书包,shū bāo,cặp sách,1
书,书店,shū diàn,hiệu sách,1
书,读书,dú shū,học tập,1
书,图书馆,tú shū guǎn,thư viện,1
书,书架,shū jià,giá sách,3
书,秘书,mì shū,thư ký,3
书,电子书,diàn zǐ shū,sách điện tử,3
书,书信,shū xìn,"Thư từ, thư tín",4
书,书写,shū xiě,viết,4
书,通知书,tōng zhī shū,thông báo,4
书,请愿书,qǐng yuàn shū,"đơn thỉnh cầu, kiến nghị thư",5
书,书房,shū fáng,phòng đọc sách,6
书,书籍,shū jí,sách,6
书,书记,shū ji,thư kí,6
书,图书,tú shū,sách,6
买,购买,gòu mǎi,mua,4
买,收买,shōu mǎi,thu mua,7
买,买不起,mǎi bù qǐ,không thể mua,7
乱,出乱子,chū luàn zi,"xảy ra chuyện lộn xộn, gây rắc rối",3
乱,扰乱,rǎo luàn,gây rối,6
乱,混乱,hùn luàn,hỗn loạn,6
乱,胡乱,hú luàn,bừa bãi,6
乱,忙乱,máng luàn,bận rộn và lộn xộn,7
乱,慌乱,huāng luàn,hoảng loạn,7
乱,捣乱,dǎo luàn,gây rối,7
乱,紊乱,wěn luàn,hỗn loạn,7
乱,霍乱,huò luàn,dịch tả,7
乱,骚乱,sāo luàn,náo loạn,7
乱,乱七八糟,luàn qī bā zāo,lộn xộn,7
乱,杂乱无章,zá luàn wú zhāng,hỗn loạn và bừa bộn,7
乱,胡思乱想,hú sī luàn xiǎng,mơ mộng,7
乱,活蹦乱跳,huó bèng luàn tiào,"Sống động, nhanh nhẹn, lanh lợi; nhảy nhót lung tung",8
乳,乳名,rǔ míng,"Tên gọi ở nhà, tên cúng cơm",4
乳,哺乳,bǔ rǔ,cho con bú,6
乳,乳制品,rǔ zhì pǐn,sản phẩm sữa,6
