target,pinyin,meaning,status,mainForm,name,resolutionType,componentOfCount
举,jǔ,"trích dẫn, liệt kê",resolved,手,Bộ Thủ,record-radical,24
丿,piě,"Ta gọi là cái phẩy, là một nét phẩy của chữ",resolved,丿,"Bộ Phách, Phiệt",self-radical,0
乃,nǎi,không gì khác hơn,not-resolved,,,not-resolved,0
久,jiǔ,"lâu, đã lâu",not-resolved,,,not-resolved,0
么,má,trợ từ cảm thán cuối câu,not-resolved,,,not-resolved,0
义,Yì,"họ [Yi4]; (Đài Loan) viết tắt của 義大利|义大利[Yi4da4li4], Ý",resolved,羊,Bộ Dương,record-radical,5
之,zhī,của,not-resolved,,,not-resolved,0
乌,Wū,viết tắt của Ukraine 烏克蘭|乌克兰[Wu1ke4lan2]; họ [Wu1],not-resolved,,,not-resolved,0
乎,hū,(trợ từ cổ điển tương tự 於|于[yu2]) trong; tại,not-resolved,,,not-resolved,0
乏,fá,"Mệt mỏi, thiếu thốn, không đủ",not-resolved,,,not-resolved,0
乐,lè,vui vẻ,resolved,幺,Bộ Yêu,record-radical,1
乒,pīng,(từ tượng thanh) ping; bing,not-resolved,,,not-resolved,0
乓,pāng,(từ tượng thanh) băng,not-resolved,,,not-resolved,0
乔,Qiáo,họ [Qiao2],resolved,大,Bộ Đại,record-radical,12
乖,guāi,ngoan,not-resolved,,,not-resolved,0
乘,chéng,đi,resolved,人,Bộ Nhân,record-radical,24
乙,yǐ,hai,resolved,乙,Bộ Ất,self-radical,0
九,jiǔ,chín,not-resolved,,,not-resolved,0
乞,qǐ,ăn xin,not-resolved,,,not-resolved,0
也,yě,cũng,not-resolved,,,not-resolved,0
习,Xí,họ [Xi2],resolved,羽,Bộ Vũ,record-radical,8
乡,xiāng,nông thôn; quê hương,resolved,卩,Bộ Tiết,record-radical,3
书,shū,sách,resolved,聿,Bộ Duật,record-radical,4
买,mǎi,mua,resolved,网,Bộ Võng,record-radical,5
乱,luàn,bừa bãi,resolved,舌,Bộ Thiệt,record-radical,3
乳,rǔ,vú; sữa,not-resolved,,,not-resolved,0
亅,shù,Tức là cái nét xổ có móc,resolved,亅,Bộ Quyết,self-radical,0
了,le,"trợ từ ""le""",not-resolved,,,not-resolved,0
予,yǔ,"cho, ban cho, cấp cho",not-resolved,,,not-resolved,0
争,zhēng,tranh đấu,resolved,又,Bộ Hựu,record-radical,17
事,shì,việc,not-resolved,,,not-resolved,0
二,èr,hai,resolved,二,Bộ Nhị,self-radical,2
于,yú,ở,not-resolved,,,not-resolved,0
亏,kuī,lỗ (tiền); bị thiếu hụt; bị thiếu,not-resolved,,,not-resolved,0
云,yún,mây,not-resolved,,,not-resolved,0
互,hù,lẫn nhau,not-resolved,,,not-resolved,0
五,wǔ,năm,not-resolved,,,not-resolved,0
井,jǐng,cái giếng,not-resolved,,,not-resolved,0
亚,Yà,châu Á; người châu Á,not-resolved,,,not-resolved,0
些,xiē,một vài,not-resolved,,,not-resolved,0
亠,tóu,Không có ý nghĩa riêng,resolved,亠,Bộ Đầu,self-radical,0
亡,wáng,chết; mất,not-resolved,,,not-resolved,0
交,jiāo,giao,not-resolved,,,not-resolved,0
亦,yì,cũng,resolved,大,Bộ Đại,record-radical,12
产,chǎn,sản xuất,resolved,生,Bộ Sinh,record-radical,1
亩,mǔ,mẫu (đơn vị diện tích = 1/15 ha),resolved,田,Bộ Điền,record-radical,10
享,xiǎng,tận hưởng,not-resolved,,,not-resolved,0
京,Jīng,họ [Jing1]; dân tộc Jing,not-resolved,,,not-resolved,0
亭,tíng,đình; quầy,not-resolved,,,not-resolved,0
亮,liàng,sáng; phát sáng,resolved,人,Bộ Nhân,record-radical,24
亲,qīn,liên quan đến huyết thống,resolved,辛,Bộ Tân,record-radical,5
人,rén,người,resolved,人,Bộ Nhân,self-radical,24
亻,rén,"Người, hành vi, quan hệ.",resolved,人,Bộ Nhân,radical-variant,24
亿,yì,một trăm triệu,resolved,人,Bộ Nhân,record-radical,24
什,shén,gì,resolved,人,Bộ Nhân,record-radical,24
仁,rén,"nhân (lòng nhân ái, lòng thương người)",not-resolved,,,not-resolved,0
仅,jǐn,chỉ,resolved,人,Bộ Nhân,record-radical,24
仆,pū,ngã sấp; ngã nhào,resolved,人,Bộ Nhân,record-radical,24
仇,chóu,kẻ thù,resolved,人,Bộ Nhân,record-radical,24
今,jīn,bây giờ; thời gian hiện tại,not-resolved,,,not-resolved,0
介,jiè,giới thiệu; nằm giữa,resolved,人,Bộ Nhân,record-radical,24
仍,réng,vẫn,not-resolved,,,not-resolved,0
从,cóng,từ,not-resolved,,,not-resolved,0
仑,lún,sắp xếp,not-resolved,,,not-resolved,0
仓,cāng,kho; thương khố,not-resolved,,,not-resolved,0
仔,zǎi,biến thể của 崽[zai3]; (tiếng địa phương) (hình thức kết hợp) chàng trai,resolved,人,Bộ Nhân,record-radical,24
他,tā,anh ấy,resolved,人,Bộ Nhân,record-radical,24
仗,zhàng,"Dựa vào, cậy vào; trận (chiến)",resolved,人,Bộ Nhân,record-radical,24
付,fù,trả,resolved,人,Bộ Nhân,record-radical,24
仙,xiān,tiên,resolved,人,Bộ Nhân,record-radical,24
代,dài,thay mặt,resolved,人,Bộ Nhân,record-radical,24
令,lìng,mệnh lệnh,resolved,口,Bộ Khẩu,record-radical,24
以,yǐ,"vì, cho, bởi",not-resolved,,,not-resolved,0
仪,yí,thiết bị; nghi thức,not-resolved,,,not-resolved,0
们,men,một hậu tố chỉ số nhiều,resolved,人,Bộ Nhân,record-radical,24
仰,yǎng,ngẩng mặt lên,not-resolved,,,not-resolved,0
仲,Zhòng,họ [Zhong4],not-resolved,,,not-resolved,0
件,jiàn,"cái, chiếc",resolved,人,Bộ Nhân,record-radical,24
价,jià,giá trị; giá,resolved,人,Bộ Nhân,record-radical,24
任,rèn,phục vụ trong một vị trí,resolved,人,Bộ Nhân,record-radical,24
份,fèn,phần,resolved,人,Bộ Nhân,record-radical,24
仿,fǎng,bắt chước,resolved,人,Bộ Nhân,record-radical,24
企,qǐ,(hình thức ràng buộc) nhón chân và nhìn; mong chờ; trông đợi; viết tắt của 企業|企业[qi3 ye4],resolved,人,Bộ Nhân,record-radical,24
伊,Yī,"họ [Yi1]; viết tắt của 伊拉克[Yi1la1ke4], Iraq",resolved,人,Bộ Nhân,record-radical,24
伍,Wǔ,họ [Wu3],not-resolved,,,not-resolved,0
伏,Fú,họ [Fu2],not-resolved,,,not-resolved,0
伐,fá,chặt; hạ xuống,not-resolved,,,not-resolved,0
休,Xiū,họ [Xiu1],resolved,人,Bộ Nhân,record-radical,24
众,Zhòng,"viết tắt của 眾議院|众议院[Zhong4 yi4 yuan4], Hạ nghị viện",resolved,人,Bộ Nhân,record-radical,24
优,yōu,tuyệt vời,resolved,人,Bộ Nhân,record-radical,24
伙,huǒ,bạn,resolved,人,Bộ Nhân,record-radical,24
会,huì,có thể,not-resolved,,,not-resolved,0
伞,sǎn,cái ô,not-resolved,,,not-resolved,0
伟,wěi,to; lớn,resolved,人,Bộ Nhân,record-radical,24
传,chuán,truyền,resolved,人,Bộ Nhân,record-radical,24
伤,shāng,vết thương,resolved,人,Bộ Nhân,record-radical,24
伦,lún,mối quan hệ giữa người với người; trật tự,resolved,人,Bộ Nhân,record-radical,24
伪,wěi,giả; giả mạo,resolved,人,Bộ Nhân,record-radical,24
伯,bà,biến thể của 霸[ba4],resolved,人,Bộ Nhân,record-radical,24
估,gū,ước lượng,resolved,人,Bộ Nhân,record-radical,24
伴,bàn,bạn đồng hành; đồng chí; cộng sự; đồng hành,resolved,人,Bộ Nhân,record-radical,24
伸,shēn,duỗi ra,not-resolved,,,not-resolved,0
伺,cì,dùng trong 伺候[ci4hou5],resolved,人,Bộ Nhân,record-radical,24
似,shì,dùng trong 似的[shi4de5],resolved,人,Bộ Nhân,record-radical,24
但,dàn,nhưng,resolved,人,Bộ Nhân,record-radical,24
位,wèi,vị (từ để chỉ người kính trọng),resolved,人,Bộ Nhân,record-radical,24
低,dī,thấp,resolved,人,Bộ Nhân,record-radical,24
住,zhù,"Sống, cư trú",resolved,人,Bộ Nhân,record-radical,24
佐,zuǒ,hỗ trợ; trợ lý,resolved,人,Bộ Nhân,record-radical,24
佑,yòu,(hình thức kết hợp) phù hộ; bảo vệ,resolved,人,Bộ Nhân,record-radical,24
体,tǐ,cơ thể; hình thức,resolved,人,Bộ Nhân,record-radical,24
何,Hé,họ [He2],resolved,人,Bộ Nhân,record-radical,24
余,yú,dư thừa,not-resolved,,,not-resolved,0
佛,fó,Phật,resolved,人,Bộ Nhân,record-radical,24
作,zuō,(hình thức kết hợp) công nhân; (hình thức kết hợp) xưởng,resolved,人,Bộ Nhân,record-radical,24
佞,nìng,tâng bốc; xu nịnh,not-resolved,,,not-resolved,0
你,nǐ,bạn,resolved,人,Bộ Nhân,record-radical,24
佣,yòng,tiền hoa hồng (cho người môi giới); phí môi giới,not-resolved,,,not-resolved,0
佩,pèi,"kính trọng; đeo (thắt lưng,...)",not-resolved,,,not-resolved,0
佳,jiā,"tốt đẹp, tuyệt vời",resolved,人,Bộ Nhân,record-radical,24
使,shǐ,khiến,resolved,人,Bộ Nhân,record-radical,24
侃,kǎn,ngay thẳng và trung thực; vui vẻ,not-resolved,,,not-resolved,0
侄,zhí,biến thể của 姪|侄[zhi2],resolved,人,Bộ Nhân,record-radical,24
侈,chǐ,xa hoa; lãng phí,not-resolved,,,not-resolved,0
例,lì,ví dụ; tiền lệ,resolved,人,Bộ Nhân,record-radical,24
侍,shì,phục vụ; chăm sóc,resolved,人,Bộ Nhân,record-radical,24
供,gōng,cung cấp,resolved,人,Bộ Nhân,record-radical,24
依,yī,dựa theo,resolved,人,Bộ Nhân,record-radical,24
侠,xiá,hiệp sĩ; dũng cảm và hào hiệp,resolved,人,Bộ Nhân,record-radical,24
侣,lǚ,bạn đồng hành,resolved,人,Bộ Nhân,record-radical,24
侦,zhēn,do thám; phát hiện,resolved,人,Bộ Nhân,record-radical,24
侧,cè,bên cạnh,resolved,人,Bộ Nhân,record-radical,24
侨,qiáo,người di cư; cư trú ở nước ngoài,resolved,人,Bộ Nhân,record-radical,24
侮,wǔ,lăng mạ; chế nhạo,not-resolved,,,not-resolved,0
侵,qīn,xâm lược; xâm phạm,not-resolved,,,not-resolved,0
便,biàn,tiện lợi,resolved,人,Bộ Nhân,record-radical,24
促,cù,(hình thức kết hợp) thời gian ngắn; vội vàng; nhanh chóng; (hình thức kết hợp) thúc giục; thúc đẩy,not-resolved,,,not-resolved,0
俄,E,Nga; tiếng Nga,resolved,人,Bộ Nhân,record-radical,24
俊,jùn,đẹp,resolved,人,Bộ Nhân,record-radical,24
俏,qiào,ưa nhìn; quyến rũ,not-resolved,,,not-resolved,0
俗,sú,phong tục,resolved,人,Bộ Nhân,record-radical,24
俘,fú,bắt làm tù binh; tù binh chiến tranh,resolved,人,Bộ Nhân,record-radical,24
保,bǎo,bảo quản,resolved,人,Bộ Nhân,record-radical,24
信,xìn,thư,resolved,人,Bộ Nhân,record-radical,24
俩,liǎ,hai,resolved,人,Bộ Nhân,record-radical,24
俭,jiǎn,(hình thức kết hợp) tiết kiệm; tằn tiện,resolved,人,Bộ Nhân,record-radical,24
修,xiū,sửa chữa,resolved,彡,Bộ Sam,record-radical,7
俯,fǔ,biến thể của 俯[fu3],resolved,人,Bộ Nhân,record-radical,24
俱,jù,(văn học) tất cả; cả hai; hoàn toàn; không ngoại lệ; (văn học) cùng nhau,resolved,人,Bộ Nhân,record-radical,24
倍,bèi,"lần, bội số",not-resolved,,,not-resolved,0
倒,dǎo,"ngã, đổ; lộn ngược",resolved,人,Bộ Nhân,record-radical,24
倔,juè,bướng bỉnh,not-resolved,,,not-resolved,0
倘,tǎng,"Nếu, giả sử, nếu như",resolved,人,Bộ Nhân,record-radical,24
候,hòu,đợi; hỏi thăm,resolved,人,Bộ Nhân,record-radical,24
倚,yǐ,dựa vào,resolved,人,Bộ Nhân,record-radical,24
借,jiè,"vay, mượn",resolved,人,Bộ Nhân,record-radical,24
倡,chàng,khởi xướng; kích động,not-resolved,,,not-resolved,0
倦,juàn,mệt mỏi,not-resolved,,,not-resolved,0
倪,Ní,họ [Ni2],not-resolved,,,not-resolved,0
债,zhài,nợ,not-resolved,,,not-resolved,0
值,zhí,"giá, giá trị",resolved,人,Bộ Nhân,record-radical,24
倾,qīng,lật đổ; sụp đổ,resolved,人,Bộ Nhân,record-radical,24
假,jiǎ,giả; giả mạo; giả vờ,resolved,人,Bộ Nhân,record-radical,24
偏,piān,nghiêng,resolved,人,Bộ Nhân,record-radical,24
做,zuò,làm,not-resolved,,,not-resolved,0
停,tíng,dừng; đậu xe,resolved,人,Bộ Nhân,record-radical,24
健,jiàn,khỏe mạnh; làm cho cường tráng,resolved,人,Bộ Nhân,record-radical,24
偶,ǒu,tình cờ; hình ảnh,resolved,人,Bộ Nhân,record-radical,24
偷,tōu,ăn cắp,resolved,人,Bộ Nhân,record-radical,24
偿,cháng,hoàn trả; bồi thường,resolved,人,Bộ Nhân,record-radical,24
傅,Fù,họ [Fu4],not-resolved,,,not-resolved,0
傍,bàng,gần; cặp kè,not-resolved,,,not-resolved,0
储,Chǔ,họ [Chu3]; tiếng Đài Loan [Chu2],resolved,人,Bộ Nhân,record-radical,24
催,cuī,"thúc giục, thúc đẩy",resolved,人,Bộ Nhân,record-radical,24
傲,ào,tự hào,resolved,人,Bộ Nhân,record-radical,24
傻,shǎ,ngu ngốc,resolved,人,Bộ Nhân,record-radical,24
像,xiàng,giống như,resolved,人,Bộ Nhân,record-radical,24
僚,Liáo,họ [Liao2],resolved,人,Bộ Nhân,record-radical,24
僧,sēng,(hình thức kết hợp) nhà sư (viết tắt của 僧伽[seng1 qie2]),resolved,人,Bộ Nhân,record-radical,24
僵,jiāng,bế tắc,resolved,人,Bộ Nhân,record-radical,24
僻,pì,(hình thức kết hợp) hẻo lánh; xa xôi,resolved,人,Bộ Nhân,record-radical,24
儒,rú,học giả; người theo Nho giáo,resolved,人,Bộ Nhân,record-radical,24
儿,rén,"biến thể của 人[ren2]; bộ ""nhân"" trong chữ Hán (bộ Khang Hy số 10), xuất hiện trong 兒, 兀, 兄, v.v.",resolved,儿,Bộ Nhi,self-radical,1
兀,Wù,họ [Wu4],not-resolved,,,not-resolved,0
允,yǔn,công bằng; công chính,not-resolved,,,not-resolved,0
元,yuán,nhân dân tệ,not-resolved,,,not-resolved,0
兄,xiōng,anh trai,resolved,口,Bộ Khẩu,record-radical,24
充,chōng,đổ đầy,resolved,子,"Bộ Tử, Tý",record-radical,7
兆,Zhào,họ [Zhao4],not-resolved,,,not-resolved,0
先,xiān,trước,resolved,止,Bộ Chỉ,record-radical,8
光,guāng,ánh sáng,resolved,火,Bộ Hỏa,record-radical,24
克,kè,gam,not-resolved,,,not-resolved,0
免,miǎn,miễn,not-resolved,,,not-resolved,0
兑,Duì,họ [Dui4],resolved,八,Bộ Bát,record-radical,3
兔,tù,biến thể của 兔[tu4],not-resolved,,,not-resolved,0
党,dǎng,đảng,resolved,儿,Bộ Nhi,record-radical,1
兜,dōu,di chuyển xung quanh,not-resolved,,,not-resolved,0
兢,jīng,lo sợ; e ngại,not-resolved,,,not-resolved,0
入,rù,đi vào,resolved,入,Bộ Nhập,self-radical,2
全,quán,toàn bộ,resolved,入,Bộ Nhập,record-radical,2
八,bā,tám,resolved,八,Bộ Bát,self-radical,3
公,gōng,đực,not-resolved,,,not-resolved,0
六,liù,sáu,not-resolved,,,not-resolved,0
兰,Lán,"họ [Lan2]; viết tắt của Lan Châu 蘭州|兰州[Lan2zhou1], Cam Túc",resolved,艸,Bộ Thảo,record-radical,24
共,gòng,cùng nhau,not-resolved,,,not-resolved,0
关,guān,đóng,resolved,門,Bộ Môn,record-radical,15
兴,Xīng,họ [Xing1],not-resolved,,,not-resolved,0
兵,bīng,lính,resolved,斤,Bộ Cân,record-radical,6
其,qí,của anh ấy; của cô ấy,not-resolved,,,not-resolved,0
具,jù,"lượng từ cho xác chết, quan tài, bộ xương; có, đầy đủ (ít dùng)",resolved,鼎,Bộ Đỉnh,record-radical,2
典,diǎn,kinh điển; pháp luật,not-resolved,,,not-resolved,0
兹,zī,này,not-resolved,,,not-resolved,0
养,yǎng,nuôi dưỡng,not-resolved,,,not-resolved,0
兼,jiān,kiêm nhiệm,resolved,禾,Bộ Hòa,record-radical,24
兽,shòu,quái thú; động vật,not-resolved,,,not-resolved,0
冂,gōng,"Ðất ở xa ngoài bờ cõi tường thành, tượng trưng hình bao tường thành.Miền ở ngoài rừng",resolved,冂,Bộ Quynh,self-radical,1
内,nèi,bên trong,resolved,入,Bộ Nhập,record-radical,2
冈,gāng,rặng; đồi,resolved,山,Bộ Sơn,record-radical,20
册,cè,tập sách,not-resolved,,,not-resolved,0
再,zài,lại,resolved,二,Bộ Nhị,record-radical,2
冒,mào,xuất hiện,not-resolved,,,not-resolved,0
冖,mì,trùm khăn lên đâu,resolved,冖,Bộ Mật,self-radical,2
冗,rǒng,không cần thiết; thừa,not-resolved,,,not-resolved,0
写,xiě,viết,resolved,冖,Bộ Mật,record-radical,2
军,jūn,(hình thức kết hợp) quân đội; quân sự,resolved,冖,Bộ Mật,record-radical,2
农,Nóng,họ [Nong2],resolved,辰,"Bộ Thần, Thìn",record-radical,1
冠,Guàn,họ [Guan4],not-resolved,,,not-resolved,0
冤,yuān,"xui xẻo, mất mát",not-resolved,,,not-resolved,0
冥,míng,biến thể cũ của 冥[ming2],not-resolved,,,not-resolved,0
冫,bīng,"băng tuyết, nước đá",resolved,冫,Bộ Băng,self-radical,14
冬,dōng,mùa đông,resolved,夂,Bộ Tuy,record-radical,4
冰,bīng,"băng, đá",resolved,水,Bộ Thủy,record-radical,24
冲,chōng,lao tới,resolved,冫,Bộ Băng,record-radical,14
决,jué,"Quyết (không), nhất định (không)",resolved,冫,Bộ Băng,record-radical,14
况,kuàng,hơn nữa; tình hình,resolved,冫,Bộ Băng,record-radical,14
冶,yě,nấu chảy; đúc,not-resolved,,,not-resolved,0
冷,lěng,lạnh,resolved,冫,Bộ Băng,record-radical,14
冻,dòng,đông lạnh,resolved,冫,Bộ Băng,record-radical,14
净,jìng,làm sạch,resolved,冫,Bộ Băng,record-radical,14
凄,qī,lạnh thấu xương; băng giá,resolved,冫,Bộ Băng,record-radical,14
准,zhǔn,chính xác,resolved,冫,Bộ Băng,record-radical,14
凉,liáng,mát,resolved,冫,Bộ Băng,record-radical,14
凌,Líng,họ [Ling2],resolved,冫,Bộ Băng,record-radical,14
减,jiǎn,giảm,resolved,冫,Bộ Băng,record-radical,14
凑,còu,tập hợp,resolved,冫,Bộ Băng,record-radical,14
凛,lǐn,lạnh; rùng mình vì lạnh,resolved,冫,Bộ Băng,record-radical,14
凝,níng,đông lại; tập trung chú ý,resolved,冫,Bộ Băng,record-radical,14
几,jǐ,bao nhiêu,resolved,几,Bộ Kỷ,self-radical,3
凡,fán,mọi,not-resolved,,,not-resolved,0
凤,Fèng,họ [Feng4],resolved,又,Bộ Hựu,record-radical,17
凭,píng,dựa vào,not-resolved,,,not-resolved,0
凯,Kǎi,họ [Kai3],resolved,几,Bộ Kỷ,record-radical,3
凰,huáng,phượng hoàng,resolved,几,Bộ Kỷ,record-radical,3
凳,dèng,ghế dài; đôn,resolved,几,Bộ Kỷ,record-radical,3
凵,kăn,Há miệng,resolved,凵,Bộ Khảm,self-radical,0
凶,xiōng,dữ dội,not-resolved,,,not-resolved,0
凸,tū,lồi,not-resolved,,,not-resolved,0
凹,āo,lõm,not-resolved,,,not-resolved,0
出,chū,ra ngoài,resolved,止,Bộ Chỉ,record-radical,8
击,jī,"đánh, đập, tấn công",not-resolved,,,not-resolved,0
函,hán,phong bì; hộp,not-resolved,,,not-resolved,0
凿,záo,đục,not-resolved,,,not-resolved,0
刀,dāo,dao,resolved,刀,Bộ Đao,self-radical,24
刁,Diāo,họ [Diao1],not-resolved,,,not-resolved,0
刂,dāo,con dao.,resolved,刀,Bộ Đao,radical-variant,24
分,fēn,sự khác biệt; phân biệt,resolved,八,Bộ Bát,record-radical,3
切,qiē,cắt,resolved,刀,Bộ Đao,record-radical,24
刊,kān,in; xuất bản,resolved,刀,Bộ Đao,record-radical,24
刑,Xíng,họ [Xing2],resolved,刀,Bộ Đao,record-radical,24
划,huá,chèo,resolved,刀,Bộ Đao,record-radical,24
列,liè,hàng,resolved,刀,Bộ Đao,record-radical,24
则,zé,thay vào đó,resolved,鼎,Bộ Đỉnh,record-radical,2
刚,gāng,vừa mới,resolved,刀,Bộ Đao,record-radical,24
创,chuàng,khởi xướng,resolved,刀,Bộ Đao,record-radical,24
初,chū,bắt đầu,resolved,衣,Bộ Y,record-radical,22
删,shān,xóa bỏ,not-resolved,,,not-resolved,0
判,pàn,quyết định,resolved,刀,Bộ Đao,record-radical,24
刨,páo,bào,resolved,刀,Bộ Đao,record-radical,24
利,lì,lợi ích,resolved,禾,Bộ Hòa,record-radical,24
别,bié,đừng,not-resolved,,,not-resolved,0
刮,guā,cạo,resolved,刀,Bộ Đao,record-radical,24
到,dào,đến,resolved,至,Bộ Chí,record-radical,1
制,zhì,hệ thống,resolved,木,Bộ Mộc,record-radical,24
刷,shuā,sơn,resolved,刀,Bộ Đao,record-radical,24
券,quàn,"chứng chỉ, vé",resolved,刀,Bộ Đao,record-radical,24
刹,chà,"chùa, đền hoặc miếu Phật giáo (viết tắt của 剎多羅|刹多罗[cha4duo1luo2], tiếng Phạn ""ksetra"")",resolved,刀,Bộ Đao,record-radical,24
刺,cì,đâm,resolved,刀,Bộ Đao,record-radical,24
刻,kè,một phần tư,resolved,刀,Bộ Đao,record-radical,24
剂,jì,chế phẩm,resolved,刀,Bộ Đao,record-radical,24
剃,tì,cạo,resolved,刀,Bộ Đao,record-radical,24
削,xiāo,gọt; bào,resolved,刀,Bộ Đao,record-radical,24
前,qián,trước,resolved,止,Bộ Chỉ,record-radical,8
剑,jiàn,kiếm,resolved,刀,Bộ Đao,record-radical,24
剔,tī,"bóc thịt khỏi xương; xỉa (răng,...)",resolved,刀,Bộ Đao,record-radical,24
剖,pōu,mổ xẻ; phân tích,resolved,刀,Bộ Đao,record-radical,24
剥,bāo,bóc,resolved,刀,Bộ Đao,record-radical,24
剧,jù,vở kịch,resolved,刀,Bộ Đao,record-radical,24
剩,shèng,"còn lại, dư lại; còn thừa",resolved,刀,Bộ Đao,record-radical,24
剪,jiǎn,cắt,resolved,刀,Bộ Đao,record-radical,24
副,fù,phó,resolved,刀,Bộ Đao,record-radical,24
割,gē,cắt,resolved,刀,Bộ Đao,record-radical,24
劈,pī,"chẻ, bổ",resolved,刀,Bộ Đao,record-radical,24
力,lì,sức mạnh,resolved,力,Bộ Lực,self-radical,21
劝,quàn,khuyên,not-resolved,,,not-resolved,0
办,bàn,"làm, quản lý",resolved,力,Bộ Lực,record-radical,21
功,gōng,thành tích,resolved,力,Bộ Lực,record-radical,21
加,jiā,cộng; thêm vào,resolved,力,Bộ Lực,record-radical,21
务,wù,công việc; kinh doanh,resolved,攴,Bộ Phộc,record-radical,22
劣,liè,"kém, tệ, dở",not-resolved,,,not-resolved,0
动,dòng,di chuyển,resolved,力,Bộ Lực,record-radical,21
助,zhù,giúp; hỗ trợ,resolved,力,Bộ Lực,record-radical,21
努,nǔ,nỗ lực; cố gắng,resolved,力,Bộ Lực,record-radical,21
劫,jié,cướp,resolved,力,Bộ Lực,record-radical,21
励,Lì,họ [Li4],resolved,力,Bộ Lực,record-radical,21
劲,jìn,sức mạnh; năng lượng,resolved,力,Bộ Lực,record-radical,21
劳,láo,lao động; công việc,resolved,力,Bộ Lực,record-radical,21
势,shì,quyền lực; ảnh hưởng,resolved,力,Bộ Lực,record-radical,21
勃,bó,thịnh vượng; phồn thịnh,resolved,力,Bộ Lực,record-radical,21
勇,yǒng,dũng cảm,resolved,力,Bộ Lực,record-radical,21
勉,miǎn,khích lệ; nỗ lực,resolved,力,Bộ Lực,record-radical,21
勋,xūn,huân chương; công trạng,resolved,力,Bộ Lực,record-radical,21
勒,lēi,thắt chặt,resolved,力,Bộ Lực,record-radical,21
勘,kān,điều tra; khảo sát,resolved,力,Bộ Lực,record-radical,21
募,mù,quyên góp; thu thập,resolved,力,Bộ Lực,record-radical,21
勤,qín,siêng năng; cần cù,resolved,力,Bộ Lực,record-radical,21
勹,bāo,"Bọc, bao, gói.(Hình người khom lưng để ôm một vật)",resolved,勹,Bộ Bao,self-radical,1
勺,sháo,muỗng,not-resolved,,,not-resolved,0
勾,gōu,đánh dấu,not-resolved,,,not-resolved,0
勿,wù,đừng,resolved,刀,Bộ Đao,record-radical,24
匀,yún,đều; phân bố đều,not-resolved,,,not-resolved,0
包,bāo,gói,not-resolved,,,not-resolved,0
匆,cōng,vội vàng; gấp gáp,not-resolved,,,not-resolved,0
匕,bǐ,"Cái thìa, cái muỗng, còn có nghĩa để so sánh, như nói cuộc đời yên lặng thì gọi là ""trủy xưởng bất kinh"" 匕鬯不驚 nghĩa là vẫn được vô sự mà ăn uống yên lành",resolved,匕,"Bộ Tỷ, Chủy",self-radical,3
