char,tier,pinyin,hanViet,meaningVi,radicalStatus,radical,radicalName,resolutionType,relatedCount,sentenceCount,hsk,source
㓞,C,qià,,,resolved,刀,Bộ Đao,record-radical,0,0,,chars/34DE.json
㔾,C,jié,,"bộ ""tiết"" trong chữ Hán (bộ Khang Hy số 26)",not-resolved,,,not-resolved,0,0,7,chars/353E.json
㕡,C,hé,,,not-resolved,,,not-resolved,0,0,,chars/3561.json
㕥,C,shēn,,biến thể cũ của 呻[shen1],not-resolved,,,not-resolved,0,0,7,chars/3565.json
㕯,C,nè,,biến thể cũ của 訥|讷[ne4],not-resolved,,,not-resolved,0,0,7,chars/356F.json
㕻,C,pǒu,,biến thể của 咅[pou3]; cũng đọc là [tou4],not-resolved,,,not-resolved,0,0,7,chars/357B.json
㖊,C,xún,,"sải nước (1,83 mét) (cũ)",not-resolved,,,not-resolved,0,0,7,chars/358A.json
㖞,C,wāi,Oa,méo (miệng); lệch,not-resolved,,,not-resolved,0,0,7,chars/359E.json
㗂,C,shěng,,biến thể của 省[sheng3]; kiệm lời,not-resolved,,,not-resolved,0,0,7,chars/35C2.json
㗎,C,jià,,,not-resolved,,,not-resolved,0,0,7,chars/35CE.json
㚔,C,niè,,,not-resolved,,,not-resolved,0,0,7,chars/3694.json
㚻,C,jī,,dùng trong 㚻姦|㚻奸[ji1 jian1],not-resolved,,,not-resolved,0,0,7,chars/36BB.json
㛀,C,chú,,phụ nữ mang thai (cổ),not-resolved,,,not-resolved,0,0,7,chars/36C0.json
㛂,C,nuǒ,,duyên dáng; mảnh mai và nhỏ nhắn,not-resolved,,,not-resolved,0,0,7,chars/36C2.json
㝄,C,chún,,biến thể cũ của 純|纯[chun2],not-resolved,,,not-resolved,0,0,7,chars/3744.json
㝇,C,chún,,biến thể cũ của 鶉|鹑[chun2],not-resolved,,,not-resolved,0,0,7,chars/3747.json
㝉,B,zhù,Trữ,lưu trữ; đứng,resolved,宀,Bộ Miên,record-radical,0,0,7,chars/3749.json
㝵,B,ài,,biến thể của 礙|碍[ai4],resolved,貝,Bộ Bối,record-radical,0,0,7,chars/3775.json
㞎,C,bǎ,,(tiếng địa phương) ị; (tiếng địa phương) đi ị,not-resolved,,,not-resolved,0,0,7,chars/378E.json
㞗,C,qiú,,(tiếng địa phương) dương vật; cu,not-resolved,,,not-resolved,0,0,7,chars/3797.json
㞙,C,niào,,biến thể cũ của 尿[niao4],not-resolved,,,not-resolved,0,0,7,chars/3799.json
㟥,C,cēn,,không đồng đều; không uniform,not-resolved,,,not-resolved,0,0,7,chars/37E5.json
㡭,C,jì,,,not-resolved,,,not-resolved,0,0,,chars/386D.json
㡿,C,chì,,,not-resolved,,,not-resolved,0,0,7,chars/387F.json
㢆,C,chán,,,not-resolved,,,not-resolved,0,0,,chars/3886.json
㢟,C,chān,,,not-resolved,,,not-resolved,0,0,,chars/389F.json
㢲,C,xùn,,biến thể của 巽[xun4],not-resolved,,,not-resolved,0,0,7,chars/38B2.json
㢴,C,xī,,biến thể cũ của 西[xi1],not-resolved,,,not-resolved,0,0,7,chars/38B4.json
㣎,C,mù,,,not-resolved,,,not-resolved,0,0,,chars/38CE.json
㤅,C,ài,,biến thể cổ của 愛|爱[ai4],not-resolved,,,not-resolved,0,0,7,chars/3905.json
㤽,C,chóu,,dùng trong 懤懤|㤽㤽[chou2 chou2],not-resolved,,,not-resolved,0,0,7,chars/393D.json
㥁,C,dé,,biến thể của 德[de2],not-resolved,,,not-resolved,0,0,7,chars/3941.json
㥏,C,tiǎn,,xấu hổ,not-resolved,,,not-resolved,0,0,7,chars/394F.json
㥯,B,yǐn,,cẩn thận,resolved,心,Bộ Tâm,record-radical,0,0,7,chars/396F.json
㦂,C,cháng,,biến thể cũ của 常[chang2],not-resolved,,,not-resolved,0,0,7,chars/3982.json
㧑,C,huī,Vày,tách ra; chỉ đạo,not-resolved,,,not-resolved,0,0,7,chars/39D1.json
㧜,C,liè,,,not-resolved,,,not-resolved,0,0,,chars/39DC.json
㧯,C,lǎo,,giỏ đan tròn đáy; (phương ngữ) nhấc,not-resolved,,,not-resolved,0,0,7,chars/39EF.json
㧰,C,lüè,,(cổ) đánh; giã,not-resolved,,,not-resolved,0,0,7,chars/39F0.json
㨃,C,duǐ,,biến thể của 懟|怼[dui3],not-resolved,,,not-resolved,0,0,7,chars/3A03.json
㨫,C,lǎn,Giam,biến thể của 擥[lan3],not-resolved,,,not-resolved,0,0,7,chars/3A2B.json
㩐,C,dèn,,biến thể của 扽[den4],not-resolved,,,not-resolved,0,0,7,chars/3A50.json
㪃,C,hé,,đánh; đập,not-resolved,,,not-resolved,0,0,7,chars/3A83.json
㪋,C,hàn,,biến thể của 捍[han4],not-resolved,,,not-resolved,0,0,7,chars/3A8B.json
㫃,C,yǎn,,,not-resolved,,,not-resolved,0,0,7,chars/3AC3.json
㫺,C,xī,,biến thể cũ của 昔[xi1],not-resolved,,,not-resolved,0,0,7,chars/3AFA.json
㬎,C,xiǎn,,biến thể cũ của 顯|显[xian3],not-resolved,,,not-resolved,0,0,7,chars/3B0E.json
㮎,C,bēi,,biến thể của 杯[bei1],not-resolved,,,not-resolved,0,0,7,chars/3B8E.json
㮚,C,lì,,biến thể cũ của 栗[li4],not-resolved,,,not-resolved,0,0,7,chars/3B9A.json
㮸,C,sòng,,biến thể của 送[song4],not-resolved,,,not-resolved,0,0,7,chars/3BB8.json
㯳,C,qíng,,biến thể của 檠[qing2],not-resolved,,,not-resolved,0,0,7,chars/3BF3.json
㱩,C,dú,,sảy thai; chết lưu,not-resolved,,,not-resolved,0,0,7,chars/3C69.json
㱮,C,kuì,,hoại tử; lở loét (biến thể cũ của 潰|溃[hui4]),not-resolved,,,not-resolved,0,0,7,chars/3C6E.json
㱾,C,gāi,,một loại đồ trang sức bằng kim loại hoặc ngọc thời xưa đeo để xua đuổi tà ma,not-resolved,,,not-resolved,0,0,7,chars/3C7E.json
㲈,C,sháo,,biến thể của 韶[shao2],not-resolved,,,not-resolved,0,0,7,chars/3C88.json
㲋,C,chuò,,tên cổ cho một loài động vật giống thỏ nhưng to hơn,not-resolved,,,not-resolved,0,0,7,chars/3C8B.json
㲱,C,liè,,biến thể cũ của 鬣[lie4],not-resolved,,,not-resolved,0,0,7,chars/3CB1.json
㲾,C,yǔ,,biến thể cũ của 雨[yu3],not-resolved,,,not-resolved,0,0,7,chars/3CBE.json
㳂,C,yán,,biến thể của 沿[yan2],not-resolved,,,not-resolved,0,0,7,chars/3CC2.json
㳮,C,niào,,biến thể cũ của 尿[niao4],not-resolved,,,not-resolved,0,0,7,chars/3CEE.json
㴋,C,xiāo,,tiếng mưa và gió,not-resolved,,,not-resolved,0,0,7,chars/3D0B.json
㵪,C,xián,,biến thể của 涎[xian2],not-resolved,,,not-resolved,0,0,7,chars/3D6A.json
㵮,C,chún,,nước trong,not-resolved,,,not-resolved,0,0,7,chars/3D6E.json
㶉,C,xī,,dùng trong 鸂鶒|㶉鶒[xi1 chi4],not-resolved,,,not-resolved,0,0,7,chars/3D89.json
㶶,C,nóng,Nóng,(tiếng địa phương) làm cháy; làm khét,not-resolved,,,not-resolved,0,0,7,chars/3DB6.json
㶸,C,xié,,"(nghĩa chính xác chưa rõ, liên quan đến sắt); biến thể của 協|协[xie2]",not-resolved,,,not-resolved,0,0,7,chars/3DB8.json
㷖,C,zhào,,biến thể cũ của 照[zhao4],not-resolved,,,not-resolved,0,0,7,chars/3DD6.json
㷭,C,fēng,,biến thể cũ của 烽[feng1],not-resolved,,,not-resolved,0,0,7,chars/3DED.json
㹠,C,tún,,biến thể cũ của 豚[tun2],not-resolved,,,not-resolved,0,0,7,chars/3E60.json
㹢,C,jiā,,"dùng để phiên âm ""okapi"" 㺢㹢狓[huo4jia1pi2]",not-resolved,,,not-resolved,0,0,7,chars/3E62.json
㹴,C,gěng,,chó sục; cũng đọc là [geng3],not-resolved,,,not-resolved,0,0,7,chars/3E74.json
㺍,C,biān,,biến thể cũ của 猵[bian1],not-resolved,,,not-resolved,0,0,7,chars/3E8D.json
㺢,C,huò,,"dùng để phiên âm ""okapi"" 㺢㹢狓[huo4jia1pi2]",not-resolved,,,not-resolved,0,0,7,chars/3EA2.json
㺵,C,jiǔ,,ngọc đen (biến thể của 玖[jiu3]),not-resolved,,,not-resolved,0,0,7,chars/3EB5.json
㻅,C,huì,,đồ trang sức ngọc trong đường may của mũ,not-resolved,,,not-resolved,0,0,7,chars/3EC5.json
㻽,C,xuán,,biến thể của 璿|璇[xuan2]; cũng đọc là [sui4],not-resolved,,,not-resolved,0,0,7,chars/3EFD.json
㼌,C,yǔ,,,not-resolved,,,not-resolved,0,0,,chars/3F0C.json
㽮,C,xīng,,biến thể cũ của 星[xing1],not-resolved,,,not-resolved,0,0,7,chars/3F6E.json
㿝,C,xiāng,,biến thể cũ của 香[xiang1],not-resolved,,,not-resolved,0,0,7,chars/3FDD.json
㿽,C,xī,,,resolved,皿,Bộ Mãnh,record-radical,0,0,,chars/3FFD.json
䁖,B,lōu,,liếc nhìn,resolved,目,Bộ Mục,record-radical,0,0,7,chars/4056.json
䂖,C,shí,,biến thể của 石[shi2],not-resolved,,,not-resolved,0,0,7,chars/4096.json
䂲,C,fǎ,,biến thể của 砝[fa3],not-resolved,,,not-resolved,0,0,7,chars/40B2.json
䂶,C,jié,,biến thể của 蜐[jie2],not-resolved,,,not-resolved,0,0,7,chars/40B6.json
䃉,C,mín,,biến thể cũ của 珉[min2],not-resolved,,,not-resolved,0,0,7,chars/40C9.json
䅟,C,shān,,panicum frumentaceum,not-resolved,,,not-resolved,0,0,7,chars/415F.json
䅵,C,zhuó,,trấu; cám,not-resolved,,,not-resolved,0,0,7,chars/4175.json
䇂,C,qiān,,,not-resolved,,,not-resolved,0,0,7,chars/41C2.json
䇲,C,cè,,biến thể của 筴|策[ce4],not-resolved,,,not-resolved,0,0,7,chars/41F2.json
䉤,C,sǒu,,giỏ để ráo gạo,not-resolved,,,not-resolved,0,0,7,chars/4264.json
䌷,C,chóu,Dò,lụa,not-resolved,,,not-resolved,0,0,7,chars/4337.json
䌸,C,zhuàn,,trói lại,not-resolved,,,not-resolved,0,0,7,chars/4338.json
䌹,C,jiǒng,,loại áo đơn sắc không có lót,not-resolved,,,not-resolved,0,0,7,chars/4339.json
䌽,B,cǎi,,biến thể của 彩[cai3],resolved,糸,Bộ Mịch,record-radical,0,0,7,chars/433D.json
䍁,C,suì,Choại,tua rua,not-resolved,,,not-resolved,0,0,7,chars/4341.json
䍃,B,yáo,,(cổ) bình; lọ,resolved,缶,"Bộ Phẫu, Phữu",record-radical,0,0,7,chars/4343.json
䍹,C,shān,,biến thể của 羶[shan1],not-resolved,,,not-resolved,0,0,7,chars/4379.json
䒗,C,qì,,biến thể cũ của 芞[qi4],not-resolved,,,not-resolved,0,0,7,chars/4497.json
䓕,B,wěi,,(cổ) loại cỏ,resolved,艸,Bộ Thảo,record-radical,0,0,7,chars/44D5.json
䓖,B,qióng,,xem 芎藭|芎䓖[xiong1 qiong2],resolved,艸,Bộ Thảo,record-radical,0,0,7,chars/44D6.json
䔢,C,huá,,biến thể cũ của 華|华[hua2],not-resolved,,,not-resolved,0,0,7,chars/4522.json
䕭,B,qián,,biến thể của 蕁|荨[qian2],resolved,艸,Bộ Thảo,record-radical,0,0,7,chars/456D.json
䖒,C,xī,,,not-resolved,,,not-resolved,0,0,7,chars/4592.json
䖟,C,méng,,biến thể cũ của 虻[meng2],not-resolved,,,not-resolved,0,0,7,chars/459F.json
䖸,C,é,,biến thể của 蛾[e2],not-resolved,,,not-resolved,0,0,7,chars/45B8.json
䗈,C,méng,,biến thể cũ của 虻[meng2],not-resolved,,,not-resolved,0,0,7,chars/45C8.json
䗖,B,dì,Giải,cầu vồng,resolved,虫,Bộ Trùng,record-radical,0,0,7,chars/45D6.json
䗥,C,zōng,,dùng trong 螉䗥[weng1 zong1],not-resolved,,,not-resolved,0,0,7,chars/45E5.json
䗪,C,zhè,,con gián đất Trung Quốc (Eupolyphaga sinensis),not-resolved,,,not-resolved,0,0,7,chars/45EA.json
䗶,C,là,,biến thể cũ của 蠟|蜡[la4],not-resolved,,,not-resolved,0,0,7,chars/45F6.json
䙓,C,bǎi,,vạt áo ở dưới của trang phục,not-resolved,,,not-resolved,0,0,7,chars/4653.json
䙴,C,qiān,,,not-resolved,,,not-resolved,0,0,,chars/4674.json
䛟,C,jiá,,biến thể của 唊[jia2],not-resolved,,,not-resolved,0,0,7,chars/46DF.json
䜌,C,luán,,,not-resolved,,,not-resolved,0,0,7,chars/470C.json
䜣,B,xīn,,vui mừng; vui sướng,resolved,言,Bộ Ngôn,record-radical,0,0,7,chars/4723.json
䜩,B,yàn,,biến thể của 宴[yan4],resolved,言,Bộ Ngôn,record-radical,0,0,7,chars/4729.json
䝓,C,liè,,biến thể cũ của 鬣[lie4],not-resolved,,,not-resolved,0,0,7,chars/4753.json
䝙,C,chū,,(cổ) động vật giống hổ,not-resolved,,,not-resolved,0,0,7,chars/4759.json
䞓,C,chēng,,biến thể cũ của 赬|赪[cheng1],not-resolved,,,not-resolved,0,0,7,chars/4793.json
䟆,C,bì,,biến thể cũ của 蹕|跸[bi4],not-resolved,,,not-resolved,0,0,7,chars/47C6.json
䟖,C,zhǐ,,biến thể sai của 趾[zhi3],not-resolved,,,not-resolved,0,0,7,chars/47D6.json
䠀,B,chǎng,,ngồi xổm; ngồi,resolved,足,Bộ Túc,record-radical,0,0,7,chars/4800.json
䠞,C,cù,,biến thể của 蹙[cu4],not-resolved,,,not-resolved,0,0,7,chars/481E.json
䤈,C,xī,,biến thể cũ của 醯[xi1],not-resolved,,,not-resolved,0,0,7,chars/4908.json
䥯,C,bà,,cái cày,not-resolved,,,not-resolved,0,0,7,chars/496F.json
䦆,C,jué,,cuốc chim; cái cuốc,not-resolved,,,not-resolved,0,0,7,chars/4986.json
䦉,C,sì,,biến thể của 肆[si4],not-resolved,,,not-resolved,0,0,7,chars/4989.json
䦕,C,pēng,,biến thể của 閛[peng1],not-resolved,,,not-resolved,0,0,7,chars/4995.json
䧹,C,yīng,,,resolved,爿,Bộ,record-radical,0,0,7,chars/49F9.json
䩄,B,miǎn,,biến thể của 靦|腼[mian3],resolved,面,Bộ Diện,record-radical,0,0,7,chars/4A44.json
䩦,C,tiáo,,biến thể của 鞗[tiao2],not-resolved,,,not-resolved,0,0,7,chars/4A66.json
䫏,C,qī,,biến thể của 魌[qi1],not-resolved,,,not-resolved,0,0,7,chars/4ACF.json
䬠,C,fēi,,biến thể cũ của 霏[fei1],not-resolved,,,not-resolved,0,0,7,chars/4B20.json
䬪,C,bó,,biến thể của 餺|馎[bo2],not-resolved,,,not-resolved,0,0,7,chars/4B2A.json
䯄,C,guā,,ngựa lang,not-resolved,,,not-resolved,0,0,7,chars/4BC4.json
䯝,C,suǐ,,biến thể của 髓; tủy,not-resolved,,,not-resolved,0,0,7,chars/4BDD.json
䲔,C,jīng,,biến thể cũ của 鯨|鲸[jing1],not-resolved,,,not-resolved,0,0,7,chars/4C94.json
䲟,C,yìn,,cá ép (Echeneis naucrates),not-resolved,,,not-resolved,0,0,7,chars/4C9F.json
䲠,B,chūn,,xem 鰆魚|䲠鱼[chun1 yu2],resolved,魚,Bộ Ngư,record-radical,0,0,7,chars/4CA0.json
䳗,C,é,,biến thể của 鵝|鹅[e2],not-resolved,,,not-resolved,0,0,7,chars/4CD7.json
䴓,C,shī,,chim trèo cây (chim thuộc chi Sitta),not-resolved,,,not-resolved,0,0,7,chars/4D13.json
䴔,C,jiāo,,một loại chim nước,not-resolved,,,not-resolved,0,0,7,chars/4D14.json
䴕,C,liè,,chim gõ kiến,not-resolved,,,not-resolved,0,0,7,chars/4D15.json
䴘,B,tī,,dùng trong 鷿鷈|䴙䴘[pi4 ti1],resolved,鳥,Bộ Điểu,record-radical,0,0,7,chars/4D18.json
䴙,B,pì,,dùng trong 鷿鷈|䴙䴘[pi4 ti1],resolved,鳥,Bộ Điểu,record-radical,0,0,7,chars/4D19.json
䵹,C,zhī,,biến thể cũ của 蜘[zhi1],not-resolved,,,not-resolved,0,0,7,chars/4D79.json
䶑,C,tì,,biến thể của 嚏[ti4],not-resolved,,,not-resolved,0,0,7,chars/4D91.json
䶮,C,yǎn,,cao và sáng,not-resolved,,,not-resolved,0,0,7,chars/4DAE.json
一,A,yī,Nhất,một,resolved,一,Bộ Nhất,self-radical,20,10,1,chars/4E00.json
丁,C,dīng,Đinh,thứ tư,not-resolved,,,not-resolved,8,8,6,chars/4E01.json
丂,C,kǎo,,"thành tố ""hơi thở"" hoặc ""tiếng thở dài"" trong chữ Hán",not-resolved,,,not-resolved,0,0,7,chars/4E02.json
七,C,qī,Thất,bảy,not-resolved,,,not-resolved,9,10,1,chars/4E03.json
丄,C,shàng,,biến thể cũ của 上[shang4],not-resolved,,,not-resolved,0,0,7,chars/4E04.json
丅,C,xià,,biến thể cũ của 下[xia4],not-resolved,,,not-resolved,0,0,7,chars/4E05.json
丆,C,xx,,"một trong các ký tự được dùng trong kwukyel (phát âm ""myeon""), một hệ thống chữ viết cổ của Hàn Quốc",not-resolved,,,not-resolved,0,0,7,chars/4E06.json
万,C,wàn,Vạn,Mười ngàn,not-resolved,,,not-resolved,19,10,3,chars/4E07.json
丈,A,zhàng,Trượng,"đơn vị đo chiều dài, bằng mười thước Trung Quốc (3,3 m); đo lường",resolved,十,Bộ Thập,record-radical,6,2,2,chars/4E08.json
三,C,sān,Tam,ba,not-resolved,,,not-resolved,16,10,1,chars/4E09.json
上,C,shàng,Thượng,trên,not-resolved,,,not-resolved,20,10,1,chars/4E0A.json
下,C,xià,Hạ,sau,not-resolved,,,not-resolved,20,10,1,chars/4E0B.json
丌,C,Jī,,họ [Ji1],not-resolved,,,not-resolved,0,0,7,chars/4E0C.json
不,C,bù,Bất,không,not-resolved,,,not-resolved,20,10,1,chars/4E0D.json
与,C,yǔ,Dữ,"và, với",not-resolved,,,not-resolved,9,10,4,chars/4E0E.json
丏,C,miǎn,,ẩn khỏi tầm nhìn; chướng ngại để chắn tên,not-resolved,,,not-resolved,0,0,7,chars/4E0F.json
丐,C,gài,Cái,ăn xin; người ăn xin,not-resolved,,,not-resolved,2,3,6,chars/4E10.json
丑,C,Chǒu,Sửu,họ [Chou3],not-resolved,,,not-resolved,6,10,5,chars/4E11.json
丒,C,chǒu,,biến thể của 醜|丑[chou3],not-resolved,,,not-resolved,0,0,7,chars/4E12.json
专,C,zhuān,Chuyên,"cho một người, dịp, mục đích cụ thể; tập trung vào một việc",not-resolved,,,not-resolved,18,10,4,chars/4E13.json
且,C,qiě,Thả,thậm chí,not-resolved,,,not-resolved,7,9,3,chars/4E14.json
丕,C,pī,Vậy,to lớn,not-resolved,,,not-resolved,1,0,7,chars/4E15.json
世,C,Shì,Thế,họ [Shi4],not-resolved,,,not-resolved,20,10,3,chars/4E16.json
丗,C,shì,,biến thể cổ của 世[shi4],not-resolved,,,not-resolved,0,0,7,chars/4E17.json
丘,C,Qiū,Khâu,họ [Qiu1],not-resolved,,,not-resolved,6,2,6,chars/4E18.json
丙,C,bǐng,Bính,thứ ba,not-resolved,,,not-resolved,6,4,6,chars/4E19.json
业,C,yè,Nghiệp,ngành công nghiệp,not-resolved,,,not-resolved,20,10,3,chars/4E1A.json
丛,A,cóng,,"bụi, cụm",resolved,一,Bộ Nhất,record-radical,6,7,6,chars/4E1B.json
东,C,dōng,Hốc / Đông,đông,not-resolved,,,not-resolved,15,10,3,chars/4E1C.json
丝,A,sī,Tơ,sợi,resolved,糸,Bộ Mịch,record-radical,8,10,5,chars/4E1D.json
丞,B,chéng,Thừa,phó,resolved,一,Bộ Nhất,record-radical,1,0,7,chars/4E1E.json
丠,C,qiū,,biến thể cũ của 丘[qiu1],not-resolved,,,not-resolved,0,0,7,chars/4E20.json
両,C,liǎng,,biến thể tiếng Nhật của 兩|两[liang3],not-resolved,,,not-resolved,0,0,7,chars/4E21.json
丢,A,diū,Điêu,"đánh rơi, mất",resolved,一,Bộ Nhất,record-radical,7,10,4,chars/4E22.json
丣,C,yǒu,,biến thể cũ của 酉[you3],not-resolved,,,not-resolved,0,0,7,chars/4E23.json
两,C,liǎng,Lưỡng,hai,not-resolved,,,not-resolved,15,10,2,chars/4E24.json
严,C,yán,Nghiêm,nghiêm khắc,not-resolved,,,not-resolved,10,10,4,chars/4E25.json
丧,C,sāng,Tang,đồ tang; đám tang,not-resolved,,,not-resolved,7,10,6,chars/4E27.json
丨,B,shù,,Bộ cổn,resolved,丨,"Bộ Thụ, Cổn",self-radical,0,0,7,chars/4E28.json
丩,C,jiū,,biến thể cổ của 糾|纠[jiu1],not-resolved,,,not-resolved,0,0,7,chars/4E29.json
个,C,gè,Cá,"miếng, đơn vị (một từ để đo)",not-resolved,,,not-resolved,18,10,1,chars/4E2A.json
丫,C,yā,A,nhánh; rẽ,not-resolved,,,not-resolved,6,5,7,chars/4E2B.json
丬,C,qiáng,,"bộ ""mảnh gỗ"" trong chữ Hán (bộ Khang Hy số 90), hình ảnh phản chiếu của 片 [pian4]",not-resolved,,,not-resolved,0,0,7,chars/4E2C.json
中,C,zhōng,Trung,trong,not-resolved,,,not-resolved,20,10,1,chars/4E2D.json
丮,C,jǐ,,bắt,not-resolved,,,not-resolved,0,0,7,chars/4E2E.json
丰,C,fēng,Phong,sum suê; đẫy đà,not-resolved,,,not-resolved,8,10,4,chars/4E30.json
丱,C,guàn,,hai búi tóc; trẻ tuổi,not-resolved,,,not-resolved,0,0,7,chars/4E31.json
串,C,chuàn,Xuyến,chuỗi,not-resolved,,,not-resolved,6,8,6,chars/4E32.json
丳,C,chǎn,,xiên,not-resolved,,,not-resolved,0,0,7,chars/4E33.json
临,C,lín,,sắp,not-resolved,,,not-resolved,10,10,5,chars/4E34.json
丵,C,zhuó,,"cỏ dày; thành phần ""rậm rạp"" trong chữ Hán",not-resolved,,,not-resolved,0,0,7,chars/4E35.json
丶,B,zhǔ,,"Phàm cái gì cần có phân biệt, sự gì cần biết nên chăng, lòng đã có định, thì đánh dấu chữ ""chủ"" để nhớ lấy",resolved,丶,Bộ Chủ,self-radical,0,0,7,chars/4E36.json
丷,C,bā,,"thành phần ""tám"" trong chữ Hán; biến thể cổ của 八[ba1]",not-resolved,,,not-resolved,0,0,7,chars/4E37.json
丸,C,wán,Hoàn,viên thuốc,not-resolved,,,not-resolved,6,3,6,chars/4E38.json
丹,C,dān,Đam,đỏ; viên thuốc,not-resolved,,,not-resolved,7,4,7,chars/4E39.json
为,A,wèi,,cho,resolved,又,Bộ Hựu,record-radical,20,10,3,chars/4E3A.json
主,C,zhǔ,Chúa,"quản lý, chịu trách nhiệm",not-resolved,,,not-resolved,20,10,3,chars/4E3B.json
丼,C,dòng,,"(Đài Loan) bát cơm hấp với thức ăn ở trên (từ mượn từ tiếng Nhật ""donburi"")",not-resolved,,,not-resolved,0,0,7,chars/4E3C.json
丽,C,Lí,Lệ,Hàn Quốc,not-resolved,,,not-resolved,11,10,4,chars/4E3D.json
举,A,jǔ,,"trích dẫn, liệt kê",resolved,手,Bộ Thủ,record-radical,20,10,4,chars/4E3E.json
丿,B,piě,Phết,"Ta gọi là cái phẩy, là một nét phẩy của chữ",resolved,丿,"Bộ Phách, Phiệt",self-radical,0,0,7,chars/4E3F.json
乀,C,fú,,kéo dãn,not-resolved,,,not-resolved,0,0,7,chars/4E40.json
乂,C,yì,Nghệ,điều chỉnh; quản lý,not-resolved,,,not-resolved,0,0,7,chars/4E42.json
乃,C,nǎi,Nải,không gì khác hơn,not-resolved,,,not-resolved,6,2,7,chars/4E43.json
久,C,jiǔ,Cửu,"lâu, đã lâu",not-resolved,,,not-resolved,16,10,3,chars/4E45.json
乆,C,jiǔ,,biến thể cổ của 久[jiu3],not-resolved,,,not-resolved,0,0,7,chars/4E46.json
乇,C,tuō,,biến thể cổ của 托[tuo1],not-resolved,,,not-resolved,0,0,7,chars/4E47.json
么,C,má,,trợ từ cảm thán cuối câu,not-resolved,,,not-resolved,17,10,1,chars/4E48.json
义,A,Yì,Nghĩa,"họ [Yi4]; (Đài Loan) viết tắt của 義大利|义大利[Yi4da4li4], Ý",resolved,羊,Bộ Dương,record-radical,20,10,5,chars/4E49.json
乊,C,xx,,"một trong các ký tự được dùng trong kwukyel (phát âm ""ho""), một hệ thống chữ viết cổ của Hàn Quốc",not-resolved,,,not-resolved,0,0,7,chars/4E4A.json
之,C,zhī,Chi,của,not-resolved,,,not-resolved,20,10,4,chars/4E4B.json
乌,C,Wū,Ô,viết tắt của Ukraine 烏克蘭|乌克兰[Wu1ke4lan2]; họ [Wu1],not-resolved,,,not-resolved,6,10,6,chars/4E4C.json
乍,C,zhà,Chạ,lúc đầu; đột nhiên,not-resolved,,,not-resolved,6,1,7,chars/4E4D.json
乎,C,hū,Hồ,(trợ từ cổ điển tương tự 於|于[yu2]) trong; tại,not-resolved,,,not-resolved,9,10,3,chars/4E4E.json
乏,C,fá,Phạp,"Mệt mỏi, thiếu thốn, không đủ",not-resolved,,,not-resolved,6,10,5,chars/4E4F.json
乐,A,lè,Lạc,vui vẻ,resolved,幺,Bộ Yêu,record-radical,20,10,2,chars/4E50.json
乑,C,zhòng,,đứng cạnh nhau; biến thể của 眾|众[zhong4],not-resolved,,,not-resolved,0,0,7,chars/4E51.json
乒,C,pīng,,(từ tượng thanh) ping; bing,not-resolved,,,not-resolved,4,4,4,chars/4E52.json
