char,tier,pinyin,meaningVi,missing,source
㶸,C,xié,"(nghĩa chính xác chưa rõ, liên quan đến sắt); biến thể của 協|协[xie2]","bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/3DB8.json
㷖,C,zhào,biến thể cũ của 照[zhao4],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/3DD6.json
㷭,C,fēng,biến thể cũ của 烽[feng1],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/3DED.json
㹠,C,tún,biến thể cũ của 豚[tun2],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/3E60.json
㹢,C,jiā,"dùng để phiên âm ""okapi"" 㺢㹢狓[huo4jia1pi2]","bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/3E62.json
㹴,C,gěng,chó sục; cũng đọc là [geng3],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/3E74.json
㺍,C,biān,biến thể cũ của 猵[bian1],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/3E8D.json
㺢,C,huò,"dùng để phiên âm ""okapi"" 㺢㹢狓[huo4jia1pi2]","bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/3EA2.json
㺵,C,jiǔ,ngọc đen (biến thể của 玖[jiu3]),"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/3EB5.json
㻅,C,huì,đồ trang sức ngọc trong đường may của mũ,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/3EC5.json
㻽,C,xuán,biến thể của 璿|璇[xuan2]; cũng đọc là [sui4],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/3EFD.json
㼌,C,yǔ,,"nghĩa, bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/3F0C.json
㽮,C,xīng,biến thể cũ của 星[xing1],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/3F6E.json
㿝,C,xiāng,biến thể cũ của 香[xiang1],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/3FDD.json
㿽,C,xī,,"nghĩa, từ liên quan, câu liên quan, Hán Việt",chars/3FFD.json
䁖,B,lōu,liếc nhìn,"từ liên quan, câu liên quan, Hán Việt",chars/4056.json
䂖,C,shí,biến thể của 石[shi2],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4096.json
䂲,C,fǎ,biến thể của 砝[fa3],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/40B2.json
䂶,C,jié,biến thể của 蜐[jie2],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/40B6.json
䃉,C,mín,biến thể cũ của 珉[min2],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/40C9.json
䅟,C,shān,panicum frumentaceum,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/415F.json
䅵,C,zhuó,trấu; cám,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4175.json
䇂,C,qiān,,"nghĩa, bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/41C2.json
䇲,C,cè,biến thể của 筴|策[ce4],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/41F2.json
䉤,C,sǒu,giỏ để ráo gạo,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4264.json
䌷,C,chóu,lụa,"bộ thủ, từ liên quan, câu liên quan",chars/4337.json
䌸,C,zhuàn,trói lại,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4338.json
䌹,C,jiǒng,loại áo đơn sắc không có lót,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4339.json
䌽,B,cǎi,biến thể của 彩[cai3],"từ liên quan, câu liên quan, Hán Việt",chars/433D.json
䍁,C,suì,tua rua,"bộ thủ, từ liên quan, câu liên quan",chars/4341.json
䍃,B,yáo,(cổ) bình; lọ,"từ liên quan, câu liên quan, Hán Việt",chars/4343.json
䍹,C,shān,biến thể của 羶[shan1],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4379.json
䒗,C,qì,biến thể cũ của 芞[qi4],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4497.json
䓕,B,wěi,(cổ) loại cỏ,"từ liên quan, câu liên quan, Hán Việt",chars/44D5.json
䓖,B,qióng,xem 芎藭|芎䓖[xiong1 qiong2],"từ liên quan, câu liên quan, Hán Việt",chars/44D6.json
䔢,C,huá,biến thể cũ của 華|华[hua2],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4522.json
䕭,B,qián,biến thể của 蕁|荨[qian2],"từ liên quan, câu liên quan, Hán Việt",chars/456D.json
䖒,C,xī,,"nghĩa, bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4592.json
䖟,C,méng,biến thể cũ của 虻[meng2],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/459F.json
䖸,C,é,biến thể của 蛾[e2],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/45B8.json
䗈,C,méng,biến thể cũ của 虻[meng2],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/45C8.json
䗖,B,dì,cầu vồng,"từ liên quan, câu liên quan",chars/45D6.json
䗥,C,zōng,dùng trong 螉䗥[weng1 zong1],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/45E5.json
䗪,C,zhè,con gián đất Trung Quốc (Eupolyphaga sinensis),"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/45EA.json
䗶,C,là,biến thể cũ của 蠟|蜡[la4],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/45F6.json
䙓,C,bǎi,vạt áo ở dưới của trang phục,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4653.json
䙴,C,qiān,,"nghĩa, bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4674.json
䛟,C,jiá,biến thể của 唊[jia2],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/46DF.json
䜌,C,luán,,"nghĩa, bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/470C.json
䜣,B,xīn,vui mừng; vui sướng,"từ liên quan, câu liên quan, Hán Việt",chars/4723.json
䜩,B,yàn,biến thể của 宴[yan4],"từ liên quan, câu liên quan, Hán Việt",chars/4729.json
䝓,C,liè,biến thể cũ của 鬣[lie4],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4753.json
䝙,C,chū,(cổ) động vật giống hổ,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4759.json
䞓,C,chēng,biến thể cũ của 赬|赪[cheng1],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4793.json
䟆,C,bì,biến thể cũ của 蹕|跸[bi4],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/47C6.json
䟖,C,zhǐ,biến thể sai của 趾[zhi3],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/47D6.json
䠀,B,chǎng,ngồi xổm; ngồi,"từ liên quan, câu liên quan, Hán Việt",chars/4800.json
䠞,C,cù,biến thể của 蹙[cu4],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/481E.json
䤈,C,xī,biến thể cũ của 醯[xi1],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4908.json
䥯,C,bà,cái cày,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/496F.json
䦆,C,jué,cuốc chim; cái cuốc,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4986.json
䦉,C,sì,biến thể của 肆[si4],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4989.json
䦕,C,pēng,biến thể của 閛[peng1],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4995.json
䧹,C,yīng,,"nghĩa, từ liên quan, câu liên quan, Hán Việt",chars/49F9.json
䩄,B,miǎn,biến thể của 靦|腼[mian3],"từ liên quan, câu liên quan, Hán Việt",chars/4A44.json
䩦,C,tiáo,biến thể của 鞗[tiao2],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4A66.json
䫏,C,qī,biến thể của 魌[qi1],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4ACF.json
䬠,C,fēi,biến thể cũ của 霏[fei1],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4B20.json
䬪,C,bó,biến thể của 餺|馎[bo2],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4B2A.json
䯄,C,guā,ngựa lang,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4BC4.json
䯝,C,suǐ,biến thể của 髓; tủy,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4BDD.json
䲔,C,jīng,biến thể cũ của 鯨|鲸[jing1],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4C94.json
䲟,C,yìn,cá ép (Echeneis naucrates),"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4C9F.json
䲠,B,chūn,xem 鰆魚|䲠鱼[chun1 yu2],"từ liên quan, câu liên quan, Hán Việt",chars/4CA0.json
䳗,C,é,biến thể của 鵝|鹅[e2],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4CD7.json
䴓,C,shī,chim trèo cây (chim thuộc chi Sitta),"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4D13.json
䴔,C,jiāo,một loại chim nước,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4D14.json
䴕,C,liè,chim gõ kiến,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4D15.json
䴘,B,tī,dùng trong 鷿鷈|䴙䴘[pi4 ti1],"từ liên quan, câu liên quan, Hán Việt",chars/4D18.json
䴙,B,pì,dùng trong 鷿鷈|䴙䴘[pi4 ti1],"từ liên quan, câu liên quan, Hán Việt",chars/4D19.json
䵹,C,zhī,biến thể cũ của 蜘[zhi1],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4D79.json
䶑,C,tì,biến thể của 嚏[ti4],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4D91.json
䶮,C,yǎn,cao và sáng,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4DAE.json
丁,C,dīng,thứ tư,bộ thủ,chars/4E01.json
丂,C,kǎo,"thành tố ""hơi thở"" hoặc ""tiếng thở dài"" trong chữ Hán","bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4E02.json
七,C,qī,bảy,bộ thủ,chars/4E03.json
丄,C,shàng,biến thể cũ của 上[shang4],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4E04.json
丅,C,xià,biến thể cũ của 下[xia4],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4E05.json
丆,C,xx,"một trong các ký tự được dùng trong kwukyel (phát âm ""myeon""), một hệ thống chữ viết cổ của Hàn Quốc","bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4E06.json
万,C,wàn,Mười ngàn,bộ thủ,chars/4E07.json
三,C,sān,ba,bộ thủ,chars/4E09.json
上,C,shàng,trên,bộ thủ,chars/4E0A.json
下,C,xià,sau,bộ thủ,chars/4E0B.json
丌,C,Jī,họ [Ji1],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4E0C.json
不,C,bù,không,bộ thủ,chars/4E0D.json
与,C,yǔ,"và, với",bộ thủ,chars/4E0E.json
丏,C,miǎn,ẩn khỏi tầm nhìn; chướng ngại để chắn tên,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4E0F.json
丐,C,gài,ăn xin; người ăn xin,bộ thủ,chars/4E10.json
丑,C,Chǒu,họ [Chou3],bộ thủ,chars/4E11.json
丒,C,chǒu,biến thể của 醜|丑[chou3],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4E12.json
专,C,zhuān,"cho một người, dịp, mục đích cụ thể; tập trung vào một việc",bộ thủ,chars/4E13.json
且,C,qiě,thậm chí,bộ thủ,chars/4E14.json
丕,C,pī,to lớn,"bộ thủ, câu liên quan",chars/4E15.json
世,C,Shì,họ [Shi4],bộ thủ,chars/4E16.json
丗,C,shì,biến thể cổ của 世[shi4],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4E17.json
丘,C,Qiū,họ [Qiu1],bộ thủ,chars/4E18.json
丙,C,bǐng,thứ ba,bộ thủ,chars/4E19.json
业,C,yè,ngành công nghiệp,bộ thủ,chars/4E1A.json
丛,A,cóng,"bụi, cụm",Hán Việt,chars/4E1B.json
东,C,dōng,đông,bộ thủ,chars/4E1C.json
丞,B,chéng,phó,câu liên quan,chars/4E1E.json
丠,C,qiū,biến thể cũ của 丘[qiu1],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4E20.json
両,C,liǎng,biến thể tiếng Nhật của 兩|两[liang3],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4E21.json
丣,C,yǒu,biến thể cũ của 酉[you3],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4E23.json
两,C,liǎng,hai,bộ thủ,chars/4E24.json
严,C,yán,nghiêm khắc,bộ thủ,chars/4E25.json
丧,C,sāng,đồ tang; đám tang,bộ thủ,chars/4E27.json
丨,B,shù,Bộ cổn,"từ liên quan, câu liên quan, Hán Việt",chars/4E28.json
丩,C,jiū,biến thể cổ của 糾|纠[jiu1],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4E29.json
个,C,gè,"miếng, đơn vị (một từ để đo)",bộ thủ,chars/4E2A.json
丫,C,yā,nhánh; rẽ,bộ thủ,chars/4E2B.json
丬,C,qiáng,"bộ ""mảnh gỗ"" trong chữ Hán (bộ Khang Hy số 90), hình ảnh phản chiếu của 片 [pian4]","bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4E2C.json
中,C,zhōng,trong,bộ thủ,chars/4E2D.json
丮,C,jǐ,bắt,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4E2E.json
丰,C,fēng,sum suê; đẫy đà,bộ thủ,chars/4E30.json
丱,C,guàn,hai búi tóc; trẻ tuổi,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4E31.json
串,C,chuàn,chuỗi,bộ thủ,chars/4E32.json
丳,C,chǎn,xiên,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4E33.json
临,C,lín,sắp,"bộ thủ, Hán Việt",chars/4E34.json
丵,C,zhuó,"cỏ dày; thành phần ""rậm rạp"" trong chữ Hán","bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4E35.json
丶,B,zhǔ,"Phàm cái gì cần có phân biệt, sự gì cần biết nên chăng, lòng đã có định, thì đánh dấu chữ ""chủ"" để nhớ lấy","từ liên quan, câu liên quan, Hán Việt",chars/4E36.json
丷,C,bā,"thành phần ""tám"" trong chữ Hán; biến thể cổ của 八[ba1]","bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4E37.json
丸,C,wán,viên thuốc,bộ thủ,chars/4E38.json
丹,C,dān,đỏ; viên thuốc,bộ thủ,chars/4E39.json
为,A,wèi,cho,Hán Việt,chars/4E3A.json
主,C,zhǔ,"quản lý, chịu trách nhiệm",bộ thủ,chars/4E3B.json
丼,C,dòng,"(Đài Loan) bát cơm hấp với thức ăn ở trên (từ mượn từ tiếng Nhật ""donburi"")","bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4E3C.json
丽,C,Lí,Hàn Quốc,bộ thủ,chars/4E3D.json
举,A,jǔ,"trích dẫn, liệt kê",Hán Việt,chars/4E3E.json
丿,B,piě,"Ta gọi là cái phẩy, là một nét phẩy của chữ","từ liên quan, câu liên quan",chars/4E3F.json
乀,C,fú,kéo dãn,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4E40.json
乂,C,yì,điều chỉnh; quản lý,"bộ thủ, từ liên quan, câu liên quan",chars/4E42.json
乃,C,nǎi,không gì khác hơn,bộ thủ,chars/4E43.json
久,C,jiǔ,"lâu, đã lâu",bộ thủ,chars/4E45.json
乆,C,jiǔ,biến thể cổ của 久[jiu3],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4E46.json
乇,C,tuō,biến thể cổ của 托[tuo1],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4E47.json
么,C,má,trợ từ cảm thán cuối câu,"bộ thủ, Hán Việt",chars/4E48.json
乊,C,xx,"một trong các ký tự được dùng trong kwukyel (phát âm ""ho""), một hệ thống chữ viết cổ của Hàn Quốc","bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4E4A.json
之,C,zhī,của,bộ thủ,chars/4E4B.json
乌,C,Wū,viết tắt của Ukraine 烏克蘭|乌克兰[Wu1ke4lan2]; họ [Wu1],bộ thủ,chars/4E4C.json
乍,C,zhà,lúc đầu; đột nhiên,bộ thủ,chars/4E4D.json
乎,C,hū,(trợ từ cổ điển tương tự 於|于[yu2]) trong; tại,bộ thủ,chars/4E4E.json
乏,C,fá,"Mệt mỏi, thiếu thốn, không đủ",bộ thủ,chars/4E4F.json
乑,C,zhòng,đứng cạnh nhau; biến thể của 眾|众[zhong4],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4E51.json
乒,C,pīng,(từ tượng thanh) ping; bing,"bộ thủ, Hán Việt",chars/4E52.json
乓,C,pāng,(từ tượng thanh) băng,"bộ thủ, Hán Việt",chars/4E53.json
