target,type,pinyin,meaning,levels,libraries,radicalStatus,radical,relatedCount,collocationCount,sentenceCount,grammarCount,componentCount,hasMemory
一律,multi-character-word,yī lǜ,"tất cả, không ngoại lệ",4,"boya,new_hsk",,,0,3,2,0,0,True
一心,multi-character-word,yī xīn,toàn tâm toàn ý,7,new_hsk,,,1,5,10,0,2,True
一心一意,multi-character-word,yī xīn yī yì,toàn tâm toàn ý,7,new_hsk,,,0,2,4,0,3,True
一成不变,multi-character-word,yī chéng bù biàn,vĩnh viễn,"3,7","boya,new_hsk",,,0,3,5,0,4,True
一手,multi-character-word,yī shǒu,kỹ năng,7,new_hsk,,,1,7,9,0,2,True
一技之长,multi-character-word,yī jì zhī cháng,thành thạo trong một lĩnh vực nhất định,7,new_hsk,,,0,3,4,0,4,True
一把手,multi-character-word,yī bǎ shǒu,tay giỏi,7,new_hsk,,,0,4,6,0,3,True
一揽子,multi-character-word,yī lǎn zi,toàn diện,7,new_hsk,,,0,3,3,0,3,True
一方面,multi-character-word,yī fāng miàn,một mặt,3,new_hsk,,,1,5,4,0,3,True
一旁,multi-character-word,yī páng,một bên,7,new_hsk,,,0,3,4,0,2,True
一无所有,multi-character-word,yī wú suǒ yǒu,không có gì,7,"boya,new_hsk",,,0,2,3,0,4,True
一无所知,multi-character-word,yī wú suǒ zhī,không biết gì cả,7,new_hsk,,,0,3,4,0,4,True
一无所长,multi-character-word,yī wú suǒ cháng,"Không có sở trường, không có tài cán gì.",8,boya,,,0,0,2,0,0,True
一旦,multi-character-word,yī dàn,một khi,"5,7","boya,hsk",,,0,0,6,2,2,True
一早,multi-character-word,yī zǎo,sáng sớm,7,new_hsk,,,0,4,4,0,2,True
一时,multi-character-word,yī shí,một lúc,6,"boya,new_hsk",,,0,6,10,0,2,True
一晃,multi-character-word,yī huàng,trôi qua trong chớp mắt,7,new_hsk,,,0,3,4,0,2,True
一样,multi-character-word,yī yàng,giống nhau,"1,2,3,4","boya,hsk,new_hsk,yct",,,1,10,10,4,0,True
一概,multi-character-word,yī gài,không ngoại lệ,7,new_hsk,,,1,6,8,0,2,True
一概而论,multi-character-word,yī gài ér lùn,đánh đồng,7,new_hsk,,,0,4,5,0,4,True
一模一样,multi-character-word,yī mú yī yàng,giống nhau,"5,6","boya,new_hsk",,,0,1,3,0,4,True
一次性,multi-character-word,yī cì xìng,dùng một lần,6,new_hsk,,,0,2,2,0,3,True
一毛不拔,multi-character-word,yī máo bù bá,cực kỳ keo kiệt,7,new_hsk,,,0,2,5,0,4,True
一流,multi-character-word,yī liú,hạng nhất,6,hsk,,,0,4,5,0,2,True
一点儿,multi-character-word,yì diǎnr,"một chút, một ít","1,4","boya,hsk,new_hsk,yct",,,1,2,4,4,0,True
一点点,multi-character-word,yī diǎn diǎn,một chút,2,new_hsk,,,0,0,1,0,3,True
一生,multi-character-word,yī shēng,cả đời,"2,5","boya,new_hsk",,,0,2,10,0,2,True
一番,multi-character-word,yī fān,một lần,6,new_hsk,,,0,2,9,1,2,True
一目了然,multi-character-word,yī mù liǎo rán,rõ ràng trong nháy mắt,7,new_hsk,,,0,3,5,0,0,True
一直,multi-character-word,yī zhí,thẳng,"1,2,3,4","boya,hsk,new_hsk,yct",,,0,8,10,4,2,True
一眼,multi-character-word,yī yǎn,nhìn thoáng qua,7,new_hsk,,,0,2,10,0,2,True
一瞬间,multi-character-word,yī shùn jiān,trong nháy mắt,7,new_hsk,,,0,1,5,0,3,True
一筹莫展,multi-character-word,yī chóu mò zhǎn,không biết làm sao,7,new_hsk,,,0,0,1,0,4,True
一系列,multi-character-word,yī xì liè,một loạt,7,new_hsk,,,0,5,5,0,3,True
一线,multi-character-word,yī xiàn,tia,7,new_hsk,,,1,4,5,0,2,True
一经,multi-character-word,yī jīng,ngay sau khi,7,new_hsk,,,0,4,4,1,2,True
一致,multi-character-word,yī zhì,nhất trí,5,hsk,,,0,5,8,1,2,True
一般,multi-character-word,yī bān,thông thường,"1,2,3,4","boya,hsk,new_hsk,yct",,,1,2,5,2,2,True
一般来说,multi-character-word,yī bān lái shuō,nói chung,4,new_hsk,,,0,1,2,1,4,True
一行,multi-character-word,yī xíng,nhóm đi cùng,6,new_hsk,,,1,5,8,0,2,True
一言一行,multi-character-word,yī yán yī xíng,mỗi lời nói và hành động,7,new_hsk,,,0,3,4,0,3,True
一言不发,multi-character-word,yī yán bù fā,không nói một lời,7,new_hsk,,,0,3,4,0,4,True
一诺千金,multi-character-word,yī nuò qiān jīn,"Một lời hứa đáng ngàn vàng, lời nói đáng giá ngàn vàng (giữ lời hứa)",7,boya,,,0,0,2,0,0,True
一贯,multi-character-word,yī guàn,luôn luôn,6,new_hsk,,,0,4,4,0,0,True
一起,multi-character-word,yī qǐ,cùng nhau,"1,2,3,4","boya,hsk,new_hsk,yct",,,0,6,10,4,0,True
一路,multi-character-word,yī lù,suốt đường,5,new_hsk,,,3,5,10,0,2,True
一路上,multi-character-word,yī lù shàng,trên đường,6,new_hsk,,,0,1,5,0,3,True
一路平安,multi-character-word,yī lù píng'ān,Thượng lộ bình an,"2,5","boya,new_hsk",,,0,1,0,0,0,True
一路顺风,multi-character-word,yī lù shùn fēng,thượng lộ bình an,2,new_hsk,,,0,1,2,0,4,True
一身,multi-character-word,yī shēn,toàn thân,5,new_hsk,,,0,4,7,0,2,True
一辈子,multi-character-word,yī bèi zi,cả đời,"4,5,6,7","boya,hsk",,,0,3,5,0,3,True
一边,multi-character-word,yī biān,một bên,"1,2,3,4","boya,hsk,new_hsk,yct",,,0,3,4,3,0,True
一连,multi-character-word,yī lián,liên tục,"5,7","boya,new_hsk",,,1,5,7,0,2,True
一连串,multi-character-word,yī lián chuàn,chuỗi,7,new_hsk,,,0,3,4,0,3,True
一道,multi-character-word,yī dào,cùng nhau,6,new_hsk,,,0,3,10,0,2,True
一部分,multi-character-word,yī bù fen,một phần,2,new_hsk,,,0,1,8,1,3,True
一锅粥,multi-character-word,yī guō zhōu,một mớ hỗn độn,7,new_hsk,,,0,3,4,0,3,True
一长一短,multi-character-word,yī cháng yī duǎn,dài và lằng nhằng,7,new_hsk,,,0,3,4,0,4,True
一阵,multi-character-word,yī zhèn,một khoảng thời gian,7,new_hsk,,,0,7,10,0,2,True
一面,multi-character-word,yī miàn,một mặt,7,new_hsk,,,0,2,7,0,2,True
一鼓作气,multi-character-word,yī gǔ zuò qì,"một mạch, không ngừng nghỉ",7,new_hsk,,,0,3,4,0,4,True
一齐,multi-character-word,yī qí,cùng nhau,"2,6","boya,new_hsk",,,0,2,4,0,2,True
丁,single-character,dīng,thứ tư,"6,7","hsk,new_hsk",not-resolved,,2,2,8,0,1,True
七,single-character,qī,bảy,"1,2,3,4","new_hsk,yct",not-resolved,,4,10,10,4,0,True
七嘴八舌,multi-character-word,qī zuǐ bā shé,nói như bắn liên thanh,7,new_hsk,,,0,3,5,0,4,True
七荤八素,multi-character-word,qī hūn bā sù,"rối tinh rối mù, lộn xộn",8,boya,,,0,0,2,0,0,True
万,single-character,wàn,Mười ngàn,"2,3,4","boya,hsk,new_hsk,yct",not-resolved,,15,10,10,3,0,True
万一,multi-character-word,wàn yī,trong trường hợp,"4,5","hsk,new_hsk",,,0,2,4,1,0,True
万万,multi-character-word,wàn wàn,tuyệt đối,7,new_hsk,,,0,3,4,0,2,True
万丈,multi-character-word,wàn zhàng,"rất cao, rất sâu, vạn trượng",5,hsk,,,0,0,0,0,0,True
万分,multi-character-word,wàn fēn,rất nhiều,"6,7","hsk,new_hsk",,,0,5,5,0,2,True
万古长青,multi-character-word,wàn gǔ cháng qīng,mãi mãi tươi mới,7,new_hsk,,,0,2,4,0,4,True
万幸,multi-character-word,wàn xìng,"May mắn thay, may mắn tột cùng, thật may mắn.",2,boya,,,0,0,2,0,0,True
万无一失,multi-character-word,wàn wú yī shī,hoàn toàn an toàn,7,new_hsk,,,0,2,4,0,4,True
万能,multi-character-word,wàn néng,vạn năng,7,new_hsk,,,0,3,4,0,2,True
丈,single-character,zhàng,"đơn vị đo chiều dài, bằng mười thước Trung Quốc (3,3 m); đo lường",2,char_dictionary,resolved,十,2,0,2,1,0,False
丈夫,multi-character-word,zhàng fu,chồng,"2,3,4,5","boya,hsk,new_hsk,yct",,,0,0,2,1,0,True
三,single-character,sān,ba,"1,2,3,4","new_hsk,yct",not-resolved,,12,10,10,4,0,True
三三两两,multi-character-word,sān san liǎng liǎng,"Lác đác vài ba (người/vật), rải rác từng tốp nhỏ.",2,boya,,,0,0,2,0,0,True
三明治,multi-character-word,sān míng zhì,bánh mì kẹp,6,new_hsk,,,0,3,4,0,3,True
三昧,multi-character-word,sān mèi,"Tam muội (tập trung tinh thần cao độ, chuyên tâm, chú tâm)",4,boya,,,0,0,2,0,0,True
三番五次,multi-character-word,sān fān wǔ cì,nhiều lần,7,new_hsk,,,0,0,5,1,4,True
三维,multi-character-word,sān wéi,3D,7,new_hsk,,,0,0,0,0,2,True
三角,multi-character-word,sān jiǎo,tam giác; tam giác,7,new_hsk,,,0,5,5,0,0,True
上,single-character,shàng,trên,"1,2","boya,hsk,new_hsk",not-resolved,,15,10,10,4,1,True
上个月,multi-character-word,shàng gè yuè,tháng trước,4,new_hsk,,,0,0,4,0,3,True
上任,multi-character-word,shàng rèn,nhậm chức,"6,7","hsk,new_hsk",,,0,0,3,0,2,True
上升,multi-character-word,shàng shēng,tăng lên,3,new_hsk,,,0,5,10,1,2,True
上午,multi-character-word,shàng wǔ,buổi sáng,"1,3","boya,hsk,new_hsk,yct",,,0,5,10,3,2,True
上去,multi-character-word,shàng qu,lên,"2,3","boya,new_hsk",,,1,7,8,4,2,True
上台,multi-character-word,shàng tái,lên sân khấu,6,new_hsk,,,0,2,0,1,2,True
上司,multi-character-word,shàng si,cấp trên,7,new_hsk,,,0,4,10,0,2,True
上周,multi-character-word,shàng zhōu,tuần trước,2,new_hsk,,,0,0,1,0,2,True
上场,multi-character-word,shàng chǎng,vào sân,7,new_hsk,,,0,2,4,0,2,True
上天,multi-character-word,shàng tiān,"lên trời; trời (ông trời, định mệnh)",8,boya,,,0,1,5,1,0,True
上头,multi-character-word,shàng tou,lãnh đạo,7,new_hsk,,,0,3,4,0,2,True
上学,multi-character-word,shàng xué,đi học,"1,2","boya,new_hsk",,,0,3,6,0,2,True
上岗,multi-character-word,shàng gǎng,nhận chức,7,new_hsk,,,0,3,3,0,2,True
上市,multi-character-word,shàng shì,"lên sàn, đưa ra thị trường",6,new_hsk,,,0,4,9,0,2,True
上帝,multi-character-word,shàng dì,Chúa,6,new_hsk,,,0,4,6,0,2,True
上年纪,multi-character-word,shàng nián ji,"có tuổi, lớn tuổi",3,boya,,,0,0,0,0,0,True
上当,multi-character-word,shàng dàng,bị lừa,"5,6","hsk,new_hsk",,,0,4,5,0,2,True
上报,multi-character-word,shàng bào,xuất hiện trên báo,7,new_hsk,,,0,3,6,0,2,True
上方,multi-character-word,shàng fāng,bên trên,7,new_hsk,,,0,0,5,0,2,True
上旬,multi-character-word,shàng xún,đầu tháng,7,new_hsk,,,0,1,4,0,2,True
上映,multi-character-word,shàng yìng,chiếu phim,7,new_hsk,,,0,3,6,0,2,True
上期,multi-character-word,shàng qī,kỳ trước,7,new_hsk,,,0,2,3,0,2,True
上来,multi-character-word,shàng lái,"đi lên, vào trong","2,3",new_hsk,,,0,4,7,1,2,True
上楼,multi-character-word,shàng lóu,lên lầu,4,new_hsk,,,0,3,5,1,2,True
上次,multi-character-word,shàng cì,lần trước,1,new_hsk,,,0,0,4,1,2,True
上流,multi-character-word,shàng liú,hạng nhất,7,new_hsk,,,1,3,8,0,2,True
上流社会,multi-character-word,shàng liú shè huì,"giới thượng lưu, xã hội thượng lưu",8,boya,,,0,1,4,0,0,True
上海,multi-character-word,Shàng hǎi,Thượng Hải,4,yct,,,0,1,10,2,2,True
上游,multi-character-word,shàng yóu,thượng nguồn,7,new_hsk,,,0,1,3,0,0,True
上演,multi-character-word,shàng yǎn,biểu diễn,6,new_hsk,,,0,0,6,0,2,True
上火,multi-character-word,shàng huǒ,bị nóng trong,7,new_hsk,,,0,2,4,0,2,True
上班,multi-character-word,shàng bān,đi làm,"1,2","boya,hsk,new_hsk,yct",,,0,3,10,3,0,True
上瘾,multi-character-word,shàng yǐn,nghiện,"6,7","hsk,new_hsk",,,0,0,3,0,2,True
上空,multi-character-word,shàng kōng,trên không,7,new_hsk,,,0,2,4,0,2,True
上网,multi-character-word,shàng wǎng,lướt web,"1,2,3,4","boya,hsk,new_hsk,yct",,,0,6,6,0,0,True
上衣,multi-character-word,shàng yī,áo ngoài,3,new_hsk,,,0,2,2,0,2,True
上诉,multi-character-word,shàng sù,kháng cáo,7,new_hsk,,,0,4,6,0,2,True
上课,multi-character-word,shàng kè,"đi học, dạy học",1,"boya,new_hsk",,,0,2,10,4,2,True
上调,multi-character-word,shàng tiáo,tăng lên,7,new_hsk,,,0,0,1,0,2,True
上车,multi-character-word,shàng chē,lên xe,1,new_hsk,,,0,2,10,1,2,True
上边,multi-character-word,shàng biān,bên trên,"1,2,3","new_hsk,yct",,,0,2,3,0,0,True
上述,multi-character-word,shàng shù,nêu trên,"3,7","boya,new_hsk",,,0,3,4,0,2,True
上门,multi-character-word,shàng mén,ghé thăm,4,new_hsk,,,0,1,0,0,2,True
上限,multi-character-word,shàng xiàn,giới hạn trên,7,new_hsk,,,0,3,4,0,2,True
上面,multi-character-word,shàng miàn,bên trên,"2,3","boya,new_hsk",,,0,3,6,1,2,True
下,single-character,xià,sau,"1,3","boya,hsk,new_hsk,yct",not-resolved,,15,10,10,4,1,True
下一代,multi-character-word,xià yī dài,thế hệ tiếp theo,7,new_hsk,,,0,2,7,0,3,True
下个月,multi-character-word,xià gè yuè,tháng sau,4,new_hsk,,,0,3,10,0,3,True
下乡,multi-character-word,xià xiāng,về quê,7,new_hsk,,,0,1,3,0,2,True
下人,multi-character-word,xià rén,"người hầu, kẻ hạ nhân",8,boya,,,0,1,3,0,0,True
下令,multi-character-word,xià lìng,ra lệnh,7,new_hsk,,,0,3,5,0,2,True
下决心,multi-character-word,xià jué xīn,"quyết định, quyết tâm",7,new_hsk,,,0,0,1,0,3,True
下功夫,multi-character-word,xià gōng fū,bỏ công sức,7,new_hsk,,,0,1,1,0,3,True
下午,multi-character-word,xià wǔ,buổi chiều,"1,3","boya,hsk,new_hsk,yct",,,0,6,10,4,2,True
下去,multi-character-word,xià qu,đi xuống,"2,3","boya,new_hsk",,,0,3,10,4,2,True
下台,multi-character-word,xià tái,rời khỏi sân khấu,7,new_hsk,,,0,3,5,0,2,True
下周,multi-character-word,xià zhōu,tuần tới,2,new_hsk,,,0,1,10,1,2,True
下场,multi-character-word,xià chǎng,rời khỏi sân,7,new_hsk,,,0,2,3,0,2,True
下坠,multi-character-word,xià zhuì,rơi,7,new_hsk,,,0,3,4,0,2,True
下属,multi-character-word,xià shǔ,cấp dưới,7,new_hsk,,,0,2,4,0,0,True
下山,multi-character-word,xià shān,đi xuống núi,7,new_hsk,,,0,3,5,0,2,True
下岗,multi-character-word,xià gǎng,mất việc,7,new_hsk,,,0,1,2,0,2,True
下巴,multi-character-word,xià ba,Cằm.,8,boya,,,0,0,2,0,0,True
下意识,multi-character-word,xià yì shí,tự động,7,new_hsk,,,0,2,3,0,3,True
下手,multi-character-word,xià shǒu,bắt đầu,7,new_hsk,,,0,3,4,0,2,True
下旬,multi-character-word,xià xún,cuối tháng,7,new_hsk,,,0,3,3,0,2,True
下期,multi-character-word,xià qī,kỳ tới,7,new_hsk,,,0,3,4,0,2,True
下来,multi-character-word,xià lái,đi xuống,"2,3","boya,new_hsk",,,1,6,10,4,2,True
下棋,multi-character-word,xià qí,chơi cờ,"2,7","boya,new_hsk",,,0,0,2,0,2,True
下楼,multi-character-word,xià lóu,đi xuống cầu thang,4,new_hsk,,,0,0,2,0,2,True
下次,multi-character-word,xià cì,lần sau,1,new_hsk,,,0,3,7,0,2,True
下水,multi-character-word,xià shui,"nội tạng (động vật, dùng làm thức ăn)",5,boya,,,1,4,10,0,0,True
下海,multi-character-word,xià hǎi,đi vào kinh doanh,7,new_hsk,,,0,3,4,0,2,True
下游,multi-character-word,xià yóu,vùng hạ lưu,7,new_hsk,,,0,2,5,0,2,True
下班,multi-character-word,xià bān,tan làm,"1,2","boya,new_hsk",,,0,3,10,2,0,True
下级,multi-character-word,xià jí,cấp dưới,7,new_hsk,,,0,0,1,0,2,True
下落,multi-character-word,xià luò,nơi ở,7,new_hsk,,,0,0,2,0,2,True
下课,multi-character-word,xià kè,kết thúc lớp học,1,"boya,new_hsk",,,0,1,4,3,2,True
下调,multi-character-word,xià tiáo,hạ thấp,7,new_hsk,,,0,3,4,0,2,True
下跌,multi-character-word,xià diē,lao dốc,7,new_hsk,,,0,1,3,0,2,True
下车,multi-character-word,xià chē,xuống xe,1,new_hsk,,,0,1,6,0,2,True
下载,multi-character-word,xià zài,tải xuống,"4,5","hsk,new_hsk",,,0,0,9,1,0,True
下边,multi-character-word,xià biān,bên dưới,1,new_hsk,,,0,2,3,1,2,True
下降,multi-character-word,xià jiàng,giảm,4,new_hsk,,,0,7,10,0,2,True
下雨,multi-character-word,xià yǔ,mưa rơi,"1,3","hsk,new_hsk,yct",,,0,1,10,4,2,True
下雪,multi-character-word,xià xuě,tuyết rơi,"2,3,4","new_hsk,yct",,,0,1,3,2,0,True
下面,multi-character-word,xià miàn,bên dưới,"1,2,3","hsk,new_hsk",,,0,2,3,2,2,True
不,single-character,bù,không,1,"boya,hsk,new_hsk,yct",not-resolved,,15,10,10,4,1,True
不一会儿,multi-character-word,bù yī huìr,trong chốc lát,2,new_hsk,,,0,0,0,1,4,True
不一定,multi-character-word,bù yī dìng,không nhất thiết,"2,5","boya,new_hsk",,,0,1,3,0,2,True
不为人知,multi-character-word,bù wéi rén zhī,không ai biết đến,7,new_hsk,,,0,1,3,0,4,True
不久,multi-character-word,bù jiǔ,sắp tới,"2,3","boya,new_hsk",,,1,3,5,0,2,True
不了了之,multi-character-word,bù liǎo liǎo zhī,kết thúc mà không có kết quả rõ ràng,7,new_hsk,,,0,3,4,0,4,True
不予,multi-character-word,bù yǔ,không cấp,7,new_hsk,,,0,6,5,0,2,True
不亚于,multi-character-word,bù yà yú,không thua kém,7,new_hsk,,,0,3,4,0,3,True
不亦乐乎,multi-character-word,bù yì lè hū,"cực kỳ, vô cùng",7,new_hsk,,,0,2,3,0,4,True
不仅,multi-character-word,bù jǐn,không chỉ,"3,4,5","boya,hsk,new_hsk",,,1,3,8,2,0,True
不仅仅,multi-character-word,bù jǐn jǐn,không chỉ,6,new_hsk,,,0,3,4,0,3,True
不以为然,multi-character-word,bù yǐ wéi rán,không chấp nhận là đúng,7,new_hsk,,,0,0,1,0,4,True
不但,multi-character-word,bù dàn,không chỉ,"2,3,4","boya,new_hsk,yct",,,0,0,4,1,0,True
不便,multi-character-word,bù biàn,bất tiện,6,new_hsk,,,0,4,6,1,2,True
不值,multi-character-word,bù zhí,không đáng,6,new_hsk,,,0,3,6,0,2,True
不假思索,multi-character-word,bù jiǎ sī suǒ,không cần suy nghĩ,"5,7","hsk,new_hsk",,,0,4,4,0,4,True
不停,multi-character-word,bù tíng,không ngừng,"1,5",boya,,,0,7,10,0,2,True
不像话,multi-character-word,bù xiàng huà,Quá đáng!,"6,7","hsk,new_hsk",,,0,0,3,0,3,True
不光,multi-character-word,bù guāng,không chỉ,3,new_hsk,,,0,2,2,0,2,True
不免,multi-character-word,bù miǎn,không tránh khỏi,6,hsk,,,0,0,1,1,2,True
不再,multi-character-word,bù zài,không còn nữa,6,new_hsk,,,0,5,10,1,2,True
不准,multi-character-word,bù zhǔn,không cho phép,7,new_hsk,,,0,2,5,0,2,True
不利于,multi-character-word,bù lì yú,bất lợi cho,7,new_hsk,,,0,3,6,0,3,True
不可思议,multi-character-word,bù kě sī yì,không thể tưởng tượng nổi,"6,7","hsk,new_hsk",,,0,0,2,0,4,True
不可避免,multi-character-word,bù kě bì miǎn,không thể tránh khỏi,7,new_hsk,,,0,1,3,0,4,True
不同,multi-character-word,bù tóng,khác biệt,"1,2,3","boya,new_hsk",,,4,10,10,1,2,True
不同寻常,multi-character-word,bù tóng xún cháng,khác thường,7,new_hsk,,,0,3,5,0,4,True
不在乎,multi-character-word,bù zài hu,không quan tâm,4,new_hsk,,,0,0,3,0,3,True
不够,multi-character-word,bù gòu,không đủ,2,new_hsk,,,0,2,10,1,2,True
不大,multi-character-word,bù dà,không lớn,1,new_hsk,,,0,3,7,1,2,True
不太,multi-character-word,bù tài,không quá,"1,2","boya,new_hsk",,,0,3,10,4,2,True
不好意思,multi-character-word,bù hǎo yì si,xấu hổ,"1,2,5","boya,new_hsk",,,0,2,4,0,4,True
不如,multi-character-word,bù rú,không bằng,"2,5","hsk,new_hsk",,,1,2,7,4,0,True
不如说,multi-character-word,bù rú shuō,thà nói,7,new_hsk,,,0,0,3,0,3,True
不妥,multi-character-word,bù tuǒ,"Không ổn, không thỏa đáng, không phù hợp",3,boya,,,0,0,4,0,0,True
不妨,multi-character-word,bù fáng,không hại gì,"4,5,6,7","boya,hsk,new_hsk",,,0,0,2,1,2,True
不安,multi-character-word,bù'ān,bất an,"3,5","hsk,new_hsk",,,0,7,10,0,0,True
不定,multi-character-word,bù dìng,không xác định,7,new_hsk,,,1,6,8,1,2,True
不宜,multi-character-word,bù yí,không phù hợp,7,new_hsk,,,0,3,4,0,2,True
不客气,multi-character-word,bù kè qi,không có chi,"1,2","boya,hsk,new_hsk,yct",,,0,1,6,0,3,True
不容,multi-character-word,bù róng,không cho phép,7,new_hsk,,,1,4,10,1,2,True
不对,multi-character-word,bù duì,sai,1,new_hsk,,,0,4,10,0,2,True
不少,multi-character-word,bù shǎo,không ít,"2,5","boya,new_hsk",,,0,0,10,4,2,True
不尽然,multi-character-word,bù jìn rán,"không hẳn là vậy, chưa chắc đã vậy",3,boya,,,0,0,2,0,0,True
不屈,multi-character-word,bù qū,"Bất khuất, không chịu khuất phục",3,boya,,,0,3,3,0,0,True
不屑,multi-character-word,bù xiè,không đáng,"3,6,7","boya,hsk,new_hsk",,,0,3,5,0,2,True
不已,multi-character-word,bù yǐ,không ngừng,7,new_hsk,,,1,9,10,1,2,True
不平,multi-character-word,bù píng,bất công,7,new_hsk,,,0,5,6,0,2,True
不幸,multi-character-word,bù xìng,bất hạnh,6,boya,,,0,2,5,0,2,True
不得不,multi-character-word,bù dé bù,không còn lựa chọn nào khác,"3,4","hsk,new_hsk",,,0,0,10,4,0,True
不得了,multi-character-word,bù dé liǎo,"cực kỳ, khủng khiếp",5,hsk,,,0,0,3,1,3,True
不得已,multi-character-word,bù dé yǐ,không có lựa chọn nào khác,"6,7","hsk,new_hsk",,,0,4,5,0,3,True
不得而知,multi-character-word,bù dé ér zhī,không thể biết được,7,new_hsk,,,0,0,1,0,4,True
不必,multi-character-word,bù bì,không nhất thiết,"3,7","boya,new_hsk",,,0,0,8,0,0,True
不快,multi-character-word,bù kuài,"Không vui, khó chịu; nhanh chóng",8,boya,,,0,0,2,2,0,True
不怎么,multi-character-word,bù zěn me,không nhiều lắm,6,new_hsk,,,1,2,6,0,3,True
不怎么样,multi-character-word,bù zěn me yàng,bình thường,6,new_hsk,,,0,1,3,0,4,True
不惜,multi-character-word,bù xī,không tiếc,"6,7","hsk,new_hsk",,,0,0,2,0,2,True
