word,hsk,charCount,pinyin,meaningShortVi,meaningFullVi,compounds,collocations,collocationsWithSentences,linkedCollocationSentences,sentences,grammar,reviewedRelations,candidateRelations,oldStatus,newStatus
亲密,2,2,qīn mì,thân thiết,thân thiết,0,1,1,2,2,2,0,0,PASS,PASS
亲戚,1,2,qīn qi,họ hàng,"họ hàng, thân thích",0,3,1,1,3,1,0,0,PASS,PASS
亲热,2,2,qīn rè,yêu thương,"Thân nhiệt — thân mật, âu yếm, nồng nhiệt trong cách cư xử; thường chỉ sự gần gũi thể hiện ra ngoài.",0,3,0,0,4,1,0,0,PASS,PASS
亲自,3,2,qīn zì,đích thân,Đích thân,0,0,0,0,5,3,0,0,PASS,PASS
亲近,3,2,qīn jìn,gần gũi,"Thân cận — gần gũi, thân thiết; cảm giác hoặc hành động tiếp cận, làm thân với ai đó.",0,3,1,1,4,1,0,0,PASS,PASS
人们,2,2,rén men,Mọi người,"Mọi người, người ta",0,0,0,0,3,2,0,1,PASS,PASS
人口,2,2,rén kǒu,dân số,dân số,0,2,0,0,2,1,0,0,PASS,PASS
人员,3,2,rén yuán,nhân viên,"Nhân viên, nhân sự, người làm việc trong một tổ chức",0,2,1,1,2,1,0,1,PASS,PASS
人家,2,2,rén jiā,người ta,"người ta, họ",0,2,2,4,4,1,0,0,PASS,PASS
人工,3,2,rén gōng,nhân lực,nhân tạo,0,2,0,0,2,1,0,0,PASS,PASS
人才,3,2,rén cái,người tài năng,nhân tài,0,2,0,0,2,1,0,0,PASS,PASS
人数,2,2,rén shù,số lượng người,số lượng người,0,0,0,0,1,1,0,0,PASS,PASS
人民,3,2,rén mín,nhân dân,Nhân dân,1,0,0,0,3,1,0,0,PASS,PASS
人生,2,2,rén shēng,cuộc sống,"Cuộc đời, cuộc sống",0,3,0,0,4,2,0,3,PASS,PASS
人类,3,2,rén lèi,nhân loại,"Nhân loại, loài người",1,4,0,0,3,1,0,0,PASS,PASS
人群,3,2,rén qún,đám đông,"Đám đông, nhóm người",0,2,0,0,3,1,0,0,PASS,PASS
什么,1,2,shén me,gì?,gì,5,2,1,1,20,10,0,0,PASS,PASS
仅仅,3,2,jǐn jǐn,chỉ,"chỉ là, đơn thuần, thôi",1,1,1,2,3,1,0,0,PASS,PASS
今后,2,2,jīn hòu,từ nay,từ nay,0,1,0,0,2,1,0,0,PASS,PASS
今天,1,2,jīn tiān,hôm nay,hôm nay; ngày hôm nay,0,4,2,2,20,10,0,0,PASS,PASS
今年,1,2,jīn nián,năm nay,năm nay,0,2,2,6,14,9,0,0,PASS,PASS
介绍,1,2,jiè shào,giới thiệu,giới thiệu,0,3,1,2,7,3,0,0,PASS,PASS
仍然,2,2,réng rán,vẫn,vẫn còn; vẫn là,0,2,1,1,3,2,0,0,PASS,PASS
从事,3,2,cóng shì,tham gia,"Tham gia, làm việc trong lĩnh vực",0,2,0,0,2,1,0,1,PASS,PASS
从前,2,2,cóng qián,ngày xưa,"Ngày xưa, trước đây",0,3,1,1,3,1,0,0,PASS,PASS
从小,2,2,cóng xiǎo,từ nhỏ,từ nhỏ,0,2,0,0,2,1,0,0,PASS,PASS
从来,2,2,cóng lái,luôn luôn,"Luôn luôn, từ trước đến nay, chưa bao giờ",0,4,0,0,7,4,0,3,PASS,PASS
仔细,2,2,zǐ xì,cẩn thận,"Cẩn thận, tỉ mỉ, kỹ lưỡng; chú ý từng chi tiết",0,0,0,0,3,1,0,2,PASS,PASS
他们,1,2,tā men,họ,họ (ngôi thứ 3 số nhiều),0,0,0,0,15,10,2,0,PASS,PASS
代表,3,2,dài biǎo,đại biểu,Đại biểu,1,0,0,0,4,2,0,0,PASS,PASS
以上,2,2,yǐ shàng,chỉ định trên,dĩ thượng,0,2,0,0,3,2,0,0,PASS,PASS
以下,2,2,yǐ xià,dưới đây,dĩ hạ,0,2,0,0,2,1,1,0,PASS,PASS
以为,2,2,yǐ wéi,nghĩ rằng,nghĩ rằng,0,0,0,0,6,4,0,1,PASS,PASS
以前,2,2,yǐ qián,trước đây,trước đây,0,2,0,0,4,5,0,0,PASS,PASS
以后,1,2,yǐ hòu,sau này,sau này,0,1,0,0,7,9,0,1,PASS,PASS
以外,2,2,yǐ wài,bên ngoài,bên ngoài,0,1,1,3,6,4,0,2,PASS,PASS
以来,3,2,yǐ lái,từ khi,Từ khi,0,0,0,0,3,1,0,0,PASS,PASS
价值,3,2,jià zhí,giá trị,"giá trị, ý nghĩa",1,2,1,1,2,2,0,1,PASS,PASS
价格,3,2,jià gé,giá,"giá cả, giá cả hàng hóa",0,2,0,0,1,1,0,1,PASS,PASS
价钱,2,2,jià qian,giá,giá cả,0,2,0,0,2,1,0,1,PASS,PASS
任何,2,2,rèn hé,bất kỳ,bất kỳ; bất cứ; nào,0,2,1,2,5,4,0,0,PASS,PASS
任务,3,2,rèn wu,nhiệm vụ,"Nhiệm vụ, công việc được giao",0,2,0,0,2,2,0,0,PASS,PASS
仿佛,3,2,fǎng fú,dường như,dường như,0,2,0,0,4,1,0,2,PASS,PASS
休假,2,2,xiū jià,nghỉ phép,nghỉ phép,0,1,0,0,1,1,0,1,PASS,PASS
休息,1,2,xiū xi,nghỉ ngơi,"nghỉ ngơi, tạm dừng hoạt động để lấy lại sức",0,3,0,0,16,10,0,0,PASS,PASS
休闲,3,2,xiū xián,giải trí,"thư giãn, nghỉ ngơi, giải trí",0,0,0,0,3,1,0,0,PASS,PASS
优势,3,2,yōu shì,vị trí ưu thế,"ưu thế, lợi thế; điểm mạnh",0,1,0,0,1,1,0,0,PASS,PASS
优点,3,2,yōu diǎn,ưu điểm,"ưu điểm, điểm tốt",0,2,1,1,2,1,0,1,PASS,PASS
优美,3,2,yōu měi,duyên dáng,u mỹ - duyên dáng,0,2,0,0,2,1,0,0,PASS,PASS
优质,3,2,yōu zhì,chất lượng cao,"chất lượng cao, ưu chất — có chất lượng vượt trội, xuất sắc",0,4,4,4,4,1,0,0,PASS,PASS
会员,3,2,huì yuán,thành viên,"hội viên, thành viên",1,2,1,1,2,1,0,1,PASS,PASS
会议,3,2,huì yì,hội nghị,"Hội nghị, cuộc họp",0,2,0,0,8,6,0,0,PASS,PASS
会话,2,2,huì huà,Hội thoại,"Hội thoại, đối thoại",0,0,0,0,2,1,0,0,PASS,PASS
伟大,3,2,wěi dà,vĩ đại,"vĩ đại, vĩ đại; to lớn, phi thường",0,2,0,0,1,2,0,0,PASS,PASS
传媒,3,2,chuán méi,truyền thông,"truyền thông, phương tiện truyền thông (báo chí, truyền hình, mạng xã hội); ngành truyền thông đại chúng",0,4,3,3,4,1,0,0,PASS,PASS
传授,3,2,chuán shòu,truyền thụ,Nghĩa của 传授,0,0,0,0,3,1,0,0,PASS,PASS
传播,3,2,chuán bò,truyền bá,truyền bá,0,2,0,0,1,1,0,0,PASS,PASS
传来,3,2,chuán lái,đến,"đến, truyền đến; vang lên, phát ra",0,1,0,0,1,1,0,2,PASS,PASS
传说,3,2,chuán shuō,truyền thuyết,truyền thuyết; câu chuyện truyền miệng; đồn đại,0,2,0,0,3,2,0,0,PASS,PASS
伤口,2,2,shāng kǒu,vết thương,vết thương,0,0,0,0,0,1,0,0,PASS,PASS
伤心,3,2,shāng xīn,đau lòng,"Buồn, đau lòng",0,1,0,0,3,1,0,0,PASS,PASS
伦理,3,2,lún lǐ,nguyên tắc đạo đức,nguyên tắc đạo đức,0,0,0,0,0,1,0,0,PASS,PASS
似乎,2,2,sì hū,hình như,"hình như, dường như, có vẻ",0,2,1,2,3,2,0,0,PASS,PASS
似的,2,2,shì de,giống như,"giống như, tựa như, dường như",0,2,0,0,2,2,0,0,PASS,PASS
但是,2,2,dàn shì,nhưng,đãn thị,0,1,0,0,9,10,0,2,PASS,PASS
住房,2,2,zhù fáng,nhà ở,nhà ở,0,1,0,0,2,1,0,0,PASS,PASS
住院,2,2,zhù yuàn,nằm viện,nằm viện,0,1,0,0,3,2,0,0,PASS,PASS
体会,3,2,tǐ huì,hiểu,"trải nghiệm, cảm nhận, thấu hiểu; nắm bắt một vấn đề thông qua trải nghiệm cá nhân",0,2,1,2,2,1,0,4,PASS,PASS
体现,3,2,tǐ xiàn,hiện thân,"hiện thân, thể hiện",0,2,0,0,3,2,0,0,PASS,PASS
体系,3,2,tǐ xì,hệ thống,Nghĩa của 体系,0,0,0,0,3,1,0,1,PASS,PASS
体育,2,2,tǐ yù,thể thao,thể thao,3,2,1,1,3,1,0,0,PASS,PASS
体验,3,2,tǐ yàn,trải nghiệm,trải nghiệm,0,2,0,0,2,1,0,1,PASS,PASS
佛教,3,2,fó jiào,Phật giáo,"Phật giáo — tôn giáo bắt nguồn từ Ấn Độ, do Đức Phật Thích Ca Mâu Ni sáng lập",0,4,3,3,4,1,0,0,PASS,PASS
作业,1,2,zuò yè,bài tập,tác nghiệp,0,1,0,0,7,7,0,1,PASS,PASS
作为,2,2,zuò wéi,như,"làm, hành động, với tư cách là",0,2,0,0,3,3,0,0,PASS,PASS
作品,3,2,zuò pǐn,tác phẩm,"tác phẩm, sản phẩm sáng tạo",0,2,1,1,1,1,0,0,PASS,PASS
作家,2,2,zuò jiā,nhà văn,nhà văn,0,1,0,0,3,2,0,0,PASS,PASS
作文,1,2,zuò wén,bài văn,bài văn,0,1,1,1,1,1,0,0,PASS,PASS
作用,2,2,zuò yòng,tác dụng,tác dụng,0,3,1,1,4,2,0,0,PASS,PASS
作者,3,2,zuò zhě,tác giả,tác giả,0,2,0,0,1,1,0,0,PASS,PASS
你们,1,2,nǐ men,các bạn,các bạn (ngôi thứ 2 số nhiều),0,3,1,1,14,10,0,0,PASS,PASS
你好,1,2,nǐ hǎo,xin chào,xin chào,0,0,0,0,1,3,0,0,PASS,PASS
佩服,3,2,pèi fú,khâm phục,khâm phục,0,2,0,0,4,1,0,0,PASS,PASS
使用,2,2,shǐ yòng,sử dụng,sử dụng,0,2,0,0,2,1,0,2,PASS,PASS
例如,2,2,lì rú,ví dụ,lê như,0,1,0,0,1,1,0,3,PASS,PASS
例子,2,2,lì zi,ví dụ,ví dụ,0,1,1,2,2,1,0,3,PASS,PASS
