word,collocation,collocationPinyin,collocationMeaning,sentenceChinese,sentencePinyin,sentenceMeaning,source
上来,跑上来,pǎo shànglái,chạy lên đây,她经常跑上来找我玩儿。,tā jīng cháng pǎo shàng lái zhǎo wǒ wán ér,Cô ấy thường xuyên chạy lên đây tìm tôi chơi.,new_hsk_2.json
上次,上次,shàng cì,lần trước,上次我们在哪里见面？,Shàngcì wǒmen zài nǎli jiànmiàn?,Lần trước chúng ta gặp nhau ở đâu?,hsk_1.json
上次,上次,shàng cì,lần trước,上次你说什么？,Shàngcì nǐ shuō shénme?,Lần trước bạn nói gì?,hsk_1.json
上次,上次,shàng cì,lần trước,我上次去过中国。,Wǒ shàngcì qùguo Zhōngguó.,Lần trước tôi đã đến Trung Quốc.,hsk_1.json
上班,去上班,qù shàngbān,đi làm,因为我生病了，今天没去上班。,yīn wèi wǒ shēng bìng le jīn tiān méi qù shàng bān,Vì tôi bị bệnh nên hôm nay không đi làm.,new_hsk_2.json
上班,去上班,qù shàngbān,đi làm,爸爸很快地吃完早饭，就去上班了。,bà bà hěn kuài dì chī wán zǎo fàn jiù qù shàng bān le,Bố ăn xong bữa sáng rất nhanh rồi đi làm luôn.,new_hsk_2.json
上网,上网聊天,shàngwǎng liáotiān,trò chuyện trên mạng,他喜欢上网聊天,Tā xǐhuān shàngwǎng liáotiān,Anh ấy thích lên mạng trò chuyện,hsk_1.json
上述,上述问题,shàngshù wèntí,vấn đề nêu trên,上述问题,shàngshù wèntí,Vấn đề nêu trên,hsk_3.json
上述,上述内容,shàngshù nèiróng,nội dung nêu trên,上述内容,shàngshù nèiróng,Nội dung nêu trên,hsk_3.json
上述,根据上述,gēnjù shàngshù,theo nêu trên,根据上述,Gēnjù shàngshù,Theo nêu trên,hsk_3.json
下午,下午好,xiàwǔ hǎo,chào buổi chiều,下午好,Xiàwǔ hǎo,Chào buổi chiều,hsk_1.json
下午,今天下午,jīntiān xiàwǔ,chiều hôm nay,今天下午,Jīntiān xiàwǔ,chiều hôm nay,hsk_1.json
下午,下午,xiàwǔ,buổi chiều,我下午去学校,Wǒ xiàwǔ qù xuéxiào,Chiều tôi đến trường,hsk_1.json
下午,下午,xiàwǔ,buổi chiều,下午好,Xiàwǔ hǎo,Chào buổi chiều,hsk_1.json
下午,下午,xiàwǔ,buổi chiều,今天下午,Jīntiān xiàwǔ,chiều hôm nay,hsk_1.json
下去,走下去,zǒu xiàqu,đi xuống,请走下去。,Qǐng zǒu xiàqu.,Làm ơn đi xuống.,hsk_2.json
下去,走下去,zǒu xiàqu,đi xuống,电梯坏了，看来咱们只能走下去了。,diàn tī huài le kàn lái zán men zhǐ néng zǒu xià qù le,"Thang máy hỏng rồi, xem ra chúng ta chỉ có thể đi bộ xuống thôi.",new_hsk_3.json
下去,跑下去,pǎo xiàqu,chạy xuống,他跑下去了。,Tā pǎo xiàqu le.,Anh ấy đã chạy xuống rồi.,hsk_2.json
下来,走下来,zǒu xiàlái,đi xuống đây,他从楼上走下来了。,Tā cóng lóu shàng zǒu xiàlái le.,Anh ấy đi xuống đây từ trên tầng.,hsk_2.json
下次,下次再,xiàcì zài,lần sau nữa,下次再见。,Xiàcì zàijiàn.,Hẹn gặp lại lần sau.,hsk_1.json
下次,下次再,xiàcì zài,lần sau nữa,下次再来吧。,Xiàcì zài lái ba.,Lần sau hãy đến lại nhé.,hsk_1.json
下车,下车,xià chē,xuống xe,我们在哪里下车？,Wǒmen zài nǎli xiàchē?,Chúng tôi xuống xe ở đâu?,hsk_1.json
下车,下车,xià chē,xuống xe,下一站下车。,Xià yí zhàn xiàchē.,Xuống xe ở trạm tiếp theo.,hsk_1.json
下车,下车,xià chē,xuống xe,请小心下车。,Qǐng xiǎoxīn xiàchē.,Xin vui lòng xuống xe cẩn thận.,hsk_1.json
不停,不停地,bùtíng de,không ngừng,雨不停地下着。,Yǔ bùtíng de xiàzhe.,Mưa không ngừng rơi.,hsk_1.json
不停,不停地,bùtíng de,không ngừng,他不停地说话。,Tā bùtíng de shuōhuà.,Anh ấy nói chuyện không ngừng.,hsk_1.json
不停,不停地,bùtíng de,không ngừng,孩子们不停地笑。,Háizimen bùtíng de xiào.,Bọn trẻ不停地 cười.,hsk_1.json
不同,不同,bù tóng,khác nhau,我们有很多不同,wǒ men yǒu hěn duō bù tóng,Chúng tôi có nhiều khác biệt,hsk_1.json
不同,不同,bù tóng,khác nhau,不同的文化,bù tóng de wén huà,Văn hóa khác nhau,hsk_1.json
不同,不同,bù tóng,khác nhau,他们的性格虽然不同，但是兴趣爱好差不多。,tā men de xìng gé suī rán bù tóng dàn shì xīng qù ài hǎo chà bù duō,"Tuy tính cách của họ khác nhau, nhưng sở thích thì gần giống nhau.",hsk_4.json
不够,钱不够,qián bù gòu,thiếu tiền,钱不够,qián bù gòu,Tiền không đủ,hsk_2.json
不够,时间不够,shí jiān bù gòu,thiếu thời gian,时间不够,shí jiān bù gòu,Thời gian không đủ,hsk_2.json
不够,时间不够,shí jiān bù gòu,thiếu thời gian,一来路远，二来时间不够。,yī lái lù yuǎn èr lái shí jiān bù gòu,"Một là đường xa, hai là thời gian không đủ.",hsk_5.json
不够,还不够,hái bù gòu,vẫn chưa đủ,还不够,hái bù gòu,Vẫn chưa đủ,hsk_2.json
不大,不大不小,bù dà bù xiǎo,vừa phải,不大不小的房间正好。,Bù dà bù xiǎo de fángjiān zhènghǎo.,Căn phòng không lớn không nhỏ vừa phải.,hsk_1.json
不安,感到不安,gǎndào bù'ān,cảm thấy bất an,请不要为此感到不安。,Qǐng bùyào wèi cǐ gǎndào bù'ān.,Xin đừng vì việc này mà cảm thấy bất an.,hsk_3.json
不安,感到不安,gǎndào bù'ān,cảm thấy bất an,他对未来的工作感到不安。,Tā duì wèilái de gōngzuò gǎndào bù'ān.,Anh ấy lo âu về công việc trong tương lai.,hsk_3.json
不少,不少人,bù shǎo rén,nhiều người,不少人,bù shǎo rén,Không ít người/nhiều người,hsk_2.json
不少,不少钱,bù shǎo qián,không ít tiền,花了不少钱,huā le bù shǎo qián,Tiêu không ít tiền,hsk_2.json
不少,不少钱,bù shǎo qián,không ít tiền,今天买的东西太多了。再说，这个月家里已经花了不少钱了。,jīn tiān mǎi de dōng xī tài duō le zài shuō zhè gè yuè jiā lǐ yǐ jīng huā le bù shǎo qián le,"Hôm nay mua quá nhiều đồ rồi. Hơn nữa, tháng này trong nhà đã tiêu không ít tiền rồi.",hsk_4.json
不屑,不屑一顾,bù xiè yī gù,không thèm liếc mắt,他对这种小事不屑一顾。,Tā duì zhè zhǒng xiǎoshì bù xiè yī gù.,Anh ta coi việc nhỏ nhặt này không đáng liếc mắt tới.,hsk_3.json
不屑,不屑于,bù xiè yú,không thèm làm,他们不屑于使用这种手段。,Tāmen bù xiè yú shǐyòng zhè zhǒng shǒuduàn.,Họ coi việc dùng thủ đoạn đó là hạ thấp bản thân.,hsk_3.json
不断,不断发展,bùduàn fāzhǎn,liên tục phát triển,科技在不断发展。,Kējì zài bùduàn fāzhǎn.,Khoa học công nghệ liên tục phát triển.,hsk_3.json
不满,感到不满,gǎn dào bù mǎn,cảm thấy bất mãn,大家都感到不满。,dà jiā dōu gǎn dào bù mǎn。,Mọi người đều cảm thấy bất mãn.,hsk_2.json
不用,不用谢,bùyòng xiè,không cần cảm ơn,不用谢,Bùyòng xiè,Không cần cảm ơn/Đừng khách sáo,hsk_1.json
不用,不用了,bùyòngle,không cần đâu,不用了,Bùyòngle,Không cần đâu/Được rồi (từ chối đề nghị),hsk_1.json
不见,关于不见,guānyú 不见,về biến mất,关于不见,Guānyú 不见,Về biến mất,hsk_3.json
专业,很专业,hěn zhuānyè,rất chuyên nghiệp,她是一个很专业的医生。,Tā shì yīgè hěn zhuānyè de yīshēng.,Cô ấy là một bác sĩ rất chuyên nghiệp.,hsk_1.json
专业,很专业,hěn zhuānyè,rất chuyên nghiệp,他在这个领域很专业。,Tā zài zhège lǐngyù hěn zhuānyè.,Anh ấy rất chuyên môn trong lĩnh vực này.,hsk_1.json
专业,专业人员,zhuānyè rényuán,nhân viên chuyên môn,我们需要专业人员的帮助。,Wǒmen xūyào zhuānyè rényuán de bāngzhù.,Chúng tôi cần sự giúp đỡ của nhân viên chuyên môn.,hsk_1.json
专家,请专家,qǐng zhuānjiā,mời chuyên gia,请专家来解决问题。,Qǐng zhuānjiā lái jiějué wèntí.,Mời chuyên gia đến giải quyết vấn đề.,hsk_3.json
专门,专门研究,zhuānmén yánjiū,nghiên cứu chuyên sâu,他是专门研究中国历史的专家。,Tā shì zhuānmén yánjiū Zhōngguó lìshǐ de zhuānjiā.,Anh ấy là chuyên gia nghiên cứu lịch sử Trung Quốc.,hsk_2.json
世界,世界各地,shìjiè gèdì,khắp nơi trên thế giới,我想去世界各地旅游。,Wǒ xiǎng qù shìjiè gèdì lǚyóu.,Tôi muốn du lịch khắp thế giới.,hsk_2.json
东北,东北,Dōng běi,Đông Bắc,东北地区,Dōng běi dì qū,Vùng Đông Bắc,hsk_1.json
东北,东北,Dōng běi,Đông Bắc,向东北方向,xiàng Dōng běi fāng xiàng,Hướng Đông Bắc,hsk_1.json
东方,东方,dōng fāng,phương Đông,东方文化,dōng fāng wén huà,Văn hóa phương Đông,hsk_2.json
东西,买东西,mǎi dōngxi,mua đồ,他去商店买东西。,tā qù shāng diàn mǎi dōng xī,Anh ấy đi cửa hàng mua đồ.,hsk_1.json
东西,买东西,mǎi dōngxi,mua đồ,我去超市买东西。,wǒ qù chāo shì mǎi dōng xī,Tôi đi siêu thị mua đồ.,new_hsk_1.json
东西,吃东西,chī dōngxi,ăn đồ ăn,吃东西,chī dōngxi,ăn đồ ăn,hsk_1.json
东西,东西,dōngxi,đồ,买很多东西,Mǎi hěn duō dōngxi,Mua nhiều đồ,hsk_1.json
东西,东西,dōngxi,đồ,这是什么东西？,Zhè shì shénme dōngxi?,Đây là cái gì?,hsk_1.json
东西,东西,dōngxi,đồ,吃东西,chī dōngxi,ăn đồ ăn,hsk_1.json
东边,东边有,dōngbiān yǒu,phía đông có,东边有海,Dōngbiān yǒu hǎi,Phía đông có biển,hsk_1.json
个人,每个人,měi gè rén,mỗi người,每个人都有自己的梦想。,Měi gè rén dōu yǒu zìjǐ de mèngxiǎng.,Mỗi người đều có ước mơ của riêng mình.,hsk_3.json
个人,每个人,měi gè rén,mỗi người,每个人都有自己特别感兴趣的东西，因此，作家爱写小说，画家爱画画儿。,měi gè rén dōu yǒu zì jǐ tè bié gǎn xīng qù de dōng xī yīn cǐ zuò jiā ài xiě xiǎo shuō huà jiā ài huà huà ér,"Mỗi người đều có thứ mình đặc biệt hứng thú, vì vậy nhà văn thích viết tiểu thuyết, họa sĩ thích vẽ tranh.",hsk_4.json
个子,个子高,gè zi gāo,cao lớn,他个子高高的。,tā gè zi gāo gāo de,Anh ấy có dáng người cao cao.,hsk_3.json
个子,个子矮,gè zi ǎi,thấp bé,个子矮,gè zi ǎi,chiều cao thấp,hsk_1.json
中午,中午好,zhōngwǔ hǎo,chào buổi trưa,中午好,Zhōngwǔ hǎo,Chào buổi trưa,hsk_1.json
中午,今天中午,jīntiān zhōngwǔ,trưa hôm nay,今天中午,Jīntiān zhōngwǔ,trưa hôm nay,hsk_1.json
中午,中午吃,zhōngwǔ chī,ăn trưa,我中午吃饭,Wǒ zhōngwǔ chīfàn,Tôi ăn trưa,hsk_1.json
中午,中午吃,zhōngwǔ chī,ăn trưa,中午吃什么？,Zhōngwǔ chī shé me?,Trưa ăn gì?,hsk_1.json
中午,在中午,zài zhōngwǔ,vào buổi trưa,在中午见面,zài zhōngwǔ jiànmiàn,gặp nhau vào buổi trưa,hsk_1.json
中国,中国人,Zhōngguórén,người Trung Quốc,我们是中国人,Wǒmen shì Zhōngguórén,Chúng tôi là người Trung Quốc,hsk_1.json
中国,中国人,Zhōngguórén,người Trung Quốc,我是中国人。你呢？,wǒ shì zhōng guó rén nǐ ne,Tôi là người Trung Quốc. Còn bạn?,hsk_1.json
中国,中国人,Zhōngguórén,người Trung Quốc,我们都是中国人。,wǒ men dōu shì zhōng guó rén,Chúng tôi đều là người Trung Quốc.,hsk_1.json
中国,中国菜,Zhōngguó cài,món Trung Quốc,中国菜很好吃,Zhōngguó cài hěn hǎochī,Món Trung Quốc rất ngon,hsk_1.json
中国,中国菜,Zhōngguó cài,món Trung Quốc,我不会做中国菜。,wǒ bù huì zuò zhōng guó cài,Tôi không biết nấu món ăn Trung Quốc.,hsk_1.json
中国,中国菜,Zhōngguó cài,món Trung Quốc,中国菜很好吃。,zhōng guó cài hěn hǎo chī,Món ăn Trung Quốc rất ngon.,hsk_1.json
中国,中国文化,Zhōngguó wénhuà,văn hóa Trung Quốc,我最近看了一些关于中国文化的电影。,wǒ zuì jìn kàn le yī xiē guān yú zhōng guó wén huà de diàn yǐng,Gần đây tôi có xem một vài bộ phim về văn hóa Trung Quốc.,hsk_3.json
中学,在中学,zài zhōngxué,ở trung học,他在中学读书。,Tā zài zhōngxué dúshū.,Anh ấy học trung học.,hsk_1.json
中年,中年人,zhōng nián rén,người trung niên,他已经是中年人了,tā yǐ jīng shì zhōng nián rén le,Anh ấy đã là người trung niên,hsk_2.json
中心,市中心,shì zhōng xīn,trung tâm thành phố,市中心,shì zhōng xīn,trung tâm thành phố,hsk_1.json
中文,学中文,xué Zhōngwén,học tiếng Trung,我学中文,Wǒ xué Zhōngwén,Tôi học tiếng Trung,hsk_1.json
中文,学中文,xué Zhōngwén,học tiếng Trung,现在学中文的学生很多。,xiàn zài xué zhōng wén de xué shēng hěn duō,Bây giờ học sinh học tiếng Trung rất nhiều.,new_hsk_2.json
中文,说中文,shuō Zhōngwén,nói tiếng Trung,说中文,shuō Zhōngwén,nói tiếng Trung,hsk_1.json
中文,说中文,shuō Zhōngwén,nói tiếng Trung,王老师让我们说中文。,wáng lǎo shī ràng wǒ men shuō zhōng wén,Thầy Vương bảo chúng tôi nói tiếng Trung.,new_hsk_2.json
中文,说中文,shuō Zhōngwén,nói tiếng Trung,你们班谁说中文说得最好？,nǐ men bān shuí shuō zhōng wén shuō dé zuì hǎo,Trong lớp các bạn ai nói tiếng Trung tốt nhất?,new_hsk_2.json
中文,中文,Zhōngwén,tiếng Trung,我学中文,Wǒ xué Zhōngwén,Tôi học tiếng Trung,hsk_1.json
中文,中文,Zhōngwén,tiếng Trung,中文很难,Zhōngwén hěn nán,Tiếng Trung rất khó,hsk_1.json
中文,中文,Zhōngwén,tiếng Trung,说中文,shuō Zhōngwén,nói tiếng Trung,hsk_1.json
中级,中级水平,zhōng jí shuǐ píng,trình độ trung cấp,达到中级水平,dá dào zhōng jí shuǐ píng,Đạt trình độ trung cấp,hsk_2.json
中级,中级课程,zhōng jí kè chéng,khóa học trung cấp,这是中级课程,zhè shì zhōng jí kè chéng,Đây là khóa học trung cấp,hsk_2.json
中餐,吃中餐,chī zhōng cān,ăn món Trung Hoa,我喜欢吃中餐,wǒ xǐ huan chī zhōng cān,Tôi thích ăn món Trung Quốc,hsk_2.json
丰满,身材丰满,shēncái fēngmǎn,vóc người đầy đặn,身材丰满,shēncái fēngmǎn,Vóc người đầy đặn,hsk_3.json
丰满,羽翼丰满,yǔyì fēngmǎn,đã trưởng thành,羽翼丰满,yǔyì fēngmǎn,Cánh cồ đủ đầy (đã trưởng thành),hsk_3.json
主任,办公室主任,bàngōngshì zhǔrèn,trưởng ban văn phòng,办公室主任正在开会。,Bàngōngshì zhǔrèn zhèngzài kāihuì.,Trưởng ban văn phòng đang họp.,hsk_3.json
主意,好主意,hǎo zhǔyì,ý kiến hay,我有个好主意。,Wǒ yǒu gè hǎo zhǔyì.,Tôi có một ý kiến hay.,hsk_1.json
主持,主持人,zhǔchírén,người dẫn chương trình,他是这个电视节目的主持人。,Tā shì zhège diànshì jiémù de zhǔchírén.,Anh ấy là người dẫn chương trình TV này.,hsk_3.json
主要,主要原因,zhǔ yào yuán yīn,nguyên nhân chính,这是主要原因,zhè shì zhǔ yào yuán yīn,Đây là nguyên nhân chính,hsk_2.json
举行,举行会议,jǔ xíng huì yì,tổ chức cuộc họp,我们在学校举行会议,wǒ men zài xué xiào jǔ xíng huì yì,Chúng tôi tổ chức cuộc họp ở trường,hsk_2.json
乐观,很乐观,hěn lèguān,rất lạc quan,他对未来很乐观。,Tā duì wèilái hěn lèguān.,Anh ấy rất lạc quan về tương lai.,hsk_3.json
乐观,保持乐观,bǎochí lèguān,giữ thái độ lạc quan,我们应该保持乐观的态度。,Wǒmen yīnggāi bǎochí lèguān de tàidu.,Chúng ta nên giữ thái độ lạc quan.,hsk_3.json
也许,也许,yě xǔ,có lẽ,也许明天会好,yě xǔ míng tiān huì hǎo,Có lẽ ngày mai sẽ tốt lên,hsk_1.json
也许,也许,yě xǔ,có lẽ,也许是这样的,yě xǔ shì zhè yàng de,Có lẽ là như vậy,hsk_1.json
也许,也许,yě xǔ,có lẽ,换一个角度考虑，也许正好就能发现问题的关键，从而找到解决问题的答案。,huàn yī gè jiǎo dù kǎo lǜ yě xǔ zhèng hǎo jiù néng fā xiàn wèn tí de guān jiàn cóng ér zhǎo dào jiě jué wèn tí de dá àn,"Đổi một góc độ để suy nghĩ, có lẽ vừa hay có thể phát hiện mấu chốt của vấn đề, từ đó tìm ra đáp án giải quyết vấn đề.",hsk_4.json
书包,新书包,xīn shūbāo,cặp sách mới,我买了一个新书包。,Wǒ mǎile yīgè xīn shūbāo.,Tôi mua một cặp sách mới.,hsk_1.json
书包,书包里,shūbāo lǐ,trong cặp sách,我每天书包里都放着雨伞，就今天没带。,wǒ měi tiān shū bāo lǐ dōu fàng zhe yǔ sǎn jiù jīn tiān méi dài,"Ngày nào tôi cũng để ô trong cặp, chỉ có hôm nay là không mang.",new_hsk_3.json
了解,了解,liǎo jiě,hiểu rõ,这个了解很好。,zhè ge liǎo jiě hěn hǎo。,hiểu rõ này rất tốt.,hsk_2.json
了解,了解,liǎo jiě,hiểu rõ,我喜欢这个了解。,wǒ xǐ huan zhè ge liǎo jiě。,Tôi thích hiểu rõ này.,hsk_2.json
了解,了解,liǎo jiě,hiểu rõ,我认识他很多年，因此，很了解他的性格。,wǒ rèn shí tā hěn duō nián yīn cǐ hěn le jiě tā de xìng gé,"Tôi quen anh ấy nhiều năm rồi, vì vậy rất hiểu tính cách của anh ấy.",hsk_4.json
事业,教育事业,jiàoyù shìyè,sự nghiệp giáo dục,我们要为教育事业贡献力量。,Wǒmen yào wèi jiàoyù shìyè gòngxiàn lìliàng.,Chúng ta cần đóng góp sức lực cho sự nghiệp giáo dục.,hsk_3.json
事先,事先,shì xiān,trước,这个事先很好。,zhè ge shì xiān hěn hǎo。,trước này rất tốt.,hsk_3.json
事先,事先,shì xiān,trước,我喜欢这个事先。,wǒ xǐ huan zhè ge shì xiān。,Tôi thích trước này.,hsk_3.json
事情,处理事情,chǔ lǐ shì qing,xử lý việc,处理事情要有耐心。,chǔ lǐ shì qing yào yǒu nài xīn。,Xử lý việc phải có kiên nhẫn.,hsk_2.json
互相,互相帮助,hùxiāng bāngzhù,giúp đỡ lẫn nhau,我们应该互相帮助，互相学习。,"Wǒmen yīnggāi hùxiāng bāngzhù, hùxiāng xuéxí.","Chúng ta nên giúp đỡ lẫn nhau, học hỏi lẫn nhau.",hsk_2.json
京剧,看京剧,kàn jīngjù,xem Kinh kịch,奶奶很喜欢看京剧。,Nǎinai hěn xǐhuan kàn jīngjù.,Bà nội rất thích xem Kinh kịch.,hsk_2.json
亲密,亲密,qīn mì,thân thiết,这个亲密很好。,zhè ge qīn mì hěn hǎo。,thân thiết này rất tốt.,hsk_2.json
亲密,亲密,qīn mì,thân thiết,我喜欢这个亲密。,wǒ xǐ huan zhè ge qīn mì。,Tôi thích thân thiết này.,hsk_2.json
亲戚,走亲戚,zǒu qīnqi,thăm họ hàng,走亲戚,zǒu qīnqi,Thăm họ hàng,hsk_1.json
亲近,亲近自然,qīnjìn zìrán,gần gũi với thiên nhiên,孩子们很亲近自然，喜欢在户外玩耍。,"Háizimen hěn qīnjìn zìrán, xǐhuān zài hùwài wánshuǎ.","Bọn trẻ rất gần gũi với thiên nhiên, thích vui chơi ngoài trời.",hsk_3.json
人员,工作人员,gōngzuò rényuán,nhân viên làm việc,我们公司需要招聘更多工作人员。,Wǒmen gōngsī xūyào zhāopìn gèng duō gōngzuò rényuán.,Công ty chúng tôi cần tuyển dụng thêm nhân viên.,hsk_3.json
人家,人家,rénjiā,người ta,人家都已经去了,Rénjiā dōu yǐjīng qù le,Người ta đã đi rồi,hsk_2.json
人家,人家,rénjiā,người ta,人家不知道,Rénjiā bù zhīdào,Họ không biết,hsk_2.json
人家,人家,rénjiā,người ta,看人家,kàn rénjiā,nhìn người ta,hsk_2.json
人家,看人家,kàn rénjiā,nhìn người khác,看人家,kàn rénjiā,nhìn người ta,hsk_2.json
什么,为什么,wèishénme,tại sao,不管做什么事情，首先应该明白为什么要做，其次要知道怎么做。,bù guǎn zuò shén me shì qíng shǒu xiān yīng gāi míng bái wèi shén me yào zuò qí cì yào zhī dào zěn me zuò,"Bất kể làm việc gì, trước hết nên hiểu vì sao phải làm, tiếp theo phải biết làm như thế nào.",hsk_4.json
仅仅,不仅仅,bù jǐn jǐn,không chỉ,他不仅仅是个医生。,tā bù jǐn jǐn shì gè yī shēng。,Anh ấy không chỉ là một bác sĩ.,hsk_3.json
仅仅,不仅仅,bù jǐn jǐn,không chỉ,不仅仅是我，大家都这么想。,bù jǐn jǐn shì wǒ， dà jiā dōu zhè me xiǎng。,"Không chỉ tôi, mà ai cũng nghĩ vậy.",hsk_3.json
今天,今天下午,jīntiān xiàwǔ,chiều hôm nay,今天下午,jīntiān xiàwǔ,chiều hôm nay,hsk_1.json
今天,今天晚上,jīntiān wǎnshang,tối hôm nay,今天晚上吃米饭或者面条都可以。,jīn tiān wǎn shàng chī mǐ fàn huò zhě miàn tiáo dōu kě yǐ,Tối nay ăn cơm hoặc mì đều được.,hsk_3.json
今年,今年,jīnnián,năm nay,我今年二十岁,Wǒ jīnnián èrshí suì,Năm nay tôi 20 tuổi,hsk_1.json
今年,今年,jīnnián,năm nay,今年你有什么计划？,Jīnnián nǐ yǒu shé me jìhuà?,Năm nay bạn có kế hoạch gì?,hsk_1.json
今年,今年,jīnnián,năm nay,今年是龙年,Jīnnián shì lóngnián,Năm nay là năm Long,hsk_1.json
今年,今年夏天,jīnnián xiàtiān,mùa hè năm nay,今年夏天,jīnnián xiàtiān,mùa hè năm nay,hsk_1.json
今年,今年夏天,jīnnián xiàtiān,mùa hè năm nay,今年夏天热极了。,jīn nián xià tiān rè jí le,Mùa hè năm nay nóng vô cùng.,new_hsk_3.json
