sourceWord,targetWord,relationType,pinyin,meaningVi,evidence,source,reviewStatus
丰富,充实,same-short-meaning-candidate,chōng shí,phong phú,exact normalized Vietnamese short meaning: phong phú,hsk_3.json,needs-review
主导,指导,homophone,zhǐ dǎo,hướng dẫn,exact normalized pinyin match in local HSK data,hsk_3.json,reviewed-local
主导,带动,same-short-meaning-candidate,dài dòng,dẫn dắt,exact normalized Vietnamese short meaning: dẫn dắt,hsk_2.json,needs-review
主导,带领,same-short-meaning-candidate,dài lǐng,dẫn dắt,exact normalized Vietnamese short meaning: dẫn dắt,hsk_3.json,needs-review
主张,看法,same-short-meaning-candidate,kàn fǎ,quan điểm,exact normalized Vietnamese short meaning: quan điểm,hsk_2.json,needs-review
主张,观点,same-short-meaning-candidate,guān diǎn,quan điểm,exact normalized Vietnamese short meaning: quan điểm,hsk_2.json,needs-review
主持,支持,homophone,zhī chí,hỗ trợ,exact normalized pinyin match in local HSK data,hsk_3.json,reviewed-local
主要,只要,homophone,zhǐ yào,miễn là,exact normalized pinyin match in local HSK data,hsk_2.json,reviewed-local
举办,组织,same-short-meaning-candidate,zǔ zhī,tổ chức,exact normalized Vietnamese short meaning: tổ chức,hsk_2.json,needs-review
举办,举行,same-short-meaning-candidate,jǔ xíng,tổ chức,exact normalized Vietnamese short meaning: tổ chức,hsk_2.json,needs-review
举动,行为,same-short-meaning-candidate,xíng wéi,hành động,exact normalized Vietnamese short meaning: hành động,hsk_2.json,needs-review
举行,组织,same-short-meaning-candidate,zǔ zhī,tổ chức,exact normalized Vietnamese short meaning: tổ chức,hsk_2.json,needs-review
举行,举办,same-short-meaning-candidate,jǔ bàn,tổ chức,exact normalized Vietnamese short meaning: tổ chức,hsk_2.json,needs-review
乌鸦,五一,homophone,wǔ yī,Mùng 1 tháng 5 (Ngày Quốc tế Lao động),exact normalized pinyin match in local HSK data,hsk_2.json,reviewed-local
习惯,嗜好,same-short-meaning-candidate,shì hào,thói quen,exact normalized Vietnamese short meaning: thói quen,hsk_3.json,needs-review
书架,暑假,homophone,shǔ jià,kỳ nghỉ hè,exact normalized pinyin match in local HSK data,hsk_2.json,reviewed-local
事实,实话,same-short-meaning-candidate,shí huà,sự thật,exact normalized Vietnamese short meaning: sự thật,hsk_2.json,needs-review
于是,然后,same-short-meaning-candidate,rán hòu,sau đó,exact normalized Vietnamese short meaning: sau đó,hsk_1.json,needs-review
互相,相互,same-short-meaning-candidate,xiāng hù,lẫn nhau,exact normalized Vietnamese short meaning: lẫn nhau,hsk_3.json,needs-review
五一,乌鸦,homophone,wū yā,Quạ,exact normalized pinyin match in local HSK data,hsk_3.json,reviewed-local
交涉,谈判,same-short-meaning-candidate,tán pàn,đàm phán,exact normalized Vietnamese short meaning: đàm phán,hsk_3.json,needs-review
产生,生产,same-short-meaning-candidate,shēng chǎn,sản xuất,exact normalized Vietnamese short meaning: sản xuất,hsk_3.json,needs-review
产生,制造,same-short-meaning-candidate,zhì zào,sản xuất,exact normalized Vietnamese short meaning: sản xuất,hsk_3.json,needs-review
亲切,友好,same-short-meaning-candidate,yǒu hǎo,thân thiện,exact normalized Vietnamese short meaning: thân thiện,hsk_2.json,needs-review
人们,大家,same-short-meaning-candidate,dà jiā,mọi người,exact normalized Vietnamese short meaning: Mọi người,hsk_1.json,needs-review
人员,员工,same-short-meaning-candidate,yuán gōng,nhân viên,exact normalized Vietnamese short meaning: nhân viên,hsk_3.json,needs-review
人生,生活,same-short-meaning-candidate,shēng huó,cuộc sống,exact normalized Vietnamese short meaning: cuộc sống,hsk_1.json,needs-review
人生,日子,same-short-meaning-candidate,rì zi,cuộc sống,exact normalized Vietnamese short meaning: cuộc sống,hsk_2.json,needs-review
人生,生命,same-short-meaning-candidate,shēng mìng,cuộc sống,exact normalized Vietnamese short meaning: cuộc sống,hsk_3.json,needs-review
从事,参加,same-short-meaning-candidate,cān jiā,tham gia,exact normalized Vietnamese short meaning: tham gia,hsk_1.json,needs-review
从来,老是,same-short-meaning-candidate,lǎo shì,luôn luôn,exact normalized Vietnamese short meaning: luôn luôn,hsk_2.json,needs-review
从来,总是,same-short-meaning-candidate,zǒng shì,luôn luôn,exact normalized Vietnamese short meaning: luôn luôn,hsk_2.json,needs-review
从来,时刻,same-short-meaning-candidate,shí kè,luôn luôn,exact normalized Vietnamese short meaning: luôn luôn,hsk_3.json,needs-review
仔细,小心,same-short-meaning-candidate,xiǎo xīn,cẩn thận,exact normalized Vietnamese short meaning: cẩn thận,hsk_2.json,needs-review
仔细,好好,same-short-meaning-candidate,hǎo hào,cẩn thận,exact normalized Vietnamese short meaning: cẩn thận,hsk_3.json,needs-review
他们,她们,homophone,tā men,họ (nữ),exact normalized pinyin match in local HSK data,hsk_1.json,reviewed-local
他们,它们,homophone,tā men,chúng,exact normalized pinyin match in local HSK data,hsk_1.json,reviewed-local
以下,一下,homophone,yī xià,một lát,exact normalized pinyin match in local HSK data,hsk_1.json,reviewed-local
以为,认为,same-short-meaning-candidate,rèn wéi,nghĩ rằng,exact normalized Vietnamese short meaning: nghĩ rằng,hsk_2.json,needs-review
以后,后来,same-short-meaning-candidate,hòu lái,sau này,exact normalized Vietnamese short meaning: sau này,hsk_2.json,needs-review
以外,外边,same-short-meaning-candidate,wài biān,bên ngoài,exact normalized Vietnamese short meaning: bên ngoài,hsk_1.json,needs-review
以外,外面,same-short-meaning-candidate,wài miàn,bên ngoài,exact normalized Vietnamese short meaning: bên ngoài,hsk_2.json,needs-review
价值,价值观,same-short-meaning-candidate,jià zhí guān,giá trị,exact normalized Vietnamese short meaning: giá trị,hsk_3.json,needs-review
价格,价钱,same-short-meaning-candidate,jià qian,giá,exact normalized Vietnamese short meaning: giá,hsk_2.json,needs-review
价钱,价格,same-short-meaning-candidate,jià gé,giá,exact normalized Vietnamese short meaning: giá,hsk_3.json,needs-review
仿佛,好像,same-short-meaning-candidate,hǎo xiàng,dường như,exact normalized Vietnamese short meaning: dường như,hsk_1.json,needs-review
仿佛,看来,same-short-meaning-candidate,kàn lái,dường như,exact normalized Vietnamese short meaning: dường như,hsk_2.json,needs-review
休假,放假,same-short-meaning-candidate,fàng jià,nghỉ phép,exact normalized Vietnamese short meaning: nghỉ phép,hsk_1.json,needs-review
优点,长处,same-short-meaning-candidate,cháng chu,ưu điểm,exact normalized Vietnamese short meaning: ưu điểm,hsk_3.json,needs-review
会员,成员,same-short-meaning-candidate,chéng yuán,thành viên,exact normalized Vietnamese short meaning: thành viên,hsk_3.json,needs-review
传来,来到,same-short-meaning-candidate,lái dào,đến,exact normalized Vietnamese short meaning: đến,hsk_1.json,needs-review
传来,直到,same-short-meaning-candidate,zhí dào,đến,exact normalized Vietnamese short meaning: đến,hsk_3.json,needs-review
但是,可是,same-short-meaning-candidate,kě shì,nhưng,exact normalized Vietnamese short meaning: nhưng,hsk_1.json,needs-review
但是,不过,same-short-meaning-candidate,bù guò,nhưng,exact normalized Vietnamese short meaning: nhưng,hsk_1.json,needs-review
体会,明白,same-short-meaning-candidate,míng bai,hiểu,exact normalized Vietnamese short meaning: hiểu,hsk_1.json,needs-review
体会,懂得,same-short-meaning-candidate,dǒng dé,hiểu,exact normalized Vietnamese short meaning: hiểu,hsk_2.json,needs-review
体会,领悟,same-short-meaning-candidate,lǐng wù,hiểu,exact normalized Vietnamese short meaning: hiểu,hsk_3.json,needs-review
体会,理解,same-short-meaning-candidate,lǐ jiě,hiểu,exact normalized Vietnamese short meaning: hiểu,hsk_3.json,needs-review
体系,制度,same-short-meaning-candidate,zhì dù,hệ thống,exact normalized Vietnamese short meaning: hệ thống,hsk_2.json,needs-review
体验,经历,same-short-meaning-candidate,jīng lì,trải nghiệm,exact normalized Vietnamese short meaning: trải nghiệm,hsk_2.json,needs-review
作业,功课,same-short-meaning-candidate,gōng kè,bài tập,exact normalized Vietnamese short meaning: bài tập,hsk_1.json,needs-review
使用,利用,same-short-meaning-candidate,lì yòng,sử dụng,exact normalized Vietnamese short meaning: sử dụng,hsk_2.json,needs-review
使用,采用,same-short-meaning-candidate,cǎi yòng,sử dụng,exact normalized Vietnamese short meaning: sử dụng,hsk_3.json,needs-review
例如,比如,same-short-meaning-candidate,bǐ rú,ví dụ,exact normalized Vietnamese short meaning: ví dụ,hsk_1.json,needs-review
例如,例子,same-short-meaning-candidate,lì zi,ví dụ,exact normalized Vietnamese short meaning: ví dụ,hsk_2.json,needs-review
例如,比方说,same-short-meaning-candidate,bǐ fang shuō,Ví dụ,exact normalized Vietnamese short meaning: ví dụ,hsk_3.json,needs-review
例子,比如,same-short-meaning-candidate,bǐ rú,ví dụ,exact normalized Vietnamese short meaning: ví dụ,hsk_1.json,needs-review
例子,例如,same-short-meaning-candidate,lì rú,ví dụ,exact normalized Vietnamese short meaning: ví dụ,hsk_2.json,needs-review
例子,比方说,same-short-meaning-candidate,bǐ fang shuō,Ví dụ,exact normalized Vietnamese short meaning: ví dụ,hsk_3.json,needs-review
保安,保护,same-short-meaning-candidate,bǎo hù,bảo vệ,exact normalized Vietnamese short meaning: bảo vệ,hsk_3.json,needs-review
保护,保安,same-short-meaning-candidate,bǎo'ān,bảo vệ,exact normalized Vietnamese short meaning: bảo vệ,hsk_3.json,needs-review
信任,相信,same-short-meaning-candidate,xiāng xìn,tin tưởng,exact normalized Vietnamese short meaning: tin tưởng,hsk_2.json,needs-review
停止,站住,same-short-meaning-candidate,zhàn zhu,dừng lại,exact normalized Vietnamese short meaning: dừng lại,hsk_2.json,needs-review
储量,车辆,homophone,chē liàng,xe cộ,exact normalized pinyin match in local HSK data,hsk_2.json,reviewed-local
像样,相当,same-short-meaning-candidate,xiāng dāng,khá,exact normalized Vietnamese short meaning: khá,hsk_3.json,needs-review
充实,丰富,same-short-meaning-candidate,fēng fù,phong phú,exact normalized Vietnamese short meaning: phong phú,hsk_2.json,needs-review
入口,门口,same-short-meaning-candidate,mén kǒu,lối vào,exact normalized Vietnamese short meaning: lối vào,hsk_1.json,needs-review
全体,整整,same-short-meaning-candidate,zhěng zhěng,toàn bộ,exact normalized Vietnamese short meaning: toàn bộ,hsk_1.json,needs-review
全体,全部,same-short-meaning-candidate,quán bù,toàn bộ,exact normalized Vietnamese short meaning: toàn bộ,hsk_1.json,needs-review
全体,整个,same-short-meaning-candidate,zhěng gè,toàn bộ,exact normalized Vietnamese short meaning: toàn bộ,hsk_3.json,needs-review
全部,整整,same-short-meaning-candidate,zhěng zhěng,toàn bộ,exact normalized Vietnamese short meaning: toàn bộ,hsk_1.json,needs-review
全部,全体,same-short-meaning-candidate,quán tǐ,toàn bộ,exact normalized Vietnamese short meaning: toàn bộ,hsk_2.json,needs-review
全部,整个,same-short-meaning-candidate,zhěng gè,toàn bộ,exact normalized Vietnamese short meaning: toàn bộ,hsk_3.json,needs-review
全都,完全,same-short-meaning-candidate,wán quán,hoàn toàn,exact normalized Vietnamese short meaning: hoàn toàn,hsk_2.json,needs-review
全都,根本,same-short-meaning-candidate,gēn běn,hoàn toàn,exact normalized Vietnamese short meaning: hoàn toàn,hsk_3.json,needs-review
公共,共同,same-short-meaning-candidate,gòng tóng,chung,exact normalized Vietnamese short meaning: chung,hsk_2.json,needs-review
公布,宣布,same-short-meaning-candidate,xuān bù,công bố,exact normalized Vietnamese short meaning: công bố,hsk_3.json,needs-review
公平,公道,same-short-meaning-candidate,gōng dao,công bằng,exact normalized Vietnamese short meaning: công bằng,hsk_2.json,needs-review
公斤,千克,same-short-meaning-candidate,qiān kè,kilôgam,exact normalized Vietnamese short meaning: kilôgam,hsk_2.json,needs-review
公路,高速公路,same-short-meaning-candidate,gāo sù gōng lù,đường cao tốc,exact normalized Vietnamese short meaning: đường cao tốc,hsk_3.json,needs-review
公道,公平,same-short-meaning-candidate,gōng píng,công bằng,exact normalized Vietnamese short meaning: công bằng,hsk_2.json,needs-review
共同,公共,same-short-meaning-candidate,gōng gòng,chung,exact normalized Vietnamese short meaning: chung,hsk_3.json,needs-review
关注,注意,same-short-meaning-candidate,zhù yì,chú ý,exact normalized Vietnamese short meaning: chú ý,hsk_2.json,needs-review
关系,有关,same-short-meaning-candidate,yǒu guān,liên quan đến,exact normalized Vietnamese short meaning: liên quan đến,hsk_3.json,needs-review
兴趣,爱好,same-short-meaning-candidate,ài hào,sở thích,exact normalized Vietnamese short meaning: sở thích,hsk_1.json,needs-review
兴趣,趣味,same-short-meaning-candidate,qù wèi,sở thích,exact normalized Vietnamese short meaning: sở thích,hsk_3.json,needs-review
其他,别的,same-short-meaning-candidate,bié de,khác,exact normalized Vietnamese short meaning: khác,hsk_1.json,needs-review
决心,狠心,same-short-meaning-candidate,hěn xīn,quyết tâm,exact normalized Vietnamese short meaning: quyết tâm,hsk_2.json,needs-review
决心,坚决,same-short-meaning-candidate,jiān jué,quyết tâm,exact normalized Vietnamese short meaning: quyết tâm,hsk_3.json,needs-review
准时,真实,homophone,zhēn shí,thật,exact normalized pinyin match in local HSK data,hsk_3.json,reviewed-local
准时,正点,same-short-meaning-candidate,zhèng diǎn,Đúng giờ,exact normalized Vietnamese short meaning: đúng giờ,hsk_2.json,needs-review
准确,就是,same-short-meaning-candidate,jiù shì,chính xác,exact normalized Vietnamese short meaning: chính xác,hsk_1.json,needs-review
准确,恰恰,same-short-meaning-candidate,qià qià,chính xác,exact normalized Vietnamese short meaning: chính xác,hsk_3.json,needs-review
出去,出来,same-short-meaning-candidate,chū lai,ra ngoài,exact normalized Vietnamese short meaning: ra ngoài,hsk_1.json,needs-review
出来,出去,same-short-meaning-candidate,chū qu,ra ngoài,exact normalized Vietnamese short meaning: ra ngoài,hsk_1.json,needs-review
出生,诞生,same-short-meaning-candidate,dàn shēng,sinh ra,exact normalized Vietnamese short meaning: sinh ra,hsk_3.json,needs-review
分之,分数,same-short-meaning-candidate,fēn shù,phân số,exact normalized Vietnamese short meaning: phân số,hsk_2.json,needs-review
分别,差别,same-short-meaning-candidate,chā bié,sự khác biệt,exact normalized Vietnamese short meaning: sự khác biệt,hsk_2.json,needs-review
分别,差异,same-short-meaning-candidate,chā yì,sự khác biệt,exact normalized Vietnamese short meaning: sự khác biệt,hsk_3.json,needs-review
分数,分之,same-short-meaning-candidate,fēn zhī,phân số,exact normalized Vietnamese short meaning: phân số,hsk_2.json,needs-review
初中,中学,same-short-meaning-candidate,zhōng xué,trường trung học cơ sở,exact normalized Vietnamese short meaning: trường trung học cơ sở,hsk_1.json,needs-review
初步,原来,same-short-meaning-candidate,yuán lái,ban đầu,exact normalized Vietnamese short meaning: ban đầu,hsk_2.json,needs-review
初步,当初,same-short-meaning-candidate,dāng chū,ban đầu,exact normalized Vietnamese short meaning: ban đầu,hsk_3.json,needs-review
利用,使用,same-short-meaning-candidate,shǐ yòng,sử dụng,exact normalized Vietnamese short meaning: sử dụng,hsk_2.json,needs-review
利用,采用,same-short-meaning-candidate,cǎi yòng,sử dụng,exact normalized Vietnamese short meaning: sử dụng,hsk_3.json,needs-review
别的,其他,same-short-meaning-candidate,qí tā,khác,exact normalized Vietnamese short meaning: khác,hsk_2.json,needs-review
到处,各地,same-short-meaning-candidate,gè dì,khắp nơi,exact normalized Vietnamese short meaning: khắp nơi,hsk_3.json,needs-review
到底,最后,same-short-meaning-candidate,zuì hòu,cuối cùng,exact normalized Vietnamese short meaning: cuối cùng,hsk_1.json,needs-review
到底,终于,same-short-meaning-candidate,zhōng yú,cuối cùng,exact normalized Vietnamese short meaning: cuối cùng,hsk_1.json,needs-review
制定,制订,homophone,zhì dìng,lập,exact normalized pinyin match in local HSK data,hsk_2.json,reviewed-local
制定,建成,same-short-meaning-candidate,jiàn chéng,thiết lập,exact normalized Vietnamese short meaning: thiết lập,hsk_3.json,needs-review
制定,设立,same-short-meaning-candidate,shè lì,thiết lập,exact normalized Vietnamese short meaning: thiết lập,hsk_3.json,needs-review
制度,体系,same-short-meaning-candidate,tǐ xì,hệ thống,exact normalized Vietnamese short meaning: hệ thống,hsk_3.json,needs-review
制订,制定,homophone,zhì dìng,thiết lập,exact normalized pinyin match in local HSK data,hsk_3.json,reviewed-local
制造,产生,same-short-meaning-candidate,chǎn shēng,sản xuất,exact normalized Vietnamese short meaning: sản xuất,hsk_2.json,needs-review
制造,生产,same-short-meaning-candidate,shēng chǎn,sản xuất,exact normalized Vietnamese short meaning: sản xuất,hsk_3.json,needs-review
前边,前面,same-short-meaning-candidate,qián miàn,phía trước,exact normalized Vietnamese short meaning: phía trước,hsk_1.json,needs-review
前面,前边,same-short-meaning-candidate,qián bian,phía trước,exact normalized Vietnamese short meaning: phía trước,hsk_1.json,needs-review
办法,方式,same-short-meaning-candidate,fāng shì,cách,exact normalized Vietnamese short meaning: cách,hsk_2.json,needs-review
功夫,工夫,homophone,gōng fu,thời gian rảnh rỗi,exact normalized pinyin match in local HSK data,hsk_3.json,reviewed-local
功课,作业,same-short-meaning-candidate,zuò yè,bài tập,exact normalized Vietnamese short meaning: bài tập,hsk_1.json,needs-review
动人,感动,same-short-meaning-candidate,gǎn dòng,cảm động,exact normalized Vietnamese short meaning: cảm động,hsk_2.json,needs-review
勤劳,认真,same-short-meaning-candidate,rèn zhēn,chăm chỉ,exact normalized Vietnamese short meaning: chăm chỉ,hsk_1.json,needs-review
勤劳,用功,same-short-meaning-candidate,yòng gōng,chăm chỉ,exact normalized Vietnamese short meaning: chăm chỉ,hsk_1.json,needs-review
北方,北边,same-short-meaning-candidate,běi biān,phía bắc,exact normalized Vietnamese short meaning: phía bắc,hsk_1.json,needs-review
北边,北方,same-short-meaning-candidate,běi fāng,phía bắc,exact normalized Vietnamese short meaning: phía bắc,hsk_1.json,needs-review
医生,一生,homophone,yī shēng,cả đời,exact normalized pinyin match in local HSK data,hsk_2.json,reviewed-local
医生,野生,homophone,yě shēng,hoang dã,exact normalized pinyin match in local HSK data,hsk_3.json,reviewed-local
医生,大夫,same-short-meaning-candidate,dài fu,bác sĩ,exact normalized Vietnamese short meaning: bác sĩ,hsk_3.json,needs-review
十分,极其,same-short-meaning-candidate,jí qí,rất,exact normalized Vietnamese short meaning: rất,hsk_3.json,needs-review
千万,一定,same-short-meaning-candidate,yī dìng,nhất định,exact normalized Vietnamese short meaning: nhất định,hsk_1.json,needs-review
千克,公斤,same-short-meaning-candidate,gōng jīn,kilôgam,exact normalized Vietnamese short meaning: kilôgam,hsk_2.json,needs-review
午餐,午饭,same-short-meaning-candidate,wǔ fàn,bữa trưa,exact normalized Vietnamese short meaning: bữa trưa,hsk_1.json,needs-review
午饭,午餐,same-short-meaning-candidate,wǔ cān,bữa trưa,exact normalized Vietnamese short meaning: bữa trưa,hsk_2.json,needs-review
危害,妨害,same-short-meaning-candidate,fáng hài,gây hại,exact normalized Vietnamese short meaning: gây hại,hsk_3.json,needs-review
原来,当初,same-short-meaning-candidate,dāng chū,ban đầu,exact normalized Vietnamese short meaning: ban đầu,hsk_3.json,needs-review
原来,初步,same-short-meaning-candidate,chū bù,ban đầu,exact normalized Vietnamese short meaning: ban đầu,hsk_3.json,needs-review
参加,从事,same-short-meaning-candidate,cóng shì,tham gia,exact normalized Vietnamese short meaning: tham gia,hsk_3.json,needs-review
及格,合格,same-short-meaning-candidate,hé gé,đạt yêu cầu,exact normalized Vietnamese short meaning: đạt yêu cầu,hsk_3.json,needs-review
友好,亲切,same-short-meaning-candidate,qīn qiè,thân thiện,exact normalized Vietnamese short meaning: thân thiện,hsk_3.json,needs-review
发展,发达,same-short-meaning-candidate,fā dá,phát triển,exact normalized Vietnamese short meaning: phát triển,hsk_2.json,needs-review
发展,开展,same-short-meaning-candidate,kāi zhǎn,phát triển,exact normalized Vietnamese short meaning: phát triển,hsk_3.json,needs-review
发展,开发,same-short-meaning-candidate,kāi fā,phát triển,exact normalized Vietnamese short meaning: phát triển,hsk_3.json,needs-review
发展,生长,same-short-meaning-candidate,shēng zhǎng,phát triển,exact normalized Vietnamese short meaning: phát triển,hsk_3.json,needs-review
发达,发展,same-short-meaning-candidate,fā zhǎn,phát triển,exact normalized Vietnamese short meaning: phát triển,hsk_2.json,needs-review
发达,开展,same-short-meaning-candidate,kāi zhǎn,phát triển,exact normalized Vietnamese short meaning: phát triển,hsk_3.json,needs-review
发达,开发,same-short-meaning-candidate,kāi fā,phát triển,exact normalized Vietnamese short meaning: phát triển,hsk_3.json,needs-review
发达,生长,same-short-meaning-candidate,shēng zhǎng,phát triển,exact normalized Vietnamese short meaning: phát triển,hsk_3.json,needs-review
发送,送给,same-short-meaning-candidate,sòng gěi,gửi,exact normalized Vietnamese short meaning: gửi,hsk_2.json,needs-review
发音,读音,same-short-meaning-candidate,dú yīn,phát âm,exact normalized Vietnamese short meaning: Phát âm,hsk_2.json,needs-review
叔叔,失手,homophone,shī shǒu,lỡ tay,exact normalized pinyin match in local HSK data,hsk_3.json,reviewed-local
取得,实现,same-short-meaning-candidate,shí xiàn,đạt được,exact normalized Vietnamese short meaning: đạt được,hsk_2.json,needs-review
取得,得出,same-short-meaning-candidate,dé chū,đạt được,exact normalized Vietnamese short meaning: đạt được,hsk_2.json,needs-review
取得,达到,same-short-meaning-candidate,dá dào,đạt được,exact normalized Vietnamese short meaning: đạt được,hsk_3.json,needs-review
受到,收到,same-short-meaning-candidate,shōu dào,nhận được,exact normalized Vietnamese short meaning: nhận được,hsk_2.json,needs-review
受到,接到,same-short-meaning-candidate,jiē dào,nhận được,exact normalized Vietnamese short meaning: nhận được,hsk_2.json,needs-review
变化,改变,same-short-meaning-candidate,gǎi biàn,thay đổi,exact normalized Vietnamese short meaning: thay đổi,hsk_2.json,needs-review
变化,转变,same-short-meaning-candidate,zhuǎn biàn,thay đổi,exact normalized Vietnamese short meaning: thay đổi,hsk_3.json,needs-review
变成,成为,same-short-meaning-candidate,chéng wéi,trở thành,exact normalized Vietnamese short meaning: trở thành,hsk_2.json,needs-review
另外,而且,same-short-meaning-candidate,ér qiě,ngoài ra,exact normalized Vietnamese short meaning: ngoài ra,hsk_2.json,needs-review
另外,除了,same-short-meaning-candidate,chú le,ngoài ra,exact normalized Vietnamese short meaning: ngoài ra,hsk_2.json,needs-review
只有,唯一,same-short-meaning-candidate,wéi yī,chỉ có,exact normalized Vietnamese short meaning: chỉ có,hsk_2.json,needs-review
只要,主要,homophone,zhǔ yào,chính,exact normalized pinyin match in local HSK data,hsk_2.json,reviewed-local
可以,可能,same-short-meaning-candidate,kě néng,có thể,exact normalized Vietnamese short meaning: có thể,hsk_1.json,needs-review
可以,能够,same-short-meaning-candidate,néng gòu,có thể,exact normalized Vietnamese short meaning: có thể,hsk_2.json,needs-review
可是,不过,same-short-meaning-candidate,bù guò,nhưng,exact normalized Vietnamese short meaning: nhưng,hsk_1.json,needs-review
